Country	Both sexes	Male	Female
Afghanistan	6715	3560	3154
Albania	887	573	314
Algeria	5965	3471	2493
Angola	3602	1558	2045
Antigua and Barbuda	28	15	13
Argentina	34425	16792	17633
Armenia	1156	625	530
Australia	11738	6234	5504
Austria	4108	2230	1878
Azerbaijan	1911	991	920
Bahamas	40	26	15
Bahrain	96	55	42
Bangladesh	82293	47491	34803
Barbados	114	65	48
Belarus	2172	1578	593
Belgium	8648	4743	3905
Belize	65	47	18
Benin	2381	1184	1197
Bhutan	419	220	199
Bolivia (Plurinational State of)	3304	1800	1504
Bosnia and Herzegovina	1448	868	580
Botswana	612	373	239
Brazil	84749	45156	39593
Brunei Darussalam	99	52	46
Bulgaria	4612	2838	1774
Burkina Faso	2416	1115	1301
Burundi	2005	1046	959
Cabo Verde	114	54	60
Cambodia	3817	2103	1714
Cameroon	5323	2870	2454
Canada	18610	9605	9005
Central African Republic	1109	503	606
Chad	3118	1669	1449
Chile	7064	3615	3449
China	938227	509554	428674
Colombia	18272	9634	8638
Comoros	128	71	57
Congo	810	314	495
Costa Rica	1610	831	779
Côte d'Ivoire	6501	3723	2778
Croatia	2016	1152	863
Cuba	5563	2922	2641
Cyprus	730	401	330
Czechia	4680	2768	1912
Democratic People's Republic of Korea	31558	15056	16502
Democratic Republic of the Congo	13680	5337	8343
Denmark	4760	2302	2458
Djibouti	163	97	65
Dominican Republic	1699	962	738
Ecuador	4360	2444	1916
Egypt	25909	15081	10828
El Salvador	1236	587	649
Equatorial Guinea	220	100	121
Eritrea	1020	611	410
Estonia	345	229	116
Eswatini	402	233	169
Ethiopia	15460	8304	7156
Fiji	336	212	124
Finland	1742	1112	630
France	31072	16639	14433
Gabon	311	141	170
Gambia	352	183	169
Georgia	2190	1263	927
Germany	58839	31552	27287
Ghana	4887	2374	2514
Greece	10499	5272	5227
Grenada	20	9	11
Guatemala	2756	1439	1317
Guinea	3004	1515	1488
Guinea-Bissau	325	168	157
Guyana	191	118	73
Haiti	3143	1855	1288
Honduras	1678	653	1025
Hungary	6538	3619	2920
Iceland	145	66	79
India	1017179	526709	490470
Indonesia	103704	65242	38462
Iran (Islamic Republic of)	14552	8681	5871
Iraq	3569	1889	1680
Ireland	2735	1405	1330
Israel	2804	1461	1343
Italy	41311	22130	19181
Jamaica	639	463	176
Japan	115041	65861	49180
Jordan	1042	672	370
Kazakhstan	6614	3922	2692
Kenya	3432	1658	1774
Kiribati	49	32	17
Kuwait	312	182	130
Kyrgyzstan	1509	865	644
Lao People's Democratic Republic	2463	1225	1238
Latvia	421	296	125
Lebanon	1574	732	842
Lesotho	1103	613	489
Liberia	528	241	286
Libya	1132	661	471
Lithuania	699	479	220
Luxembourg	267	136	131
Madagascar	5953	3036	2917
Malawi	1876	990	887
Malaysia	6300	4230	2069
Maldives	113	54	58
Mali	5405	3007	2398
Malta	197	123	73
Mauritania	652	333	319
Mauritius	887	497	390
Mexico	36494	19373	17121
Micronesia (Federated States of)	39	23	15
Mongolia	335	198	137
Montenegro	186	120	67
Morocco	6441	3574	2867
Mozambique	2915	1452	1464
Myanmar	35749	22361	13388
Namibia	726	410	316
Nepal	18952	8539	10413
Netherlands	10843	5631	5212
New Zealand	2209	1143	1066
Nicaragua	1041	540	500
Niger	3767	2041	1726
Nigeria	32984	15299	17684
Norway	3136	1605	1531
Oman	174	113	62
Pakistan	71484	48550	22934
Panama	1303	699	604
Papua New Guinea	3164	1933	1231
Paraguay	1170	742	428
Peru	9700	5281	4419
Philippines	42243	26398	15845
Poland	17892	10640	7251
Portugal	7155	3723	3432
Qatar	55	43	11
Republic of Korea	16740	9663	7077
Republic of Moldova	1007	636	371
North Macedonia	911	545	365
Romania	9349	5920	3429
Russian Federation	33346	22817	10529
Rwanda	1721	812	908
Saint Lucia	65	44	21
Saint Vincent and the Grenadines	29	21	8
Samoa	52	35	16
Sao Tome and Principe	76	39	36
Saudi Arabia	3031	1651	1381
Senegal	2736	1554	1182
Serbia	5514	3261	2252
Seychelles	30	19	11
Sierra Leone	1918	949	969
Singapore	865	615	250
Slovakia	1335	855	480
Slovenia	742	410	332
Solomon Islands	181	120	61
Somalia	2296	1316	980
South Africa	23526	14255	9271
South Sudan	1823	944	879
Spain	43187	24290	18897
Sri Lanka	11831	6254	5577
Sudan	8730	4548	4182
Suriname	97	60	36
Sweden	5214	2437	2777
Switzerland	3625	1938	1687
Syrian Arab Republic	2742	1508	1234
Tajikistan	1775	959	815
Thailand	30746	19781	10965
Timor-Leste	264	141	123
Togo	1664	832	832
Tonga	39	26	13
Trinidad and Tobago	405	241	164
Tunisia	3115	1698	1418
Turkey	30282	19850	10432
Turkmenistan	467	268	199
Uganda	5447	2554	2894
Ukraine	13068	8904	4164
United Arab Emirates	825	716	109
United Kingdom of Great Britain and Northern Ireland	50026	25576	24450
United Republic of Tanzania	6997	3411	3586
United States of America	246944	121715	125229
Uruguay	2671	1449	1222
Uzbekistan	3554	2031	1522
Vanuatu	87	59	28
Venezuela (Bolivarian Republic of)	7212	3742	3470
Viet Nam	30627	18082	12545
Yemen	6395	3476	2919
Zambia	1910	933	977
Zimbabwe	2970	1345	1625
