Country	Data year	Homeless population (per night)	Homeless (per 10,000)
Australia	2.016	116	47
Austria	2.014	15	17
Bosnia and Herzegovina	2.015	7	20
Brazil	2.016	102	4
Canada	2.016	129	36
Chile	2.011	12	7
China	2.011	2,579,000	18
Congo DR	2.017	1,500,000	56
Croatia	2.018	3	7
Czech Republic	2.019	24	22
Denmark	2.017	7	11
Egypt	2.013	12,000,000	1.200
Estonia	2.011	864	6
Finland	2.018	5	9
France	2.012	142	21
Germany	2.017	650	79
Greece	2.013	20	18
Grenada	2.004	60	5.644
Guatemala	2.012	475	315
Haiti	2.010	2,300,000	2.324
Honduras	2.013	1,000,000	1.235
Hong Kong	2.013	1	2
Hungary	2.014	10	10
India	2.011	1,770,000	15
Indonesia	2.004	3,000,000	136
Ireland	2.019	10	21
Israel	2.019	25	29
Italy	2.014	48	8
Japan	2.019	5	0.3
Jordan	2.017	0	0
Latvia	2.011	2	11
Liechtenstein	2.004	0	0
Luxembourg	2.013	2	28
Mexico	2.010	41	4
Netherlands	2.018	39	23
New Zealand	2.015	41	94
Nigeria	2.007	24,400,000	1.658
Norway	2.016	4	7
Peru	2.011		560
Poland	2.017	33,400 pp	8
Portugal	2.012	3	3
Romania	2.004	15	7
Russia	2.010	64	4
Slovenia	2.015	3	13
South Africa	2.015	200	36
South Korea	2.016	11	2
Spain	2.012	40	9
Sweden	2.011	34	36
Switzerland	2.016	3,000 – 8,000	3–9
Togo	1.999	100	211
Uganda	2.014	500	143
Ukraine	2.016	30	75
United Kingdom	2.016	307	46
United States	2.019	568	17
Wales	2.011	15	48
Zimbabwe	2.013	1,200,000	848
