Country	2019	2018	2017	2016	2015	2014	2013	2012
New Zealand	87	87	89	90	91	91	91	90
Denmark	87	88	88	90	91	92	91	90
Finland	86	85	85	89	90	89	89	90
Singapore	85	85	84	84	85	84	86	87
Switzerland	85	85	85	86	86	86	85	86
Sweden	85	85	84	88	89	87	89	88
Norway	84	84	85	85	87	86	86	85
Netherlands	82	82	82	83	87	83	83	84
Luxembourg	80	81	82	81	81	82	80	80
Germany	80	80	81	81	81	79	78	79
Iceland	78	76	77	78	79	79	78	82
Canada	77	81	82	82	83	81	81	84
United Kingdom	77	80	82	81	81	78	76	74
Australia	77	77	77	79	79	80	81	85
Austria	77	76	75	75	76	72	69	69
Hong Kong	76	76	77	77	75	74	75	77
Belgium	75	75	75	77	77	76	75	75
Ireland	74	73	74	73	75	74	72	69
Estonia	74	73	71	70	70	69	68	64
Japan	73	73	73	72	75	76	74	74
Uruguay	71	70	70	71	74	73	73	72
United Arab Emirates	71	70	71	66	70	70	69	68
France	69	72	70	69	70	69	71	71
United States	69	71	75	74	76	74	73	73
Bhutan	68	68	67	65	65	65	63	63
Chile	67	67	67	66	70	73	71	72
Taiwan	65	63	63	61	62	61	61	61
Bahamas	64	65	65	66		71	71	71
Spain	62	58	57	58	58	60	59	65
Barbados	62	68	68	61		74	75	76
Portugal	62	64	63	62	63	63	62	63
Qatar	62	62	63	61	71	69	68	68
Botswana	61	61	61	60	63	63	64	65
Brunei	60	63	62	58			60	55
Israel	60	61	62	64	61	60	61	60
Slovenia	60	60	61	61	60	58	57	61
Lithuania	60	59	59	59	61	58	57	54
Saint Vincent and the Grenadines	59	58	58	60		67	62	62
South Korea	59	57	54	53	56	55	55	56
Poland	58	60	60	62	62	61	60	58
Cyprus	58	59	57	55	61	63	63	66
Cape Verde	58	57	55	59	55	57	58	60
Czech Republic	56	59	57	55	56	51	48	49
Georgia	56	58	56	57	52	52	49	52
Latvia	56	58	58	57	55	55	53	49
Costa Rica	56	56	59	58	55	54	53	54
Dominica	55	57	57	59		58	58	58
Saint Lucia	55	55	55	60			71	71
Malta	54	54	56	55	56	55	56	57
Rwanda	53	56	55	54	54	49	53	53
Grenada	53	52	52	56				
Italy	53	52	50	47	44	43	43	42
Saudi Arabia	53	49	49	46	52	49	46	44
Malaysia	53	47	47	49	50	52	50	49
Namibia	52	53	51	52	53	49	48	48
Oman	52	52	44	45	45	45	47	47
Mauritius	52	51	50	54	53	54	52	57
Slovakia	50	50	50	51	51	50	47	46
Greece	48	45	48	44	46	43	40	36
Jordan	48	49	48	48	53	49	45	48
Cuba	48	47	47	47	47	46	46	48
Croatia	47	48	49	49	51	48	48	46
São Tomé and Príncipe	46	46	46	46	42	42	42	42
Montenegro	45	45	46	45	44	42	44	41
Senegal	45	45	45	45	44	43	41	36
Belarus	45	44	44	40	32	31	29	31
Argentina	45	40	39	36	32	34	34	35
Romania	44	47	48	48	46	43	43	44
South Africa	44	43	43	45	44	44	42	43
Suriname	44	43	41	45	36	36	36	37
Hungary	44	46	45	48	51	54	54	55
Jamaica	43	44	44	39	41	38	38	38
Tunisia	43	43	42	41	38	40	41	41
