Country	Current points
USA	781.6
Spain	722.9
Australia	666.5
Argentina	663.7
Serbia	661.3
France	656.5
Greece	647.4
Lithuania	635.2
Czech Republic	591.5
Brazil	589.4
Russia	585.4
Italy	577.9
Poland	567.6
Croatia	522.4
Turkey	513.2
Puerto Rico	498.0
Slovenia	496.4
Germany	495.7
Dominican Republic	482.5
Venezuela	476.8
Canada	453.9
Iran	428.7
Nigeria	425.9
New Zealand	421.2
Mexico	411.4
Montenegro	391.4
Latvia	382.2
China	364.6
Ukraine	353.0
Korea	341.5
Philippines	334.3
Angola	325.3
Tunisia	321.5
Finland	319.4
Senegal	310.3
Georgia	299.1
Belgium	281.9
Jordan	273.8
Hungary	262.2
Japan	260.6
Israel	245.7
Great Britain	242.7
Uruguay	233.1
Netherlands	231.2
Bosnia and Herzegovina	226.7
Iceland	218.2
Panama	215.3
Cote d'Ivoire	213.5
Estonia	209.9
Bulgaria	204.6
US Virgin Islands	200.2
Belarus	195.8
North Macedonia	187.6
Romania	179.4
Sweden	176.4
Austria	172.6
Lebanon	166.9
Bahamas	165.1
Denmark	164.5
Egypt	163.8
Portugal	153.0
Switzerland	151.5
Cuba	150.5
Cameroon	142.4
Chinese Taipei	140.7
Slovakia	134.0
Morocco	131.3
Colombia	128.8
Kosovo	128.5
Chile	127.5
Paraguay	124.1
Qatar	121.6
India	117.1
Mali	113.2
Kazakhstan	111.5
Cyprus	111.2
Luxembourg	110.9
Andorra	110.9
Iraq	109.9
Malta	109.0
Antigua & Barbuda	108.1
Armenia	107.9
Central African Rep.	107.9
Guam	104.5
Norway	104.2
Barbados	104.2
Jamaica	103.8
Tahiti	100.1
Congo DR	99.5
Palestine	99.3
Rwanda	99.2
Indonesia	98.9
Mozambique	97.8
Madagascar	97.6
Syria	94.6
Saudi Arabia	94.0
Cape Verde	93.3
Guyana	91.4
Thailand	90.8
Algeria	90.8
Uganda	90.1
Ireland	90.0
Azerbaijan	90.0
Chad	89.6
Costa Rica	89.3
Albania	88.8
South Sudan	86.4
Honduras	85.7
St.Vincent and the Grenadines	84.9
Singapore	83.6
Bermuda	82.5
Bahrain	80.8
Suriname	80.5
Hong Kong	79.8
Congo	79.6
Nicaragua	75.5
Bolivia	75.0
Grenada	73.8
Belize	73.8
San Marino	73.6
Malaysia	72.8
Kenya	72.7
Samoa	71.8
Sri Lanka	69.9
South Africa	68.2
Burundi	67.9
Guinea	67.9
Ecuador	67.0
British Virgin Islands	66.8
UAE	66.5
Cayman Islands	66.1
Moldova	64.5
Togo	64.0
Equatorial Guinea	62.4
El Salvador	62.2
Gabon	60.7
Montserrat	59.1
Burkina Faso	58.3
Zimbabwe	55.7
Zambia	54.9
Tonga	53.3
Maldives	52.6
Seychelles	52.4
Somalia	52.2
Vietnam	52.1
Kuwait	51.1
Bangladesh	50.2
Benin	49.5
Bhutan	48.6
Botswana	47.6
American Samoa	46.9
Peru	44.9
Gibraltar	44.1
Guatemala	43.6
Macau	41.9
Brunei Darussalam	41.8
Nepal	40.8
St. Lucia	40.5
Mauritania	40.1
Tanzania	38.8
Oman	35.9
Fiji	30.4
Cambodia	29.1
Myanmar	27.0
Haiti	23.3
Cook Islands	23.2
Eritrea	20.1
Libya	16.2
