Country	deaths
Afghanistan	33,345
Albania	7,246
Algeria	43,661
American Samoa	77
Andean Latin America	38,23
Andorra	89
Angola	15,315
Antigua and Barbuda	115
Argentina	46,363
Armenia	8,437
Australasia	31,496
Australia	26,022
Austria	18,458
Azerbaijan	24,382
Bahamas	525
Bahrain	642
Bangladesh	157,571
Barbados	501
Belarus	46,34
Belgium	17,325
Belize	264
Benin	6,007
Bermuda	94
Bhutan	674
Bolivia	8,93
Bosnia and Herzegovina	10,765
Botswana	1,783
Brazil	230,454
Brunei	305
Bulgaria	41,273
Burkina Faso	11,928
Burundi	6,04
Cambodia	12,145
Cameroon	14,864
Canada	42,419
Cape Verde	548
Caribbean	65,345
Central African Republic	4,909
Central Asia	192,77
Central Europe	390,725
Central Latin America	236,919
Central Sub-Saharan Africa	81,515
Chad	7,722
Chile	21,283
China	2.54 million
Colombia	44,361
Comoros	666
Congo	4,614
Costa Rica	4,88
Cote d'Ivoire	17,08
Croatia	14,096
Cuba	19,038
Cyprus	1,617
Czech Republic	28,194
Democratic Republic of Congo	54,568
Denmark	8,208
Djibouti	744
Dominica	143
Dominican Republic	13,711
East Asia	2.66 million
Eastern Europe	915,926
Eastern Sub-Saharan Africa	201,639
Ecuador	13,217
Egypt	145,833
El Salvador	7,608
England	67,535
Equatorial Guinea	523
Eritrea	3,107
Estonia	5,38
Ethiopia	34,121
Fiji	1,669
Finland	12,136
France	79,55
Gabon	1,586
Gambia	1,832
Georgia	19,389
Germany	204,63
Ghana	23,548
Greece	25,44
Greenland	54
Grenada	240
Guam	341
Guatemala	10,405
Guinea	9,575
Guinea-Bissau	1,496
Guyana	1,236
Haiti	13,522
High SDI	1.72 million
High-income	1.57 million
High-income Asia Pacific	231,2
High-middle SDI	2.84 million
Honduras	7,606
Hungary	39,079
Iceland	374
India	1.54 million
Indonesia	427,218
Iran	96,839
Iraq	29,014
Ireland	5,797
Israel	7,409
Italy	119,78
Jamaica	3,877
Japan	197,006
Jordan	6,107
Kazakhstan	36,87
Kenya	24,324
Kiribati	146
Kuwait	1,847
Kyrgyzstan	8,716
Laos	7,898
Latin America and Caribbean	577,425
Latvia	9,3
Lebanon	8,073
Lesotho	2,705
Liberia	3,01
Libya	9,039
Lithuania	14,13
Low SDI	903,826
Low-middle SDI	1.89 million
Luxembourg	780
Macedonia	6,463
Madagascar	21,904
Malawi	11,317
Malaysia	38,193
Maldives	281
Mali	10,332
Malta	900
Marshall Islands	87
Mauritania	2,616
Mauritius	2,633
Mexico	116,441
Micronesia (country)	143
Middle SDI	3.04 million
Moldova	15,719
Mongolia	5,05
Montenegro	2,189
Morocco	75,707
Mozambique	22,172
Myanmar	51,775
Namibia	1,945
Nepal	24,711
Netherlands	23,5
New Zealand	5,474
Nicaragua	4,86
Niger	8,654
Nigeria	79,219
North Africa and Middle East	689,636
North America	496,829
North Korea	52,742
Northern Ireland	2,584
Northern Mariana Islands	58
Norway	6,935
Oceania	16,045
Oman	2,798
Pakistan	226,594
Palestine	3,092
Panama	3,31
Papua New Guinea	11,068
Paraguay	6,477
Peru	16,083
Philippines	137,091
Poland	87,936
Portugal	18,893
Puerto Rico	5,49
Qatar	590
Romania	92,922
Russia	562,933
Rwanda	5,372
Saint Lucia	261
Saint Vincent and the Grenadines	216
Samoa	253
Sao Tome and Principe	180
Saudi Arabia	19,47
Scotland	8,868
Senegal	10,267
Serbia	40,844
Seychelles	187
Sierra Leone	6,784
Singapore	3,24
Slovakia	15,433
Slovenia	4,285
Solomon Islands	649
Somalia	11,975
South Africa	55,647
South Asia	1.95 million
South Korea	30,648
South Sudan	5,57
Southeast Asia	896,982
Southern Latin America	73,294
Southern Sub-Saharan Africa	74,387
Spain	68,976
Sri Lanka	26,361
Sub-Saharan Africa	578,379
Sudan	44,223
Suriname	814
Swaziland	1,064
Sweden	18,13
Switzerland	10,732
Syria	24,667
Taiwan	23,017
Tajikistan	11,327
Tanzania	31,517
Thailand	61,559
Timor	1,497
Togo	5,174
Tonga	125
Trinidad and Tobago	2,657
Tropical Latin America	236,931
Tunisia	18,996
Turkey	90,629
Turkmenistan	10,999
Uganda	15,36
Ukraine	262,123
United Arab Emirates	4,835
United Kingdom	84,232
United States	454,347
United States Virgin Islands	291
Uruguay	5,645
Uzbekistan	67,602
Vanuatu	546
Venezuela	37,447
Vietnam	128,963
Wales	5,245
Western Europe	734,651
Western Sub-Saharan Africa	220,837
Yemen	29,585
Zambia	7,323
Zimbabwe	11,243
