Country	Current points
USA	832.9
Australia	714.5
Spain	692.2
Canada	649.3
France	640.8
Turkey	598.7
Belgium	585.7
Serbia	579.4
China	571.5
Japan	540.1
Belarus	475.1
Russia	400.9
Greece	368.0
Nigeria	366.6
Brazil	365.9
Italy	345.4
Czech Republic	334.0
Great Britain	333.5
Korea	333.3
Sweden	315.0
Latvia	303.4
Puerto Rico	302.9
Montenegro	298.7
Slovakia	275.2
Cuba	271.6
Ukraine	270.5
Argentina	267.4
Senegal	259.3
Hungary	257.9
Croatia	233.7
Lithuania	233.1
Slovenia	232.6
Chinese Taipei	181.1
New Zealand	171.1
Poland	167.9
Mozambique	153.1
Colombia	151.9
Germany	149.8
Bosnia and Herzegovina	149.2
Dominican Republic	148.6
Angola	148.1
Israel	147.6
Mexico	147.5
Romania	138.1
Mali	137.6
Netherlands	136.5
Portugal	130.9
US Virgin Islands	128.3
Philippines	125.0
Bulgaria	124.9
Lebanon	123.8
Venezuela	123.0
Egypt	122.9
Malta	116.2
Cameroon	112.0
Denmark	111.8
Cote d'Ivoire	109.3
Austria	107.4
Jamaica	107.2
Estonia	106.2
Kazakhstan	105.0
Paraguay	104.0
Bahamas	102.3
Iceland	99.8
Switzerland	98.1
Finland	97.5
Malaysia	93.6
Luxembourg	92.4
India	92.0
Ireland	91.9
Chile	90.5
Congo DR	90.4
Iran	88.3
Indonesia	85.0
Korea DPR	84.3
Ecuador	82.9
Kenya	80.8
Singapore	80.1
North Macedonia	79.4
Gabon	79.4
Cyprus	79.2
Uganda	77.4
Syria	77.1
Barbados	76.3
Moldova	75.6
Norway	75.3
Uzbekistan	74.4
St.Vincent and the Grenadines	73.8
Thailand	73.2
El Salvador	72.7
Tunisia	72.6
Cape Verde	70.7
Azerbaijan	70.7
Algeria	70.5
Costa Rica	68.2
Honduras	68.2
Antigua & Barbuda	68.0
Albania	66.6
Trinidad and Tobago	64.6
Guatemala	64.5
Rwanda	61.8
Guinea	61.3
Andorra	60.0
Panama	59.2
British Virgin Islands	58.1
Gibraltar	57.6
South Africa	56.9
Zimbabwe	54.9
Hong Kong	54.4
Uruguay	50.3
Peru	47.4
Burundi	47.2
Suriname	46.0
Fiji	44.2
Central African Rep.	43.1
Morocco	42.0
Benin	40.3
Sri Lanka	40.1
Jordan	37.9
Guyana	37.2
Nicaragua	35.8
Botswana	29.2
Burkina Faso	20.9
Tanzania	19.9
