Country	Average connection speed
South Korea	52.4
Norway	48.2
Canada	42.5
Netherlands	42.4
Singapore	39.3
Australia	37.4
Switzerland	35.2
Denmark	34.6
Belgium	34.2
Japan	33.0
Hungary	32.7
Czech Republic	31.5
Sweden	30.8
Austria	27.5
New Zealand	27.3
Finland	27.0
Croatia	26.7
Taiwan	26.6
France	25.2
Spain	24.8
Qatar	24.6
Greece	23.8
Slovakia	23.3
Germany	22.6
Bulgaria	22.5
United Kingdom	21.7
Portugal	21.6
Serbia	21.5
Albania	21.4
United States	21.3
Romania	20.6
Oman	20.3
United Arab Emirates	19.9
Italy	19.9
Poland	17.3
Turkey	17.1
Lebanon	16.9
Hong Kong	16.7
Ireland	16.2
Kuwait	16.2
Myanmar	16.0
South Africa	15.0
Mexico	14.9
Vietnam	14.1
Bahrain	13.9
Israel	13.6
Saudi Arabia	13.6
Tunisia	13.4
Azerbaijan	13.4
Brazil	13.0
Argentina	12.8
Bolivia	12.5
Chile	12.0
Russia	12.0
Peru	11.7
Malaysia	11.5
Kazakhstan	11.4
Ukraine	11.2
Morocco	11.2
Guatemala	10.8
Sri Lanka	10.7
Paraguay	10.6
Ecuador	10.5
Jordan	10.4
Costa Rica	10.1
Kenya	10.1
Colombia	10.0
Egypt	8.6
Dominican Republic	8.5
Belarus	7.7
Panama	7.2
Philippines	7.0
Indonesia	6.9
India	6.8
Ivory Coast	6.7
Pakistan	6.2
Thailand	5.7
Bangladesh	5.7
Cambodia	5.6
Nigeria	5.4
El Salvador	5.4
Senegal	5.1
Ghana	5.1
Uzbekistan	5.0
Nepal	4.4
Algeria	3.1
Iraq	1.6
