Country	deaths
Afghanistan	447
Albania	43
Algeria	618
American Samoa	<1
Andean Latin America	1,375
Andorra	4
Angola	358
Antigua and Barbuda	1
Argentina	1,107
Armenia	45
Australasia	1,971
Australia	1,671
Austria	664
Azerbaijan	74
Bahamas	8
Bahrain	8
Bangladesh	3,147
Barbados	8
Belarus	295
Belgium	1,081
Belize	6
Benin	313
Bermuda	2
Bhutan	36
Bolivia	276
Bosnia and Herzegovina	71
Botswana	29
Brazil	8,08
Brunei	8
Bulgaria	218
Burkina Faso	570
Burundi	225
Cambodia	1,165
Cameroon	581
Canada	3,029
Cape Verde	8
Caribbean	2,036
Central African Republic	126
Central Asia	868
Central Europe	6,301
Central Latin America	5,995
Central Sub-Saharan Africa	1,702
Chad	280
Chile	688
China	68,055
Colombia	917
Comoros	22
Congo	87
Costa Rica	178
Cote d'Ivoire	460
Croatia	558
Cuba	1,221
Cyprus	49
Czech Republic	711
Democratic Republic of Congo	1,075
Denmark	412
Djibouti	23
Dominica	2
Dominican Republic	204
East Asia	71,049
Eastern Europe	6,412
Eastern Sub-Saharan Africa	7,948
Ecuador	478
Egypt	1,524
El Salvador	278
England	3,027
Equatorial Guinea	14
Eritrea	116
Estonia	42
Ethiopia	1,988
Fiji	10
Finland	613
France	6,642
Gabon	42
Gambia	64
Georgia	128
Germany	6,792
Ghana	930
Greece	395
Greenland	3
Grenada	4
Guam	4
Guatemala	329
Guinea	311
Guinea-Bissau	37
Guyana	17
Haiti	250
High SDI	73,85
High-income	68,592
High-income Asia Pacific	9,291
High-middle SDI	52,395
Honduras	138
Hungary	840
Iceland	17
India	93,209
Indonesia	7,875
Iran	1,843
Iraq	218
Ireland	147
Israel	239
Italy	4,577
Jamaica	41
Japan	6,85
Jordan	70
Kazakhstan	234
Kenya	1,047
Kiribati	<1
Kuwait	33
Kyrgyzstan	50
Laos	160
Latin America and Caribbean	17,653
Latvia	91
Lebanon	148
Lesotho	44
Liberia	75
Libya	146
Lithuania	163
Low SDI	39,803
Low-middle SDI	68,75
Luxembourg	40
Macedonia	47
Madagascar	382
Malawi	436
Malaysia	714
Maldives	6
Mali	328
Malta	26
Marshall Islands	<1
Mauritania	96
Mauritius	26
Mexico	3,326
Micronesia (country)	2
Middle SDI	91,207
Moldova	82
Mongolia	36
Montenegro	14
Morocco	615
Mozambique	631
Myanmar	2,592
Namibia	39
Nepal	1,547
Netherlands	1,753
New Zealand	300
Nicaragua	107
Niger	275
Nigeria	3,118
North Africa and Middle East	10,396
North America	23,353
North Korea	787
Northern Ireland	89
Northern Mariana Islands	1
Norway	499
Oceania	193
Oman	72
Pakistan	4,131
Palestine	31
Panama	75
Papua New Guinea	132
Paraguay	166
Peru	621
Philippines	1,518
Poland	2,331
Portugal	445
Puerto Rico	144
Qatar	22
Romania	632
Russia	4,657
Rwanda	336
Saint Lucia	4
Saint Vincent and the Grenadines	3
Samoa	3
Sao Tome and Principe	5
Saudi Arabia	662
Scotland	418
Senegal	347
Serbia	306
Seychelles	3
Sierra Leone	173
Singapore	63
Slovakia	279
Slovenia	251
Solomon Islands	22
Somalia	400
South Africa	1,078
South Asia	102,071
South Korea	2,37
South Sudan	186
Southeast Asia	24,556
Southern Latin America	1,964
Southern Sub-Saharan Africa	1,457
Spain	2,039
Sri Lanka	1,055
Sub-Saharan Africa	19,224
Sudan	448
Suriname	15
Swaziland	16
Sweden	866
Switzerland	941
Syria	198
Taiwan	1,063
Tajikistan	45
Tanzania	1,142
Thailand	1,948
Timor	22
Togo	147
Tonga	2
Trinidad and Tobago	28
Tropical Latin America	8,247
Tunisia	434
Turkey	2,278
Turkmenistan	27
Uganda	663
Ukraine	1,082
United Arab Emirates	163
United Kingdom	3,74
United States	20,321
United States Virgin Islands	5
Uruguay	169
Uzbekistan	229
Vanuatu	4
Venezuela	648
Vietnam	7,437
Wales	205
Western Europe	32,013
Western Sub-Saharan Africa	8,117
Yemen	409
Zambia	344
Zimbabwe	250
