Country	deaths
Afghanistan	9,605
Albania	142
Algeria	4,663
American Samoa	12
Andean Latin America	7,47
Andorra	8
Angola	2,283
Antigua and Barbuda	15
Argentina	9,761
Armenia	25
Australasia	4,874
Australia	4,1
Austria	2,327
Azerbaijan	861
Bahamas	57
Bahrain	22
Bangladesh	47,724
Barbados	71
Belarus	3,951
Belgium	1,834
Belize	46
Benin	1,144
Bermuda	12
Bhutan	138
Bolivia	2,034
Bosnia and Herzegovina	561
Botswana	306
Brazil	43,919
Brunei	62
Bulgaria	1,682
Burkina Faso	2,81
Burundi	1,332
Cambodia	3,231
Cameroon	1,853
Canada	6,265
Cape Verde	84
Caribbean	11,782
Central African Republic	1,161
Central Asia	8,954
Central Europe	32,113
Central Latin America	40,909
Central Sub-Saharan Africa	16,873
Chad	1,964
Chile	2,001
China	277,782
Colombia	8,336
Comoros	143
Congo	868
Costa Rica	782
Cote d'Ivoire	3,589
Croatia	2,082
Cuba	2,158
Cyprus	224
Czech Republic	5,083
Democratic Republic of Congo	12,242
Denmark	937
Djibouti	141
Dominica	17
Dominican Republic	3,126
East Asia	290,573
Eastern Europe	121,146
Eastern Sub-Saharan Africa	41,436
Ecuador	2,344
Egypt	1,919
El Salvador	1,121
England	10,844
Equatorial Guinea	54
Eritrea	778
Estonia	516
Ethiopia	8,225
Fiji	364
Finland	1,93
France	10,493
Gabon	265
Gambia	385
Georgia	2,874
Germany	28,097
Ghana	5,011
Greece	1,925
Greenland	8
Grenada	38
Guam	52
Guatemala	1,804
Guinea	2,023
Guinea-Bissau	360
Guyana	219
Haiti	3,473
High SDI	218,47
High-income	203,899
High-income Asia Pacific	18,995
High-middle SDI	295,258
Honduras	1,757
Hungary	3,418
Iceland	70
India	253,495
Indonesia	84,149
Iran	3,375
Iraq	1,771
Ireland	780
Israel	290
Italy	12,043
Jamaica	517
Japan	15,456
Jordan	565
Kazakhstan	1,021
Kenya	4,34
Kiribati	47
Kuwait	112
Kyrgyzstan	811
Laos	819
Latin America and Caribbean	105,264
Latvia	1,118
Lebanon	430
Lesotho	543
Liberia	657
Libya	1,218
Lithuania	1,8
Low SDI	211,934
Low-middle SDI	301,046
Luxembourg	93
Macedonia	315
Madagascar	5,155
Malawi	2,093
Malaysia	7,426
Maldives	46
Mali	1,967
Malta	45
Marshall Islands	25
Mauritania	560
Mauritius	344
Mexico	19,071
Micronesia (country)	42
Middle SDI	429,872
Moldova	2,036
Mongolia	1,159
Montenegro	34
Morocco	7,417
Mozambique	4,44
Myanmar	7,406
Namibia	357
Nepal	3,988
Netherlands	3,034
New Zealand	774
Nicaragua	909
Niger	1,678
Nigeria	11,811
North Africa and Middle East	59,923
North America	75,68
North Korea	6,071
Northern Ireland	363
Northern Mariana Islands	10
Norway	1,098
Oceania	5,418
Oman	366
Pakistan	62,132
Palestine	567
Panama	635
Papua New Guinea	4,134
Paraguay	1,184
Peru	3,091
Philippines	25,698
Poland	9,769
Portugal	1,523
Puerto Rico	806
Qatar	2
Romania	1,709
Russia	85,961
Rwanda	816
Saint Lucia	37
Saint Vincent and the Grenadines	35
Samoa	55
Sao Tome and Principe	29
Saudi Arabia	3,626
Scotland	1,379
Senegal	1,773
Serbia	4,524
Seychelles	15
Sierra Leone	1,206
Singapore	396
Slovakia	2,232
Slovenia	562
Solomon Islands	230
Somalia	2,919
South Africa	8,597
South Asia	367,477
South Korea	3,081
South Sudan	1,15
Southeast Asia	156,659
Southern Latin America	12,666
Southern Sub-Saharan Africa	12,567
Spain	7,143
Sri Lanka	5,264
Sub-Saharan Africa	110,941
Sudan	7,811
Suriname	163
Swaziland	211
Sweden	2,75
Switzerland	1,562
Syria	5,151
Taiwan	2,039
Tajikistan	893
Tanzania	5,235
Thailand	12,747
Timor	322
Togo	1,163
Tonga	23
Trinidad and Tobago	528
Tropical Latin America	45,103
Tunisia	436
Turkey	1,266
Turkmenistan	457
Uganda	2,92
Ukraine	25,764
United Arab Emirates	930
United Kingdom	13,38
United States	69,407
United States Virgin Islands	41
Uruguay	903
Uzbekistan	853
Vanuatu	127
Venezuela	6,494
Vietnam	8,985
Wales	794
Western Europe	91,683
Western Sub-Saharan Africa	40,066
Yemen	8,615
Zambia	1,721
Zimbabwe	2,553
