Country	Time required
Afghanistan	270
Albania	252
Algeria	265
American Samoa	..
Andorra	..
Angola	287
Antigua and Barbuda	177
Argentina	312
Armenia	264
Aruba	..
Australia	105
Austria	131
Azerbaijan	159
Bahamas, The	155
Bahrain	23
Bangladesh	435
Barbados	241
Belarus	170
Belgium	136
Belize	147
Benin	270
Bermuda	..
Bhutan	52
Bolivia	1025
Bosnia and Herzegovina	411
Botswana	120
Brazil	1501
Brunei Darussalam	53
Bulgaria	441
Burkina Faso	270
Burundi	232
Cabo Verde	180
Cambodia	173
Cameroon	624
Canada	131
Cayman Islands	..
Central African Republic	483
Chad	834
Channel Islands	..
Chile	296
China	138
Hong Kong SAR, China	35
Macao SAR, China	..
Colombia	256
Comoros	100
Congo, Dem. Rep.	346
Congo, Rep.	602
Costa Rica	151
Cote d'Ivoire	187
Croatia	206
Cuba	..
Curacao	..
Cyprus	120
Czech Republic	230
Denmark	132
Djibouti	76
Dominica	117
Dominican Republic	317
Ecuador	664
Egypt, Arab Rep.	370
El Salvador	168
Equatorial Guinea	492
Eritrea	216
Estonia	50
Ethiopia	300
Faroe Islands	..
Fiji	247
Finland	90
France	139
French Polynesia	..
Gabon	632
Gambia, The	326
Georgia	216
Germany	218
Ghana	226
Greece	193
Greenland	..
Grenada	140
Guam	..
Guatemala	248
Guinea	400
Guinea-Bissau	218
Guyana	256
Haiti	184
Honduras	203
Hungary	277
Iceland	140
India	252
Indonesia	191
Iran, Islamic Rep.	216
Iraq	312
Ireland	82
Isle of Man	..
Israel	234
Italy	238
Jamaica	268
Japan	129
Jordan	97
Kazakhstan	186
Kenya	180
Kiribati	168
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	174
Kosovo	154
Kuwait	98
Kyrgyz Republic	220
Lao PDR	362
Latvia	169
Lebanon	181
Lesotho	327
Liberia	140
Libya	889
Liechtenstein	49
Lithuania	95
Luxembourg	55
North Macedonia	119
Madagascar	183
Malawi	169
Malaysia	174
Maldives	391
Mali	276
Malta	139
Marshall Islands	56
Mauritania	270
Mauritius	140
Mexico	241
Micronesia, Fed. Sts.	128
Moldova	183
Monaco	..
Mongolia	134
Montenegro	300
Morocco	155
Mozambique	200
Myanmar	282
Namibia	302
Nepal	377
Netherlands	119
New Caledonia	..
New Zealand	140
Nicaragua	201
Niger	270
Nigeria	343
Northern Mariana Islands	..
Norway	79
Oman	68
Pakistan	283
Palau	52
Panama	408
Papua New Guinea	207
Paraguay	378
Peru	260
Philippines	171
Poland	334
Portugal	243
Puerto Rico	218
Qatar	41
Romania	163
Russian Federation	159
Rwanda	91
Samoa	224
San Marino	52
Sao Tome and Principe	424
Saudi Arabia	104
Senegal	416
Serbia	226
Seychelles	85
Sierra Leone	343
Singapore	64
Sint Maarten (Dutch part)	..
Slovak Republic	192
Slovenia	233
Solomon Islands	80
Somalia	..
South Africa	210
South Sudan	210
Spain	143
Sri Lanka	129
St. Kitts and Nevis	203
St. Lucia	110
St. Martin (French part)	..
St. Vincent and the Grenadines	108
Sudan	180
Suriname	199
Eswatini	122
Sweden	122
Switzerland	63
Syrian Arab Republic	336
Tajikistan	224
Tanzania	207
Thailand	229
Timor-Leste	234
Togo	159
Tonga	200
Trinidad and Tobago	210
Tunisia	144
Turkey	170
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	195
Ukraine	328
United Arab Emirates	116
United Kingdom	114
United States	175
Uruguay	163
Uzbekistan	181
Vanuatu	120
Venezuela, RB	920
Vietnam	384
Virgin Islands (U.S.)	..
West Bank and Gaza	174
Yemen, Rep.	248
Zambia	158
Zimbabwe	242
World	233
East Asia & Pacific	168
Europe & Central Asia	179
Latin America & Caribbean	316
Middle East & North Africa	204
North America	153
South Asia	274
Sub-Saharan Africa	281
Low income	270
Lower middle income	257
Upper middle income	291
High income	148
