Country	Both sexes	Male	Female
Afghanistan	19965	10702	9263
Albania	5138	2903	2235
Algeria	25166	12619	12547
Angola	8455	3952	4503
Antigua and Barbuda	134	72	62
Argentina	65657	34104	31554
Armenia	7953	4399	3554
Australia	45749	25603	20146
Austria	20899	11202	9697
Azerbaijan	10136	5900	4236
Bahamas	532	286	246
Bahrain	456	249	207
Bangladesh	99620	54768	44852
Barbados	732	394	338
Belarus	18808	10684	8124
Belgium	28807	16036	12771
Belize	287	168	120
Benin	3918	1715	2203
Bhutan	458	258	200
Bolivia (Plurinational State of)	7948	3462	4486
Bosnia and Herzegovina	7262	4307	2955
Botswana	1099	577	522
Brazil	233851	125107	108743
Brunei Darussalam	402	215	187
Bulgaria	19367	11413	7954
Burkina Faso	7307	2919	4388
Burundi	6585	2922	3664
Cabo Verde	310	140	170
Cambodia	13067	6710	6357
Cameroon	11576	5576	5999
Canada	78306	41065	37241
Central African Republic	2397	1139	1258
Chad	5325	2422	2903
Chile	27958	14579	13379
China	2369538	1566574	802964
Colombia	56239	28003	28237
Comoros	467	204	263
Congo	1814	953	862
Costa Rica	5774	3145	2630
Côte d'Ivoire	10442	5407	5035
Croatia	14151	8150	6001
Cuba	24510	14237	10273
Cyprus	1929	1161	768
Czechia	27725	15381	12343
Democratic People's Republic of Korea	42483	21705	20778
Democratic Republic of the Congo	38769	18927	19841
Denmark	16506	8704	7801
Djibouti	549	239	310
Dominican Republic	10479	5785	4693
Ecuador	13973	6730	7243
Egypt	77673	42804	34868
El Salvador	6605	2845	3760
Equatorial Guinea	475	241	234
Eritrea	2715	1052	1663
Estonia	3959	2122	1837
Eswatini	742	389	353
Ethiopia	50913	18916	31998
Fiji	613	276	338
Finland	12374	6599	5775
France	173396	99394	74002
Gabon	757	402	355
Gambia	587	337	250
Georgia	7040	3830	3210
Germany	235379	129084	106295
Ghana	11923	6005	5917
Greece	31408	19150	12258
Grenada	155	84	71
Guatemala	7993	3603	4390
Guinea	4921	2432	2489
Guinea-Bissau	719	333	387
Guyana	548	230	319
Haiti	6824	3293	3530
Honduras	5502	2535	2968
Hungary	33009	18049	14960
Iceland	654	334	320
India	815148	422514	392633
Indonesia	216307	115704	100603
Iran (Islamic Republic of)	59741	34345	25396
Iraq	21151	10761	10390
Ireland	9169	4754	4414
Israel	12135	6316	5819
Italy	173529	96685	76844
Jamaica	3910	2326	1584
Japan	399687	231983	167704
Jordan	4446	2468	1978
Kazakhstan	25981	13506	12476
Kenya	27375	13029	14346
Kiribati	75	35	40
Kuwait	1682	925	757
Kyrgyzstan	3938	2059	1879
Lao People's Democratic Republic	5469	3223	2246
Latvia	5939	3174	2765
Lebanon	6101	3337	2764
Lesotho	1277	662	614
Liberia	1874	861	1013
Libya	4039	2289	1751
Lithuania	8186	4531	3655
Luxembourg	1137	625	512
Madagascar	14977	7925	7052
Malawi	12316	6304	6013
Malaysia	24490	12857	11634
Maldives	220	133	87
Mali	7765	2881	4883
Malta	949	528	421
Mauritania	1581	717	864
Mauritius	1227	581	646
Mexico	80054	39130	40924
Micronesia (Federated States of)	75	39	36
Mongolia	3993	2313	1680
Montenegro	1421	830	591
Morocco	25995	14486	11509
Mozambique	20781	9718	11063
Myanmar	53965	29205	24759
Namibia	992	533	459
Nepal	17049	8051	8998
Netherlands	47314	25746	21569
New Zealand	9081	4849	4233
Nicaragua	4122	2025	2097
Niger	5569	2646	2924
Nigeria	81551	35993	45558
Norway	11368	6130	5238
Oman	1270	822	448
Pakistan	117145	56597	60548
Panama	3516	1890	1625
Papua New Guinea	6793	3125	3668
Paraguay	5779	3144	2635
Peru	28549	13560	14989
Philippines	65916	31743	34173
Poland	106886	59350	47536
Portugal	28172	16941	11232
Qatar	640	440	199
Republic of Korea	84573	52527	32046
Republic of Moldova	7119	4137	2982
North Macedonia	3989	2416	1572
Romania	52259	30959	21301
Russian Federation	359090	193631	165459
Rwanda	8529	4234	4295
Saint Lucia	256	139	117
Saint Vincent and the Grenadines	166	98	69
Samoa	144	75	69
Sao Tome and Principe	111	56	54
Saudi Arabia	10845	6116	4729
Senegal	5880	2535	3345
Serbia	23521	13612	9909
Seychelles	143	86	57
Sierra Leone	2512	1101	1412
Singapore	8435	4671	3764
Slovakia	14672	8418	6254
Slovenia	6266	3560	2706
Solomon Islands	368	173	195
Somalia	6028	2502	3526
South Africa	50805	25257	25548
South Sudan	8321	3992	4329
Spain	110013	67096	42917
Sri Lanka	20406	10716	9691
Sudan	17653	9173	8480
Suriname	627	328	299
Sweden	23324	12255	11069
Switzerland	18188	10081	8107
Syrian Arab Republic	14195	7489	6706
Tajikistan	4555	2424	2131
Thailand	94760	55397	39363
Timor-Leste	838	448	389
Togo	3336	1431	1905
Tonga	122	66	56
Trinidad and Tobago	1874	987	887
Tunisia	8323	5219	3104
Turkey	102561	65383	37178
Turkmenistan	4528	2452	2076
Uganda	25573	13618	11955
Ukraine	97076	54159	42917
United Arab Emirates	1803	1083	720
United Kingdom of Great Britain and Northern Ireland	168188	89353	78835
United Republic of Tanzania	27207	13086	14121
United States of America	627709	331774	295935
Uruguay	8615	4706	3908
Uzbekistan	13846	6734	7113
Vanuatu	200	109	92
Venezuela (Bolivarian Republic of)	28570	14565	14005
Viet Nam	102283	57150	45133
Yemen	10454	5225	5229
Zambia	8024	3661	4363
Zimbabwe	8872	4136	4736
