Country	deaths
Afghanistan	7,775
Albania	846
Algeria	8,81
American Samoa	8
Andean Latin America	4,789
Andorra	9
Angola	1,626
Antigua and Barbuda	9
Argentina	5,032
Armenia	1,325
Australasia	3,363
Australia	2,692
Austria	2,1
Azerbaijan	4,722
Bahamas	38
Bahrain	100
Bangladesh	28,602
Barbados	39
Belarus	6,679
Belgium	1,842
Belize	30
Benin	708
Bermuda	6
Bhutan	126
Bolivia	1,069
Bosnia and Herzegovina	1,391
Botswana	203
Brazil	20,149
Brunei	34
Bulgaria	4,83
Burkina Faso	1,937
Burundi	856
Cambodia	1,579
Cameroon	1,79
Canada	3,97
Cape Verde	70
Caribbean	9
Central African Republic	688
Central Asia	34,859
Central Europe	47,601
Central Latin America	27,995
Central Sub-Saharan Africa	11,081
Chad	1,127
Chile	1,501
China	284,292
Colombia	5,288
Comoros	94
Congo	600
Costa Rica	547
Cote d'Ivoire	2,585
Croatia	1,952
Cuba	3,208
Cyprus	223
Czech Republic	4,152
Democratic Republic of Congo	7,964
Denmark	693
Djibouti	117
Dominica	11
Dominican Republic	2,005
East Asia	297,634
Eastern Europe	130,109
Eastern Sub-Saharan Africa	25,806
Ecuador	1,311
Egypt	28,953
El Salvador	984
England	8,568
Equatorial Guinea	36
Eritrea	466
Estonia	545
Ethiopia	5,489
Fiji	267
Finland	1,505
France	8,165
Gabon	167
Gambia	279
Georgia	2,322
Germany	24,72
Ghana	3,042
Greece	3,576
Greenland	5
Grenada	24
Guam	39
Guatemala	1,371
Guinea	1,498
Guinea-Bissau	216
Guyana	144
Haiti	2,069
High SDI	180,51
High-income	157,408
High-income Asia Pacific	4,224
High-middle SDI	356,984
Honduras	1,4
Hungary	4,554
Iceland	47
India	328,843
Indonesia	48,178
Iran	14,955
Iraq	4,662
Ireland	622
Israel	525
Italy	12,067
Jamaica	274
Japan	324
Jordan	761
Kazakhstan	5,385
Kenya	2,791
Kiribati	27
Kuwait	248
Kyrgyzstan	1,874
Laos	1,124
Latin America and Caribbean	62,727
Latvia	862
Lebanon	1,598
Lesotho	288
Liberia	438
Libya	1,755
Lithuania	1,762
Low SDI	169,089
Low-middle SDI	323,262
Luxembourg	71
Macedonia	652
Madagascar	2,302
Malawi	1,403
Malaysia	4,696
Maldives	43
Mali	1,414
Malta	119
Marshall Islands	16
Mauritania	367
Mauritius	241
Mexico	13,568
Micronesia (country)	29
Middle SDI	409,386
Moldova	2,386
Mongolia	756
Montenegro	219
Morocco	13,131
Mozambique	2,163
Myanmar	5,38
Namibia	206
Nepal	5,891
Netherlands	2,377
New Zealand	672
Nicaragua	568
Niger	1,122
Nigeria	9,93
North Africa and Middle East	126,006
North America	60,884
North Korea	6,129
Northern Ireland	310
Northern Mariana Islands	7
Norway	754
Oceania	3,651
Oman	478
Pakistan	44,576
Palestine	605
Panama	309
Papua New Guinea	2,762
Paraguay	794
Peru	2,409
Philippines	19,792
Poland	12,105
Portugal	1,713
Puerto Rico	403
Qatar	58
Romania	9,895
Russia	72,963
Rwanda	516
Saint Lucia	20
Saint Vincent and the Grenadines	23
Samoa	38
Sao Tome and Principe	20
Saudi Arabia	2,955
Scotland	1,12
Senegal	1,422
Serbia	4,237
Seychelles	17
Sierra Leone	969
Singapore	404
Slovakia	2,376
Slovenia	393
Solomon Islands	153
Somalia	1,804
South Africa	4,411
South Asia	408,038
South Korea	3,462
South Sudan	750
Southeast Asia	103,302
Southern Latin America	7,034
Southern Sub-Saharan Africa	6,99
Spain	6,726
Sri Lanka	4,259
Sub-Saharan Africa	73,572
Sudan	8,426
Suriname	85
Swaziland	120
Sweden	1,835
Switzerland	1,465
Syria	6,214
Taiwan	2,418
Tajikistan	2,2
Tanzania	4,058
Thailand	7,043
Timor	161
Togo	760
Tonga	17
Trinidad and Tobago	265
Tropical Latin America	20,943
Tunisia	3,569
Turkey	13,277
Turkmenistan	1,817
Uganda	1,818
Ukraine	44,912
United Arab Emirates	775
United Kingdom	10,663
United States	56,909
United States Virgin Islands	25
Uruguay	500
Uzbekistan	14,457
Vanuatu	88
Venezuela	3,96
Vietnam	10,652
Wales	666
Western Europe	81,902
Western Sub-Saharan Africa	29,695
Yemen	6,783
Zambia	1,164
Zimbabwe	1,7
