Country	By country of origin	By country of asylum
Afghanistan	2681	72
Burkina Faso	11	25
Burundi	388	72
Cameroon	45	380
Central African Republic	591	7
Chad	11	451
Comoros	1	..
Congo, Dem. Rep.	720	529
Congo, Rep.	13	37
Cote d'Ivoire	38	2
Eritrea	507	2
Gambia, The	17	4
Guinea-Bissau	2	5
Haiti	28	0
Iraq	372	283
Kiribati	..	..
Kosovo	..	..
Lebanon	6	1425
Liberia	6	9
Libya	14	9
Mali	158	27
Marshall Islands	0	..
Micronesia, Fed. Sts.	..	0
Myanmar	1145	..
Niger	3	175
Nigeria	277	35
Papua New Guinea	0	10
Solomon Islands	0	..
Somalia	950	17
South Sudan	2285	292
Sudan	725	1078
Syrian Arab Republic	6654	579
Timor-Leste	0	..
Tuvalu	..	..
West Bank and Gaza	101	2268
Yemen, Rep.	31	264
Zimbabwe	16	8
Fragile and conflict affected situations	17786	8135
Low income	16155	5861
