Country	date	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	ID
Aruba	2020-03-13									Q21203
Aruba	2020-03-19									Q21203
Aruba	2020-03-20									Q21203
Aruba	2020-03-21									Q21203
Aruba	2020-03-22									Q21203
Aruba	2020-03-23									Q21203
Aruba	2020-03-24									Q21203
Aruba	2020-03-25									Q21203
Aruba	2020-03-26									Q21203
Aruba	2020-03-27									Q21203
Aruba	2020-03-28									Q21203
Aruba	2020-03-29									Q21203
Aruba	2020-03-30									Q21203
Aruba	2020-03-31									Q21203
Aruba	2020-04-01									Q21203
Aruba	2020-04-02									Q21203
Aruba	2020-04-03									Q21203
Aruba	2020-04-04									Q21203
Aruba	2020-04-05									Q21203
Aruba	2020-04-06									Q21203
Aruba	2020-04-07									Q21203
Aruba	2020-04-08									Q21203
Aruba	2020-04-09									Q21203
Aruba	2020-04-10									Q21203
Aruba	2020-04-11									Q21203
Aruba	2020-04-12									Q21203
Aruba	2020-04-13									Q21203
Aruba	2020-04-14									Q21203
Aruba	2020-04-15									Q21203
Aruba	2020-04-16									Q21203
Aruba	2020-04-17									Q21203
Aruba	2020-04-18									Q21203
Aruba	2020-04-19									Q21203
Aruba	2020-04-20									Q21203
Aruba	2020-04-21									Q21203
Aruba	2020-04-22									Q21203
Aruba	2020-04-23									Q21203
Aruba	2020-04-24									Q21203
Aruba	2020-04-25									Q21203
Aruba	2020-04-26									Q21203
Aruba	2020-04-27									Q21203
Aruba	2020-04-28									Q21203
Aruba	2020-04-29									Q21203
Aruba	2020-04-30									Q21203
Aruba	2020-05-01									Q21203
Aruba	2020-05-02									Q21203
Aruba	2020-05-03									Q21203
Aruba	2020-05-04									Q21203
Aruba	2020-05-05									Q21203
Aruba	2020-05-06									Q21203
Aruba	2020-05-07									Q21203
Aruba	2020-05-08									Q21203
Aruba	2020-05-09									Q21203
Aruba	2020-05-10									Q21203
Aruba	2020-05-11									Q21203
Aruba	2020-05-12									Q21203
Aruba	2020-05-13									Q21203
Aruba	2020-05-14									Q21203
Aruba	2020-05-15									Q21203
Aruba	2020-05-16									Q21203
Aruba	2020-05-17									Q21203
Aruba	2020-05-18									Q21203
Aruba	2020-05-19									Q21203
Aruba	2020-05-20									Q21203
Aruba	2020-05-21									Q21203
Aruba	2020-05-22									Q21203
Aruba	2020-05-23									Q21203
Aruba	2020-05-24									Q21203
Aruba	2020-05-25									Q21203
Aruba	2020-05-26									Q21203
Aruba	2020-05-27									Q21203
Aruba	2020-05-28									Q21203
Aruba	2020-05-29									Q21203
Aruba	2020-05-30									Q21203
