Country	Total	ID
Afghanistan	0.08	Q889
Albania	0.05	Q222
Algeria	0.09	Q262
Angola	1.45	Q916
Argentina	0.24	Q414
Armenia	0.1	Q399
Australia	0.06	Q408
Azerbaijan	0.09	Q227
Barbados	0.34	Q244
Belarus	0.39	Q184
Benin	0.52	Q962
Bolivia	0.14	Q750
Botswana	8.23	Q963
Bulgaria	0.08	Q219
Burkina Faso	0.19	Q965
Burundi	0.2	Q967
Cabo Verde	0.29	Q1011
Cambodia	0.08	Q424
Cameroon	1.1	Q1009
Central African Republic	2	Q929
Chad	0.5	Q657
Chile	0.46	Q298
Colombia	0.4	Q739
Comoros	0.01	Q970
Congo, Dem. Rep.	0.31	Q974
Congo, Rep.	2.5	Q971
Costa Rica	0.33	Q800
Cote d'Ivoire	0.8	Q1008
Croatia	0.04	Q224
Cuba	0.26	Q241
Djibouti	0.16	Q977
Dominican Republic	0.45	Q786
Ecuador	0.24	Q736
Egypt, Arab Rep.	0.09	Q79
El Salvador	0.23	Q792
Equatorial Guinea	6.48	Q983
Eritrea	0.15	Q986
Eswatini	9.77	Q1050
Ethiopia	0.23	Q115
Fiji	0.26	Q712
Gabon	01.07	Q1000
Gambia, The	1.77	Q1005
Ghana	1.1	Q117
Guatemala	0.12	Q774
Guinea	0.68	Q1006
Guinea-Bissau	1.85	Q1007
Guyana	0.71	Q734
Haiti	0.79	Q790
Honduras	0.19	Q783
Iran, Islamic Rep.	0.08	Q794
Italy	0.09	Q38
Jamaica	0.91	Q766
Kazakhstan	0.36	Q232
Kenya	1.47	Q114
Kyrgyz Republic	0.25	Q813
Lao PDR	0.19	Q819
Latvia	0.38	Q211
Lebanon	0.05	Q822
Lesotho	11.35	Q1013
Liberia	0.74	Q1014
Libya	0.1	Q1016
Lithuania	0.19	Q37
Madagascar	0.4	Q1019
Malawi	3.71	Q1020
Malaysia	0.34	Q833
Mauritius	0.96	Q1027
Moldova	0.45	Q217
Mongolia	0.02	Q711
Montenegro	0.1	Q236
Morocco	0.04	Q1028
Mozambique	8.94	Q1029
Myanmar	0.31	Q836
Namibia	5.34	Q1030
Nepal	0.05	Q837
Netherlands	0.04	Q55
New Zealand	0.06	Q664
Nicaragua	0.1	Q811
Niger	0.09	Q1032
Nigeria	0.78	Q1033
Oman	0.07	Q842
Pakistan	0.2	Q843
Papua New Guinea	0.61	Q691
Paraguay	0.28	Q733
Peru	0.18	Q419
Philippines	0.27	Q928
Romania	0.08	Q218
Rwanda	0.76	Q1037
Senegal	0.14	Q1041
Serbia	0.05	Q403
Sierra Leone	0.92	Q1044
Singapore	0.04	Q334
Somalia	0.04	Q1045
South Africa	6.9	Q258
South Sudan	2.53	Q958
Spain	0.12	Q29
Sri Lanka	0.01	Q854
Sudan	0.13	Q1049
Suriname	0.75	Q730
Switzerland	0.05	Q39
Syrian Arab Republic	0.01	Q858
Tajikistan	0.25	Q863
Tanzania	2.57	Q924
Thailand	0.15	Q869
Timor-Leste	0.26	Q574
Togo	0.9	Q945
Trinidad and Tobago	0.12	Q754
Tunisia	0.09	Q948
Uganda	2.61	Q1036
Ukraine	0.56	Q212
United States	0.22	Q30
Uzbekistan	0.18	Q265
Venezuela, RB	0.33	Q717
Vietnam	0.09	Q881
Yemen, Rep.	0.07	Q805
Zambia	6.3	Q953
Zimbabwe	4.87	Q954
