Country	Tons	Change %	From energy processes	Agricultural	ID
Afghanistan	3424	24.6	6	71.3	Q889
Albania	1146	-26.5	6.2	80.6	Q222
Algeria	6382	49.9	7.2	53.9	Q262
American Samoa	24	2509.8	0	99.2	Q16641
Andorra	0	0	0	0	Q228
Angola	3641	-79.5	6	81.3	Q916
Antigua and Barbuda	26	54.5	12.6	51.3	Q781
Argentina	53101	37.9	3.1	90.6	Q414
Armenia	1023	27	3.2	81.1	Q399
Aruba	6	-45.1	36.5	13	Q21203
Australia	54247	-13.7	6.6	81	Q408
Austria	3790	-28.7	17.6	56	Q40
Azerbaijan	2673	0.3	5.4	80	Q227
Bahamas, The	131	119.4	19.6	16.1	Q778
Bahrain	131	80.8	23.7	11.3	Q398
Bangladesh	26683	64.7	7.6	82.9	Q902
Barbados	59	-16.1	13	43.4	Q244
Belarus	13905	-31	5.4	71.2	Q184
Belgium	8503	-13.5	8	31.3	Q31
Belize	200	54.3	9.5	72.4	Q242
Benin	4867	30.4	2.5	62.6	Q962
Bermuda	21	46.9	16.6	13.5	Q23635
Bhutan	555	210.4	34.4	42.1	Q917
Bolivia	9733	-33.4	1.6	53.7	Q750
Bosnia and Herzegovina	1124	-10.8	10.2	70.7	Q225
Botswana	2229	-58.7	2.9	93.9	Q963
Brazil	214529	36.8	3.7	81.5	Q155
Brunei Darussalam	342	-40.1	4.9	27.9	Q921
Bulgaria	4646	-49.9	7.9	49.9	Q219
Burkina Faso	7366	75.3	5.5	89.5	Q965
Burundi	789	17.3	25	60.2	Q967
Cabo Verde	81	85	2.7	82.4	Q1011
Cambodia	16685	329.1	1.7	51.9	Q424
Cameroon	13900	32.9	1.5	77	Q1009
Canada	33414	-27.5	17.9	65.4	Q16
Cayman Islands	14	100.2	25.2	5.2	Q5785
Central African Republic	100652	97.4	0.1	77.6	Q929
Chad	14863	84.5	1.1	90	Q657
Chile	8949	69.1	5.9	66.4	Q298
China	587166	72.5	10.5	74.7	Q148
Hong Kong SAR, China	476	20.1	41.3	0	Q8646
Macao SAR, China	12	26.9	36.6	0	Q14773
Colombia	25642	26.2	2.8	84.9	Q739
Comoros	59	41.5	8.4	74.2	Q970
Congo, Dem. Rep.	67965	-22	2.1	31.8	Q974
Congo, Rep.	2957	-32	2.7	52.7	Q971
Costa Rica	1566	-15.8	5.9	80.4	Q800
Cote d'Ivoire	10034	31.7	2.8	27.9	Q1008
Croatia	2854	-39.7	7	52.4	Q224
Cuba	5912	-39.1	2.7	75.7	Q241
Cyprus	315	31.1	14.2	63.5	Q229
Czech Republic	7315	-26.9	23.5	50.3	Q213
Denmark	5340	-35.6	9.6	79.8	Q35
Djibouti	257	37.4	3.6	83.7	Q977
Dominica	21	-13.9	5.7	56.6	Q784
Dominican Republic	2190	2.8	9	73.4	Q786
Ecuador	5435	70.1	3.9	85.6	Q736
Egypt, Arab Rep.	25110	31.7	6	67.3	Q79
El Salvador	1414	5.7	8.1	75.4	Q792
Equatorial Guinea	37	104.1	57	27.2	Q983
Eritrea	1259	22.2	5.7	88.3	Q986
Estonia	951	-52.3	14.2	65.3	Q191
Ethiopia	39854	57.7	4.7	88.3	Q115
Faroe Islands	7	7.3	0	86.6	Q4628
Fiji	344	-3	2.4	91.4	Q712
Finland	5547	-29	28.7	41.2	Q33
France	36866	-50.1	7.7	70.9	Q142
French Polynesia	37	1.7	11.2	48.5	Q30971
Gabon	838	172.8	2.9	18.1	Q1000
Gambia, The	500	50.9	3.9	85.4	Q1005
Georgia	2352	-19.7	3.2	53.7	Q230
Germany	43411	-39	11.4	57.5	Q183
Ghana	17593	244.9	2.3	78.3	Q117
Greece	4639	-42.1	14.4	60.9	Q41
Greenland	231	31.7	0	0.6	Q223
Grenada	26	168.8	10.7	21	Q769
Guam	2	30.3	0.4	84.7	Q16635
Guatemala	4606	84.6	7.3	60.5	Q774
Guinea	21254	269.6	0.9	59	Q1006
Guinea-Bissau	990	87.8	1.7	90.1	Q1007
Guyana	2123	3.1	1.3	82.9	Q734
Haiti	1495	64.3	7.9	81.8	Q790
Honduras	3206	32.1	3.9	75.7	Q783
Hungary	4356	-59.7	6.7	80.2	Q28
Iceland	369	-9.7	3.9	85.8	Q189
India	239755	41.4	12.3	73.8	Q668
Indonesia	93139	-7.4	4	65.5	Q252
Iran, Islamic Rep.	25191	30.5	7.4	80.7	Q794
Iraq	5007	5.5	10.3	52.7	Q796
Ireland	7302	-15.1	4.4	90.1	Q27
Israel	1751	8.4	15.4	54.3	Q801
Italy	20084	-36.5	14.9	54.7	Q38
Jamaica	656	36.9	14.4	53.3	Q766
Japan	24911	-32.6	27	30.1	Q17
Jordan	605	-4	8.5	61.5	Q810
Kazakhstan	17822	-43.5	7.8	73.4	Q232
Kenya	11590	24.8	5.5	88.3	Q114
Kiribati	4	43.4	8	47.2	Q710
Korea, Dem. Peopleâ€™s Rep.	3306	-66	13.3	66.8	Q423
Korea, Rep.	14979	42.2	25.7	42.2	Q884
Kuwait	704	18.9	27.7	18.2	Q817
Kyrgyz Republic	1567	-46.2	1.6	82.3	Q813
Lao PDR	8987	101.7	3.6	66.7	Q819
Latvia	1437	-53.4	12.2	75.4	Q211
Lebanon	462	24.5	10.6	65.2	Q822
Lesotho	428	-24.1	9.7	81.5	Q1013
Liberia	337	60.6	22.5	63.5	Q1014
Libya	1466	8.7	12	50.6	Q1016
Lithuania	4739	-18	2.5	44.1	Q37
