Country	latitude	longitude	ID
Andorra	42.546245	1.6015540000000001	Q228
United Arab Emirates	23.424076	53.847818000000004	Q878
Afghanistan	3.393911	67.709953	Q889
Antigua and Barbuda	17.060816	-61.796428000000006	Q781
Anguilla	18.220554	-63.068615	Q25228
Albania	41.153332	20.168331	Q222
Armenia	40.069099	45.038189	Q399
Angola	-11.202691999999999	17.873887	Q916
Antarctica	-75.250973	-71.389	Q51
Argentina	-38.416097	-63.616671999999994	Q414
American Samoa	-14.270972	-170.132217	Q16641
Austria	47.516231	14.550072	Q40
Australia	-25.274398	133.775136	Q408
Aruba	1.252111	-69.968338	Q21203
Azerbaijan	40.143105	47.576927000000005	Q227
Bosnia and Herzegovina	43.915886	17.679076000000002	Q225
Barbados	13.193887	-59.543198	Q244
Bangladesh	23.684994	90.35633100000001	Q902
Belgium	50.503887	4.469936	Q31
Burkina Faso	12.238333	-1.561593	Q965
Bulgaria	42.733883	2.5485830000000003	Q219
Bahrain	25.930414000000003	50.637772	Q398
Burundi	-3.3730559999999996	29.918885999999997	Q967
Benin	9.30769	2.315834	Q962
Bermuda	32.321384	-6.4757370000000005	Q23635
Brunei	4.535277	114.72766899999999	Q921
Bolivia	-16.290154	-63.588653	Q750
Brazil	-14.235004	-5.192528	Q155
Bahamas	2.503428	-7.739628	Q778
Bhutan	27.514162	90.433601	Q917
Bouvet Island	-54.423199	3.4131940000000003	Q23408
Botswana	-22.328474	24.684866	Q963
Belarus	53.709807	27.953389	Q184
Belize	17.189877	-8.849765	Q242
Canada	56.130366	-106.34677099999999	Q16
Cocos [Keeling] Islands	-12.164164999999999	96.870956	Q36004
Congo [DRC]	-4.038333000000001	21.758664000000003	Q974
Central African Republic	6.611111	20.939444	Q929
Congo [Republic]	-0.228021	15.827658999999999	Q971
Switzerland	46.818188	8.227511999999999	Q39
Côte d'Ivoire	7.539989	-5.54708	Q1008
Cook Islands	-21.236735999999997	-159.777671	Q26988
Chile	-35.675146999999996	-71.542969	Q298
Cameroon	7.369722	12.354722	Q1009
China	3.5861660000000004	104.195397	Q148
Colombia	4.570868	-74.297333	Q739
Costa Rica	9.748917	-83.753428	Q800
Cuba	21.521757	-77.78116700000001	Q241
Cape Verde	16.002082	-24.013197	Q1011
Christmas Island	-10.447525	105.690449	Q31063
Cyprus	35.126413	33.429859	Q229
Czech Republic	49.817492	15.472961999999999	Q213
Germany	51.165690999999995	10.451526	Q183
Djibouti	11.825138	42.590275	Q977
Denmark	5.626392	9.501785	Q35
Dominica	15.414999	-61.370976	Q784
Dominican Republic	18.735692999999998	-70.162651	Q786
Algeria	28.033886	1.6596259999999998	Q262
