Country	Male	Female	ID
Afghanistan	70	40	Q889
Albania	93	100	Q222
Algeria	74	95	Q262
Antigua and Barbuda	95	102	Q781
Argentina	86	94	Q414
Armenia	92	94	Q399
Austria	98	97	Q40
Azerbaijan	86	84	Q227
Bahrain	89	100	Q398
Bangladesh	72	87	Q902
Belarus	98	98	Q184
Belgium	92	95	Q31
Belize	64	71	Q242
Benin	51	40	Q962
Bhutan	75	91	Q917
Bolivia	82	84	Q750
Brunei Darussalam	106	106	Q921
Bulgaria	51	42	Q219
Burkina Faso	41	45	Q965
Burundi	29	36	Q967
Cabo Verde	60	77	Q1011
Cambodia	55	62	Q424
Cameroon	48	47	Q1009
Central African Republic	12	8	Q929
Chad	21	8	Q657
Chile	93	94	Q298
Hong Kong SAR, China	108	106	Q8646
Macao SAR, China	96	100	Q14773
Colombia	71	80	Q739
Costa Rica	66	75	Q800
Cote d'Ivoire	56	43	Q1008
Croatia	95	96	Q224
Cuba	91	95	Q241
Cyprus	99	99	Q229
Czech Republic	94	97	Q213
Denmark	99	100	Q35
Djibouti	49	50	Q977
Dominica	90	91	Q784
Dominican Republic	88	91	Q786
Ecuador	95	99	Q736
Egypt, Arab Rep.	82	88	Q79
El Salvador	78	77	Q792
Equatorial Guinea	25	24	Q983
Eritrea	50	52	Q986
Estonia	105	104	Q191
Eswatini	66	69	Q1050
Ethiopia	30	29	Q115
Fiji	99	106	Q712
Finland	99	100	Q33
France	100	100	Q142
Georgia	101	102	Q230
Ghana	79	77	Q117
Greece	95	95	Q41
Grenada	101	112	Q769
Guatemala	58	55	Q774
Honduras	42	50	Q783
Hungary	93	95	Q28
India	82	87	Q668
Indonesia	87	93	Q252
Iran, Islamic Rep.	92	89	Q794
Ireland	99	101	Q27
Israel	102	104	Q801
Italy	99	99	Q38
Jamaica	81	83	Q766
Jordan	59	59	Q810
Kazakhstan	113	114	Q232
Kenya	79	79	Q114
Kiribati	91	99	Q710
Korea, Rep.	96	95	Q884
Kuwait	89	101	Q817
Kyrgyz Republic	95	95	Q813
Lao PDR	69	65	Q819
Latvia	98	99	Q211
Lesotho	39	56	Q1013
Liberia	46	42	Q1014
Liechtenstein	94	103	Q347
Lithuania	98	98	Q37
Luxembourg	96	95	Q32
Madagascar	36	38	Q1019
Malaysia	79	84	Q833
Maldives	105	112	Q826
Mali	33	27	Q912
Malta	105	110	Q233
Mauritania	40	44	Q1025
Mauritius	81	93	Q1027
Mexico	95	99	Q96
Moldova	86	84	Q217
Mongolia	105	105	Q711
Montenegro	94	96	Q236
Morocco	62	68	Q1028
Mozambique	23	23	Q1029
Myanmar	62	68	Q836
Namibia	73	81	Q1030
Nepal	97	102	Q837
Niger	21	17	Q1032
North Macedonia	86	85	Q221
Norway	99	98	Q20
Oman	108	99	Q842
Pakistan	52	45	Q843
Panama	74	80	Q804
Papua New Guinea	69	54	Q691
Peru	99	97	Q419
Philippines	72	85	Q928
Poland	98	97	Q36
Puerto Rico	81	91	Q1183
Qatar	88	89	Q846
Romania	86	87	Q218
Russian Federation	94	98	Q159
Rwanda	34	39	Q1037
Samoa	104	107	Q683
San Marino	98	110	Q238
Sao Tome and Principe	67	81	Q1039
Saudi Arabia	105	104	Q851
Senegal	35	40	Q1041
Serbia	98	98	Q403
Seychelles	105	112	Q1042
Sierra Leone	52	50	Q1044
Singapore	105	104	Q334
Slovak Republic	87	86	Q214
Slovenia	97	99	Q215
Solomon Islands	70	73	Q685
South Africa	78	84	Q258
Spain	93	98	Q29
Sri Lanka	96	96	Q854
St. Kitts and Nevis	109	113	Q763
St. Lucia	84	88	Q760
St. Vincent and the Grenadines	88	96	Q757
Sudan	58	57	Q1049
Suriname	32	59	Q730
Sweden	114	105	Q34
Switzerland	95	98	Q39
Tajikistan	98	94	Q863
Tanzania	29	30	Q924
Thailand	77	85	Q869
Timor-Leste	85	97	Q574
Togo	55	41	Q945
Tunisia	68	87	Q948
Turkey	89	86	Q43
Tuvalu	53	70	Q672
Uganda	28	25	Q1036
United Kingdom	101	101	Q145
United States	107	103	Q30
Uzbekistan	97	95	Q265
Venezuela, RB	71	80	Q717
Vietnam	95	101	Q881
West Bank and Gaza	85	94	Q407199
Yemen, Rep.	61	45	Q805
