Country	Total	ID
Afghanistan	3121.6	Q889
Albania	361.1	Q222
Algeria	139.4	Q262
Angola	103.5	Q916
Antigua and Barbuda	3.3	Q781
Argentina	20.2	Q414
Armenia	186.1	Q399
Azerbaijan	126.6	Q227
Bangladesh	2.523,00	Q902
Belarus	99.1	Q184
Belize	15.9	Q242
Benin	357.8	Q962
Bhutan	42.7	Q917
Bolivia	304.9	Q750
Bosnia and Herzegovina	270.2	Q225
Botswana	69.7	Q963
Brazil	401.9	Q155
Burkina Faso	631.7	Q965
Burundi	265.9	Q967
Cabo Verde	64.3	Q1011
Cambodia	635.8	Q424
Cameroon	717.5	Q1009
Central African Republic	407.8	Q929
Chad	478.1	Q657
China	-200,00	Q148
Colombia	1.2	Q739
Comoros	37.6	Q970
Congo, Dem. Rep.	1571.7	Q974
Congo, Rep.	91.6	Q971
Costa Rica	84.5	Q800
Cote d'Ivoire	609.3	Q1008
Cuba	279.8	Q241
Djibouti	99.7	Q977
Dominica	25.6	Q784
Dominican Republic	69.2	Q786
Ecuador	400,00	Q736
Egypt, Arab Rep.	799.6	Q79
El Salvador	248.6	Q792
Equatorial Guinea	6.1	Q983
Eritrea	25.1	Q986
Ethiopia	2332.4	Q115
Fiji	96.6	Q712
Gabon	107.8	Q1000
Gambia, The	97.6	Q1005
Georgia	632.3	Q230
Ghana	703	Q117
Grenada	1.5	Q769
Guatemala	364.5	Q774
Guinea	311.1	Q1006
Guinea-Bissau	51.1	Q1007
Guyana	42,00	Q734
Haiti	718.7	Q790
Honduras	402.4	Q783
India	2645.8	Q668
Indonesia	1103.6	Q252
Iran, Islamic Rep.	147.6	Q794
Iraq	2234.9	Q796
Jamaica	90.2	Q766
Jordan	1.1	Q810
Kazakhstan	11.9	Q232
Kenya	1.9	Q114
Kiribati	61.4	Q710
Korea, Dem. Peopleâ€™s Rep.	30.7	Q423
Kosovo	296.5	Q1246
Kyrgyz Republic	179.9	Q813
Lao PDR	407.4	Q819
Lebanon	1.8	Q822
Lesotho	104.8	Q1013
Liberia	382.7	Q1014
Libya	264.6	Q1016
North Macedonia	165.9	Q221
Madagascar	380.8	Q1019
Malawi	840.7	Q1020
Malaysia	-50.5	Q833
Maldives	5.2	Q826
Mali	1027.2	Q912
Marshall Islands	51.1	Q709
Mauritania	148.7	Q1025
Mauritius	62.2	Q1027
Mexico	508	Q96
Micronesia, Fed. Sts.	74.4	Q702
Moldova	206	Q217
Mongolia	259.1	Q711
Montenegro	156.2	Q236
Morocco	595.2	Q1028
Mozambique	1318.9	Q1029
Myanmar	1325.3	Q836
Namibia	122.2	Q1030
Nepal	658.3	Q837
Nicaragua	222.5	Q811
Niger	768.2	Q1032
Nigeria	2020	Q1033
Pakistan	1117.5	Q843
Palau	83.5	Q695
Panama	28.6	Q804
Papua New Guinea	540.6	Q691
Paraguay	110.8	Q733
Peru	423.7	Q419
Philippines	499.7	Q928
Rwanda	590.2	Q1037
Samoa	90.5	Q683
Sao Tome and Principe	23.1	Q1039
Senegal	751.5	Q1041
Serbia	670.5	Q403
Sierra Leone	329.3	Q1044
Solomon Islands	174.4	Q685
Somalia	1.411,00	Q1045
South Africa	789.4	Q258
South Sudan	1.475,00	Q958
Sri Lanka	153,00	Q854
St. Lucia	6.5	Q760
St. Vincent and the Grenadines	6.8	Q757
Sudan	727.2	Q1049
Suriname	9,00	Q730
Eswatini	80.3	Q1050
Syrian Arab Republic	3074.2	Q858
Tajikistan	184.2	Q863
Tanzania	1.4	Q924
Thailand	-447.7	Q869
Timor-Leste	172.7	Q574
Togo	145.2	Q945
Tonga	68.8	Q678
Tunisia	668.9	Q948
Turkey	1.154,00	Q43
Turkmenistan	12.3	Q874
Tuvalu	14.5	Q672
Uganda	1319.1	Q1036
Ukraine	1.5	Q212
Uzbekistan	283.5	Q265
Vanuatu	86.3	Q686
Venezuela, RB	129.6	Q717
Vietnam	857.3	Q881
West Bank and Gaza	1370.8	Q407199
Yemen, Rep.	1514.2	Q805
Zambia	725.7	Q953
Zimbabwe	535	Q954
