Country	%	ID
Afghanistan	42.3	Q889
Albania	98.4	Q222
Algeria	100	Q262
Andorra	100	Q228
Angola	25	Q916
Armenia	99.3	Q399
Australia	100	Q408
Austria	100	Q40
Bangladesh	20.2	Q902
Belgium	100	Q31
Belize	96	Q242
Benin	85.6	Q962
Bolivia	92	Q750
Botswana	88	Q963
Brazil	96	Q155
Burundi	83.5	Q967
Cambodia	73.3	Q424
Cameroon	66	Q1009
Canada	100	Q16
Chad	12	Q657
Colombia	96.8	Q739
Congo, Dem. Rep.	24.6	Q974
Congo, Rep.	96	Q971
Costa Rica	100	Q800
Cote d'Ivoire	72	Q1008
Croatia	100	Q224
Cuba	100	Q241
Cyprus	100	Q229
Czech Republic	100	Q213
Denmark	100	Q35
Dominican Republic	88	Q786
Ecuador	82	Q736
Egypt, Arab Rep.	99.4	Q79
El Salvador	99	Q792
Estonia	100	Q191
Eswatini	54	Q1050
Ethiopia	2.7	Q115
Finland	100	Q33
France	100	Q142
Gambia, The	72	Q1005
Georgia	100	Q230
Germany	100	Q183
Ghana	70.5	Q117
Greece	100	Q41
Guatemala	96	Q774
Guinea	62	Q1006
Guinea-Bissau	24	Q1007
Guyana	89	Q734
Haiti	84.8	Q790
Hungary	100	Q28
Iceland	100	Q189
India	79.7	Q668
Indonesia	72	Q252
Iraq	99	Q796
Ireland	100	Q27
Israel	100	Q801
Italy	100	Q38
Jamaica	98	Q766
Japan	100	Q17
Jordan	98	Q810
Kazakhstan	100	Q232
Kenya	66.9	Q114
Kyrgyz Republic	98	Q813
Lao PDR	73	Q819
Latvia	100	Q211
Lesotho	43.3	Q1013
Liberia	24.6	Q1014
Liechtenstein	100	Q347
Lithuania	100	Q37
Luxembourg	100	Q32
Madagascar	83	Q1019
Malawi	67.2	Q1020
Maldives	98.8	Q826
Mali	86.7	Q912
Malta	100	Q233
Marshall Islands	84	Q709
Mauritania	66	Q1025
Mexico	95	Q96
Monaco	100	Q235
Mongolia	99	Q711
Montenegro	99	Q236
Morocco	96	Q1028
Mozambique	55	Q1029
Myanmar	81.3	Q836
Namibia	78	Q1030
Nepal	56.2	Q837
Netherlands	100	Q55
New Zealand	100	Q664
Nigeria	47	Q1033
Norway	100	Q20
Oman	100	Q842
Pakistan	42.2	Q843
Panama	96	Q804
Papua New Guinea	13.4	Q691
Paraguay	69	Q733
Peru	98	Q419
Philippines	91.8	Q928
Poland	100	Q36
Portugal	100	Q45
Qatar	100	Q846
Russian Federation	100	Q159
Rwanda	56	Q1037
Samoa	59	Q683
San Marino	100	Q238
Sao Tome and Principe	95	Q1039
Senegal	77.4	Q1041
Serbia	99	Q403
Sierra Leone	81	Q1044
Slovak Republic	100	Q214
Slovenia	100	Q215
Solomon Islands	88	Q685
South Africa	89	Q258
Spain	100	Q29
Sudan	67	Q1049
Sweden	100	Q34
Switzerland	100	Q39
Tajikistan	95.8	Q863
Tanzania	26.4	Q924
Thailand	100	Q869
Timor-Leste	60.4	Q574
Togo	78	Q945
Turkey	99	Q43
Turkmenistan	100	Q874
Uganda	32.2	Q1036
United Kingdom	100	Q145
United States	100	Q30
Uruguay	100	Q77
Vanuatu	43	Q686
Venezuela, RB	81	Q717
Vietnam	96	Q881
West Bank and Gaza	96	Q407199
Yemen, Rep.	30.7	Q805
Zambia	14	Q953
Zimbabwe	38	Q954
