Country	$ billions	$ per capita	ID
Afghanistan	88.6	2,33	Q889
Albania	40.9	14,35	Q222
Algeria	496.3	11,53	Q262
Angola	203.2	6,39	Q916
Antigua and Barbuda	2.1	21,5	Q781
Argentina	991.4	22,06	Q414
Armenia	42.8	14,46	Q399
Aruba	3.8	36,3	Q21203
Australia	1,307.7	51,56	Q408
Austria	524.3	59,06	Q40
Azerbaijan	143.9	14,36	Q227
Bahamas, The	13.9	35,76	Q778
Bahrain	72.4	44,14	Q398
Bangladesh	845.4	5,19	Q902
Barbados	4.5	15,73	Q244
Belarus	183.1	19,34	Q184
Belgium	628.5	54,73	Q31
Belize	2.6	6,63	Q242
Benin	40.0	3,39	Q962
Bhutan	8.0	10,57	Q917
Bolivia	102.6	8,91	Q750
Bosnia and Herzegovina	52.0	15,77	Q225
Botswana	39.4	17,11	Q963
Brazil	3,135.0	14,85	Q155
Brunei Darussalam	28.8	66,41	Q921
Bulgaria	166.6	23,88	Q219
Burkina Faso	45.1	2,22	Q965
Burundi	9.0	780	Q967
Cambodia	68.9	4,18	Q424
Cameroon	96.5	3,73	Q1009
Canada	1,910.0	50,81	Q16
Cabo Verde	4.0	7,31	Q1011
Cayman Islands	2.6	41,64	Q5785
Central African Republic	5.0	1,06	Q929
Chad	25.8	1,62	Q657
Chile	457.6	24,14	Q298
China	23,403.2	16,74	Q148
Hong Kong SAR, China	492.5	65,6	Q8646
Macao SAR, China	77.9	123,29	Q14773
Colombia	762.4	15,15	Q739
Comoros	2.7	3,22	Q970
Congo, Dem. Rep.	96.2	1,11	Q974
Congo, Rep.	16.5	3,06	Q971
Costa Rica	97.2	19,25	Q800
Cote d'Ivoire	136.0	5,29	Q1008
Croatia	120.1	29,52	Q224
Curacao	4.1	25,86	Q25279
Cyprus	35.1	39,83	Q229
Czech Republic	433.9	40,66	Q213
Denmark	357.3	61,41	Q35
Djibouti	5.8	5,98	Q977
Dominica	0.9	12,46	Q784
Dominican Republic	196.3	18,28	Q786
Ecuador	199.9	11,5	Q736
Egypt, Arab Rep.	1,185.1	11,81	Q79
El Salvador	56.1	8,7	Q792
Equatorial Guinea	19.8	14,6	Q983
Estonia	50.4	38,01	Q191
Eswatini	9.1	7,94	Q1050
Ethiopia	257.8	2,3	Q115
Fiji	11.8	13,26	Q712
Finland	282.7	51,21	Q33
France	3,379.2	50,39	Q142
Gabon	31.3	14,42	Q1000
Gambia, The	5.3	2,26	Q1005
Georgia	55.9	15,02	Q230
Germany	4,795.7	57,69	Q183
Ghana	167.7	5,51	Q117
Greece	336.0	31,35	Q41
Grenada	1.8	16,25	Q769
Guatemala	146.9	8,85	Q774
Guinea	32.2	2,52	Q1006
Guinea-Bissau	4.3	2,22	Q1007
Guyana	7.7	9,9	Q734
Haiti	20.2	1,79	Q790
Honduras	53.7	5,51	Q783
Hungary	320.0	32,75	Q28
Iceland	22.1	61,17	Q189
India	9,507.2	6,96	Q668
Indonesia	3,229.6	11,93	Q252
Iran, Islamic Rep.	1,174.8	14,56	Q794
Iraq	443.3	11,28	Q796
Ireland	336.3	68,05	Q27
Israel	381.5	42,14	Q801
Italy	2,687.8	44,58	Q38
Jamaica	28.8	9,77	Q766
Japan	5,654.4	44,78	Q17
Jordan	103.5	10,24	Q810
Kazakhstan	445.2	24,05	Q232
Kenya	232.3	4,42	Q114
Kiribati	0.5	4,65	Q710
Korea, Rep.	2,245.5	43,43	Q884
Kosovo	21.7	12,09	Q1246
Kuwait	247.1	59,72	Q817
Kyrgyz Republic	32.7	5,07	Q813
Lao PDR	57.1	7,96	Q819
Latvia	60.8	31,77	Q211
Lebanon	104.6	15,26	Q822
Lesotho	7.0	3,29	Q1013
Liberia	6.5	1,32	Q1014
Libya	109.0	16,09	Q1016
Lithuania	103.2	37,01	Q37
