Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Afghanistan	63.5	37.6	79.9	65.7	Q889
Albania	43.5	34.3	63	41.5	Q222
Algeria	23.6	11.2	13.1	3.6	Q262
Angola	29.6	44.4	45.5	56.7	Q916
Argentina	1	0.1	0.2	0.1	Q414
Armenia	38.8	27.6	48.7	33.8	Q399
Australia	6	3.4	3.4	1.7	Q408
Austria	5.8	4.1	6.4	3.3	Q40
Azerbaijan	36.6	30.9	46.2	42	Q227
Bahamas, The	6.8	3.9	1.1	0.3	Q778
Bahrain	2	1.2	0.2	0	Q398
Bangladesh	60.7	31.4	78.8	58.5	Q902
Barbados	5	3.7	3.4	1.6	Q244
Belarus	19.2	14.9	10.5	7.7	Q184
Belgium	2.4	1.3	1.2	0.6	Q31
Belize	34.7	24.3	5.6	4.9	Q242
Benin	53.5	47.2	41.3	31	Q962
Bhutan	58.2	50.3	74.6	64.3	Q917
Bolivia	40.2	31	37.2	31.1	Q750
Bosnia and Herzegovina	23.2	15.5	27	16.1	Q225
Botswana	22.1	25	17.3	16.5	Q963
Brazil	20.7	13.1	9.7	4.1	Q155
Brunei Darussalam	1.4	2	1	0.5	Q921
Bulgaria	15.4	8.6	10.6	4.2	Q219
Burkina Faso	84.8	32.1	75	17.8	Q965
Burundi	87.2	87.7	96.8	96	Q967
Cabo Verde	28	16.1	15.3	6.5	Q1011
Cambodia	72.1	31.7	74.8	35.8	Q424
Cameroon	63.2	39.9	69.9	48.7	Q1009
Canada	3.2	2	1.7	0.9	Q16
Central African Republic	75.9	74.1	85.3	81.6	Q929
Chad	80.8	78	83.9	75.2	Q657
Channel Islands	7.3	4.9	4.5	2.2	Q42314
Chile	19.5	12.1	4.7	5.2	Q298
China	53.5	28.3	45.7	23.3	Q148
Hong Kong SAR, China	0.3	0.2	0.2	0.1	Q8646
Macao SAR, China	0.6	0.7	0.2	0.1	Q14773
Colombia	32.3	23.1	6.6	7.8	Q739
Comoros	51.8	46.7	64.4	56.1	Q970
Congo, Dem. Rep.	65	58.8	81.2	73.1	Q974
Congo, Rep.	40.2	35	43.5	34.2	Q971
Costa Rica	22.2	17.3	3.9	4.4	Q800
Cote d'Ivoire	51.4	47.3	47.4	31.9	Q1008
Croatia	16.4	7.2	16.8	5.1	Q224
Cuba	34	24.2	14	7.5	Q241
Cyprus	5.9	3.1	4.6	1	Q229
Czech Republic	6.3	3.6	3.8	1.8	Q213
Denmark	5.1	3.4	2	1	Q35
Djibouti	44.6	35.3	45.5	31.9	Q977
Dominican Republic	21.9	14.5	2.5	1.3	Q786
Ecuador	32.6	30.7	24.8	26.1	Q736
Egypt, Arab Rep.	27.4	21.3	39.4	36.2	Q79
El Salvador	33.9	26.3	3.8	3.5	Q792
Equatorial Guinea	51.2	41.6	52	43	Q983
Eritrea	59.9	57.4	72.3	66.5	Q986
Estonia	8.2	4.8	4.4	1.6	Q191
Eswatini	20.3	14.4	17.1	10.7	Q1050
Ethiopia	83.4	73.5	68.2	58.8	Q115
Fiji	49.3	37.7	49.5	35.4	Q712
Finland	8.3	5.2	3.9	2.1	Q33
France	5.2	3.5	2.9	1.4	Q142
French Polynesia	14.1	9.4	6.1	3.9	Q30971
Gabon	29.5	24.7	59.6	48.7	Q1000
Gambia, The	28.4	23.3	46.1	33.8	Q1005
Georgia	47.3	40.5	57.8	44.8	Q230
Germany	3	1.6	2.1	0.8	Q183
Ghana	59.8	36.8	50	23.2	Q117
Greece	16.1	12.6	19.7	11.7	Q41
Guam	0.7	0.4	0.2	0.1	Q16635
Guatemala	51.1	42.3	18.2	10.1	Q774
Guinea	66.7	60.3	75.1	63.9	Q1006
Guinea-Bissau	68.2	66.1	77.6	71.1	Q1007
Guyana	30.9	22.5	10.9	9.2	Q734
Haiti	50.3	42.2	21.2	13.2	Q790
Honduras	50.8	42.7	7.9	10.6	Q783
Hungary	9	6.6	3.3	2.7	Q28
Iceland	12.6	6.5	4.3	1.2	Q189
India	54.6	40.2	74.4	55.5	Q668
Indonesia	44.4	31	46.7	27.5	Q252
Iran, Islamic Rep.	24.6	16.9	24.2	21	Q794
Iraq	26.2	18.4	26.2	17.8	Q796
Ireland	11.9	7.6	2.2	1.5	Q27
Israel	2.9	1.3	1.2	0.5	Q801
Italy	5.7	4.7	4.4	2.4	Q38
Jamaica	28.8	22.1	9.2	8.9	Q766
Japan	4.8	3.9	5.5	3	Q17
Jordan	4.3	3.6	3.4	1	Q810
Kazakhstan	38.1	17.6	35	14.8	Q232
Kenya	40	49.1	57.9	61.3	Q114
Korea, Dem. Peopleâ€™s Rep.	46.3	43.7	67	60.1	Q423
Korea, Rep.	9.5	5.2	12.2	4.7	Q884
Kuwait	3.2	2.7	0.1	0	Q817
Kyrgyz Republic	51.8	22.5	54.8	21.1	Q813
Lao PDR	78	61.4	85.2	65.1	Q819
Latvia	16.7	10	13.1	4	Q211
Lebanon	18.3	13.5	20.3	14.7	Q822
Lesotho	23.4	13.1	6.4	3	Q1013
Liberia	49.5	44.9	53.3	41.8	Q1014
Libya	21.5	16.8	30.2	22.1	Q1016
Lithuania	23.4	9.7	15.2	4.7	Q37
Luxembourg	3.1	1.5	1.5	0.5	Q32
Madagascar	74.5	68.2	78.3	61	Q1019
Malawi	51	44.3	56.1	44	Q1020
Malaysia	20.7	13.2	14.1	6.5	Q833
Maldives	24.2	10.5	9.3	2	Q826
Mali	71.9	62.6	73.5	63.5	Q912
Malta	2.6	1.5	0.8	0.4	Q233
Mauritania	61.2	52.4	64.5	51.2	Q1025
