Country	Secure Internet servers	ID
Afghanistan	52.9	Q889
Albania	526.1	Q222
Algeria	67.6	Q262
American Samoa	450.7	Q16641
Andorra	5194.4	Q228
Angola	11.2	Q916
Antigua and Barbuda	841.2	Q781
Argentina	1872.6	Q414
Armenia	335.1	Q399
Aruba	1152.6	Q21203
Australia	32903.6	Q408
Austria	16705	Q40
Azerbaijan	329.4	Q227
Bahamas, The	2357.1	Q778
Bahrain	370.8	Q398
Bangladesh	116	Q902
Barbados	868.7	Q244
Belarus	3420.7	Q184
Belgium	13973.2	Q31
Belize	11595.8	Q242
Benin	7.3	Q962
Bermuda	8150.8	Q23635
Bhutan	177.6	Q917
Bolivia	130.2	Q750
Bosnia and Herzegovina	1934.8	Q225
Botswana	133.5	Q963
Brazil	2036.4	Q155
British Virgin Islands	330716.1	Q25305
Brunei Darussalam	1988.5	Q921
Bulgaria	38223.9	Q219
Burkina Faso	2.5	Q965
Burundi	6	Q967
Cabo Verde	498.4	Q1011
Cambodia	81.1	Q424
Cameroon	5.4	Q1009
Canada	30953.2	Q16
Cayman Islands	11531.1	Q5785
Central African Republic	0.6	Q929
Chad	0.5	Q657
Chile	8073.3	Q298
China	446.7	Q148
Colombia	651.3	Q739
Comoros	7.2	Q970
Congo, Dem. Rep.	2.8	Q974
Congo, Rep.	6.1	Q971
Costa Rica	1205.9	Q800
Cote d'Ivoire	11.6	Q1008
Croatia	19554.8	Q224
Cuba	16.1	Q241
Curacao	3786	Q25279
Cyprus	6372	Q229
Czech Republic	42344.6	Q213
Denmark	123154.4	Q35
Djibouti	37.5	Q977
Dominica	6631.8	Q784
Dominican Republic	121.7	Q786
Ecuador	265.6	Q736
Egypt, Arab Rep.	35.1	Q79
El Salvador	90.6	Q792
Equatorial Guinea	9.9	Q983
Estonia	48893.4	Q191
Eswatini	53.7	Q1050
Ethiopia	1.5	Q115
Faroe Islands	4639.5	Q4628
Fiji	173.2	Q712
Finland	33999.1	Q33
France	20421.4	Q142
French Polynesia	741.9	Q30971
Gabon	26.4	Q1000
Gambia, The	24.6	Q1005
Georgia	2182.2	Q230
Germany	56406.6	Q183
Ghana	21.8	Q117
Gibraltar	16460.1	Q1410
Greece	5035.4	Q41
Greenland	3070.2	Q223
Grenada	323	Q769
Guam	856.6	Q16635
Guatemala	78.7	Q774
Guinea	3.3	Q1006
Guinea-Bissau	2.1	Q1007
Guyana	47.5	Q734
Haiti	5.3	Q790
Honduras	74.8	Q783
Hong Kong SAR, China	19403.6	Q8646
Hungary	19243.9	Q28
Iceland	64762.2	Q189
India	187.8	Q668
Indonesia	1283	Q252
Iran, Islamic Rep.	494.6	Q794
Iraq	11.3	Q796
Ireland	69593.6	Q27
Isle of Man	8254.3	Q9676
Israel	9611.9	Q801
Italy	12258	Q38
Jamaica	153.7	Q766
Japan	11670.8	Q17
Jordan	103	Q810
Kazakhstan	1374.2	Q232
Kenya	217.2	Q114
Kiribati	43.2	Q710
Korea, Dem. Peopleâ€™s Rep.	0	Q423
Korea, Rep.	2065.1	Q884
Kuwait	412.1	Q817
Kyrgyz Republic	170	Q813
Lao PDR	20.4	Q819
Latvia	14504.1	Q211
Lebanon	174.5	Q822
Lesotho	39.4	Q1013
Liberia	2.3	Q1014
Libya	1.8	Q1016
Liechtenstein	35162.2	Q347
Lithuania	18267.1	Q37
Luxembourg	43151.6	Q32
Macao SAR, China	2650.3	Q14773
North Macedonia	464.7	Q221
Madagascar	5.4	Q1019
Malawi	15.4	Q1020
Malaysia	5713	Q833
Maldives	523.6	Q826
Mali	10.5	Q912
Malta	14415.1	Q233
Marshall Islands	137	Q709
Mauritania	5.5	Q1025
Mauritius	7844.8	Q1027
Mexico	225.7	Q96
Micronesia, Fed. Sts.	186.4	Q702
Moldova	3920.8	Q217
Monaco	10650.9	Q235
Mongolia	1689.8	Q711
Montenegro	416.2	Q236
Morocco	295.7	Q1028
Mozambique	11.8	Q1029
Myanmar	9.2	Q836
Namibia	149.5	Q1030
Nauru	78.7	Q697
Nepal	182.5	Q837
Netherlands	100581.5	Q55
New Caledonia	3326.8	Q33788
New Zealand	17835	Q664
Nicaragua	69.3	Q811
Niger	0.5	Q1032
Nigeria	184.2	Q1033
Northern Mariana Islands	246.1	Q16644
Norway	20886.2	Q20
Oman	156.7	Q842
Pakistan	109.1	Q843
Palau	837.7	Q695
Panama	2141.6	Q804
Papua New Guinea	49.8	Q691
Paraguay	248.4	Q733
Peru	257.3	Q419
Philippines	92.9	Q928
Poland	16227.1	Q36
Portugal	15977.3	Q45
Puerto Rico	384.9	Q1183
Qatar	396.5	Q846
Romania	15939.3	Q218
Russian Federation	5190.6	Q159
Rwanda	36.5	Q1037
Samoa	535.4	Q683
San Marino	59257.1	Q238
Sao Tome and Principe	56.9	Q1039
Saudi Arabia	161.6	Q851
Senegal	17.2	Q1041
Serbia	6899.7	Q403
Seychelles	264256.6	Q1042
Sierra Leone	5.2	Q1044
Singapore	84713.9	Q334
Sint Maarten (Dutch part)	787.1	Q26273
Slovak Republic	12993.4	Q214
Slovenia	33018.1	Q215
Solomon Islands	42.9	Q685
Somalia	4.3	Q1045
South Africa	12034.3	Q258
South Sudan	1.4	Q958
Spain	11302.8	Q29
Sri Lanka	412.4	Q854
St. Kitts and Nevis	4462.2	Q763
St. Lucia	252.9	Q760
St. Martin (French part)	295.2	Q126125
St. Vincent and the Grenadines	90.7	Q757
Sudan	4.5	Q1049
Suriname	291.7	Q730
Sweden	18608.5	Q34
Switzerland	68154.8	Q39
Syrian Arab Republic	19.1	Q858
Tajikistan	27.4	Q863
Tanzania	27.3	Q924
Thailand	953.9	Q869
Timor-Leste	29.2	Q574
Togo	7.7	Q945
Tonga	174.4	Q678
Trinidad and Tobago	281.3	Q754
Tunisia	316.2	Q948
Turkey	4335.1	Q43
Turkmenistan	6	Q874
Turks and Caicos Islands	743.4	Q18221
Tuvalu	86.9	Q672
Uganda	20.2	Q1036
Ukraine	6027.8	Q212
United Arab Emirates	1484	Q878
United Kingdom	27261.8	Q145
United States	65864.2	Q30
Uruguay	1574.8	Q77
Uzbekistan	278.9	Q265
Vanuatu	198.2	Q686
Venezuela, RB	275.6	Q717
Vietnam	1769.5	Q881
Virgin Islands (U.S.)	860	Q11703
West Bank and Gaza	469	Q407199
Yemen, Rep.	3.8	Q805
Zambia	41.2	Q953
Zimbabwe	46.6	Q954
