Country	imports (2010)	imports (2019)	ID
Afghanistan	19.1	45.8	Q889
Albania	63.6	47.1	Q222
Algeria	78.4	73	Q262
Andorra	66.8	68.6	Q228
Angola	65.7	59.2	Q916
Antigua and Barbuda	48.3	68.7	Q781
Argentina	84.7	80.2	Q414
Armenia	55.9	64.1	Q399
Aruba	59.3	64.5	Q21203
Australia	74.9	74.3	Q408
Austria	73.6	77.1	Q40
Azerbaijan	76.3	73.6	Q227
Bahrain	41.5	54	Q398
Barbados	70	51.8	Q244
Belarus	47.3	54.1	Q184
Belgium	71.2	74.3	Q31
Belize	61	62.2	Q242
Benin	38.6	32.2	Q962
Bermuda	50.5	54.7	Q23635
Bolivia	78.3	76.9	Q750
Bosnia and Herzegovina	58.4	64.8	Q225
Botswana	68.5	71.9	Q963
Brazil	74.1	75.5	Q155
Brunei Darussalam	75.3	79.9	Q921
Bulgaria	54.9	61.3	Q219
Burkina Faso	61	59.3	Q965
Burundi	81.6	61.2	Q967
Cabo Verde	57.8	55.4	Q1011
Cambodia	81.9	75.8	Q424
Cameroon	52.4	60	Q1009
Canada	76.7	78.5	Q16
Central African Republic	67.2	68.2	Q929
Chile	68.2	71.7	Q298
China	61.5	60.6	Q148
Hong Kong SAR, China	89.8	90.8	Q8646
Macao SAR, China	66.5	68.8	Q14773
Colombia	80.3	77	Q739
Comoros	60.3	49.1	Q970
Congo, Rep.	86.7	69	Q971
Costa Rica	73	74	Q800
Cote d'Ivoire	54.6	55.7	Q1008
Croatia	67.1	70.3	Q224
Cyprus	61.6	64.7	Q229
Czech Republic	77	84.9	Q213
Denmark	73.1	74	Q35
Dominican Republic	59.8	65.8	Q786
Ecuador	72.4	74.1	Q736
Egypt, Arab Rep.	60.1	59.2	Q79
El Salvador	63	64.8	Q792
Estonia	63.8	69.2	Q191
Eswatini	59.9	62	Q1050
Ethiopia	69	73.6	Q115
Fiji	47.9	61.1	Q712
Finland	60.7	61.2	Q33
France	73.3	75.7	Q142
Gambia, The	40.3	25.5	Q1005
Georgia	59.8	63.5	Q230
Germany	70.8	73.5	Q183
Ghana	81.1	74.9	Q117
Greece	58.8	52.9	Q41
Greenland	56.4	60.1	Q223
Guatemala	66	64.8	Q774
Guyana	54.1	80	Q734
Honduras	59.4	65.1	Q783
Hungary	72.1	80.9	Q28
Iceland	71.7	73.5	Q189
India	50.6	53.9	Q668
Indonesia	63.3	65.9	Q252
Iran, Islamic Rep.	70.5	66.9	Q794
Ireland	70	79.4	Q27
Israel	71.4	75.9	Q801
Italy	63.8	69.4	Q38
Jamaica	48.7	54.3	Q766
Japan	50.5	59.4	Q17
Jordan	56.3	55.1	Q810
Kazakhstan	78.7	81.8	Q232
Kenya	62.7	63	Q114
Korea, Rep.	56.8	60.8	Q884
Kuwait	80.9	80.1	Q817
Kyrgyz Republic	53.8	70.5	Q813
Lao PDR	59.9	70.6	Q819
Latvia	59.1	66	Q211
Lebanon	59	58.1	Q822
Lesotho	63.6	61.3	Q1013
Lithuania	49.9	61.3	Q37
Luxembourg	63.8	66.9	Q32
Madagascar	69.5	57.1	Q1019
Malawi	74.1	74.2	Q1020
Malaysia	74.2	70.3	Q833
Maldives	50.2	60.2	Q826
Mali	61.2	57.9	Q912
Malta	63.2	64.1	Q233
Mauritania	52.9	67.4	Q1025
Mauritius	56.4	57.4	Q1027
Mexico	79.5	74.1	Q96
Moldova	62.3	66.2	Q217
Montenegro	61	66.8	Q236
Morocco	58.8	67.6	Q1028
Mozambique	49.6	54.7	Q1029
Myanmar	54.3	64.8	Q836
Namibia	72.6	59.1	Q1030
Nepal	62.1	60.8	Q837
Netherlands	57.4	67.7	Q55
New Zealand	70.9	74.2	Q664
Nicaragua	60.8	69.5	Q811
Nigeria	86.4	57.5	Q1033
North Macedonia	61.7	62	Q221
Norway	75.8	77	Q20
Oman	74.6	72.4	Q842
Pakistan	48.5	51.7	Q843
Palau	45.3	50.8	Q695
Paraguay	79.4	76.3	Q733
Peru	72.5	70	Q419
Philippines	67.3	73.8	Q928
Poland	74.1	76.5	Q36
Portugal	67.4	71.3	Q45
Qatar	83.9	79.4	Q846
Romania	75.2	78.5	Q218
Russian Federation	74.5	83.3	Q159
Samoa	54	49.5	Q683
Sao Tome and Principe	52	46.5	Q1039
Saudi Arabia	77.7	71.5	Q851
Senegal	44.4	50.4	Q1041
Seychelles	46.6	63.2	Q1042
Singapore	65.7	71.8	Q334
Slovak Republic	75.7	82.6	Q214
Slovenia	69.6	74.9	Q215
Solomon Islands	51.8	60	Q685
South Africa	65.1	63.1	Q258
Spain	65.3	67.2	Q29
Sri Lanka	64.5	66.6	Q854
St. Kitts and Nevis	73.6	71.1	Q763
St. Lucia	60	57.3	Q760
St. Vincent and the Grenadines	53.3	57.2	Q757
Suriname	63.6	49	Q730
Sweden	69.3	70.5	Q34
Switzerland	80.7	86.5	Q39
Tanzania	60.4	69.5	Q924
Thailand	70	69.8	Q869
Togo	66.8	64.3	Q945
Tunisia	72.3	70.4	Q948
Turkey	63.3	61.3	Q43
Uganda	65.1	63	Q1036
Ukraine	53	63.5	Q212
United Arab Emirates	79.5	81.2	Q878
United Kingdom	65.9	74.1	Q145
United States	70.1	78.2	Q30
Uruguay	67.1	68.6	Q77
Vietnam	72.9	76.8	Q881
Zambia	61.9	69.4	Q953
Zimbabwe	59.9	59.3	Q954
