Country	Temperature (°C)	Date	ID
Algeria	51,30	5 July 2018	Q262
Botswana	44,00	7 January 2016	Q963
Burkina Faso	47,20	1.984,00	Q965
Chad	47,60	22 June 2010	Q657
Comoros	36,00	15 November 2017	Q970
Ghana	43,80	26 March 2017	Q117
Guinea	45,00	29 March 2017	Q1006
Morocco	51,70	19 August 1940	Q1028
Niger	49,50	7 September 1978	Q1032
Nigeria	46,40	3 April 2010	Q1033
Réunion	36,90	6 March 2004	Q17070
South Africa	50,00	3 November 1918	Q258
Sudan	49,70	25 June 2010	Q1049
Tunisia	55,00	7 July 1931	Q948
Western Sahara	50,70	13 July 1961	Q6250
Zambia	42,40	13 October 2010	Q953
Afghanistan	49,90	August 2009	Q889
Bangladesh	45,10	30 may. 1972	Q902
Bhutan	40,00	27 August 1997	Q917
Cambodia	42,60	15 April 2016	Q424
China	50,50	10 July 2017	Q148
Hong Kong	39,00	22 August 2017	Q8646
Macau	39,00	22 August 2017	Q14773
India	51,00	19 may. 2016	Q668
Indonesia	40,60	16 August 1997	Q252
Iran	54,00	29 June 2017	Q794
Iraq	53,80	22 July 2016	Q796
Israel	54,00	21 June 1942	Q801
Japan	41,10	23 July 2018	Q17
Jordan	50,00	6 September 2002	Q810
Kuwait	53,90	21 July 2016	Q817
Laos	42,30	12 April 2016	Q819
Malaysia	40,10	9 April 1998	Q833
Maldives	34,90	16 April 2016	Q826
Mongolia	44,00	24 July 1999	Q711
Myanmar	47,20	14 may. 2010	Q836
Nepal	46,40	16 June 1995	Q837
Oman	50,80	30 may. 2017	Q842
Pakistan	53,70	28 may. 2017	Q843
Philippines	42,20	11 may. 1969	Q928
Qatar	50,40	14 July 2010	Q846
Siberia	43,20	5 June 1898	Q5428
Saudi Arabia	52,00	23 June 2010	Q851
Singapore	37,00	17 April 1983	Q334
South Korea	41,00	1 August 2018	Q884
Taiwan	40,30	9 July 2018	Q865
Thailand	44,60	28 April 2016	Q869
Turkey	49,00	27 August 1961	Q43
Turkmenistan	50,10	28 July 1983	Q874
United Arab Emirates	52,10	July 2002	Q878
Vietnam	43,40	20 April 2019	Q881
Albania	42,20	6 July 1988	Q222
Armenia	43,70	1 August 2011	Q399
Austria	40,50	8 August 2013	Q40
Belarus	38,90	7 August 2010	Q184
Belgium	41,80	25 July 2019	Q31
Bosnia and Herzegovina	46,20	31 July 1901	Q225
Bulgaria	45,20	5 August 1916	Q219
Croatia	42,80	5 August 1981	Q224
Cyprus	46,20	4 September 2020	Q229
Czech Republic	40,40	20 August 2012	Q213
Denmark	36,40	10 August 1975	Q35
Estonia	35,60	11 August 1992	Q191
Finland	37,20	29 July 2010	Q33
France	46,00	28 June 2019	Q142
Germany	42,60	25 July 2019	Q183
Greece	48,00	10 July 1977	Q41
Hungary	41,90	20 July 2007	Q28
Iceland	30,50	22 June 1939	Q189
Ireland	33,30	26 June 1887	Q27
Italy	47,00	25 June 2007	Q38
Latvia	37,80	4 August 2014	Q211
Lithuania	37,50	30 July 1994	Q37
Luxembourg	40,80	25 July 2019	Q32
Malta	43,80	9 August 1999	Q233
Moldova	42,40	7 August 2012	Q217
Montenegro	44,80	8 August 2012	Q236
Netherlands	40,70	25 July 2019	Q55
North Macedonia	45,70	24 July 2007	Q221
Norway	35,60	20 June 1970	Q20
Poland	40,20	29 July 1921	Q36
Portugal	47,40	1 August 2003	Q45
Romania	44,50	10 August 1951	Q218
Russia (in Europe)	45,40	12 July 2010	Q875134
San Marino	40,30	9 August 2017	Q238
Serbia	44,90	24 July 2007	Q403
Slovakia	40,30	20 July 2007	Q214
Slovenia	40,80	8 August 2013	Q215
Spain	47,30	13 July 2017	Q29
Sweden	38,00	29 June 1947	Q34
Switzerland	41,50	11 August 2003	Q39
Ukraine	42,00	12 August 2010	Q212
United Kingdom	38,70	25 July 2019	Q145
Vatican City	40,70	2 August 2017	Q237
Anguilla	34,20	12 September 2015	Q25228
Antigua and Barbuda	34,90	12 August 1995	Q781
British Virgin Islands	35,00	22 July 2016	Q25305
Canada	45,00	5 July 1937	Q16
Cayman Islands	34,90	21 August 2016	Q5785
Cuba	39,10	30 June 2019	Q241
Dominica	35,50	3 October 2015	Q784
Dominican Republic	43,00	31 August 1954	Q786
Greenland	29.1	23 June 1915	Q223
Martinique	36,50	6 October 2010	Q17054
Mexico	52,00	28 July 1995	Q96
Panama	40,00	20 March 1998	Q804
Puerto Rico	40,00	2 July 1996	Q1183
United States	56,70	10 July 1913	Q30
United States Virgin Islands	37,20	23 June 1996	Q11703
Australia	50,70	2 January 1960	Q408
Marshall Islands	35,60	24 August 2016	Q709
New Zealand	42,40	7 February 1973	Q664
Palau	35,00	22 March 2018	Q695
Samoa	35,30	24 December 1968	Q683
Solomon Islands	36,10	1 February 2010	Q685
Tonga	35,50	1 February 2016	Q678
Vanuatu	36,20	8 February 2016	Q686
Wallis and Futuna	35,80	10 January 2016	Q35555
Argentina	48,90	11 December 1905	Q414
Bolivia	46,70	29 October 2010	Q750
Brazil	44,70	21 November 2005	Q155
Chile	44,90	26 January 2017	Q298
Colombia	45,00	29 December 2015	Q739
French Guiana	38,00	27 September 2016	Q3769
Paraguay	45,00	14 November 2009	Q733
Uruguay	44,00	20 January 1943	Q77
Venezuela	43,60	29 April 2015	Q717
