Country	Modeled estimates	ID
Afghanistan	638	Q889
Albania	15	Q222
Algeria	112	Q262
Angola	241	Q916
Antigua and Barbuda	42	Q781
Argentina	39	Q414
Armenia	26	Q399
Australia	6	Q408
Austria	5	Q40
Azerbaijan	26	Q227
Bahamas, The	70	Q778
Bahrain	14	Q398
Bangladesh	173	Q902
Barbados	27	Q244
Belarus	2	Q184
Belgium	5	Q31
Belize	36	Q242
Benin	397	Q962
Bhutan	183	Q917
Bolivia	155	Q750
Bosnia and Herzegovina	10	Q225
Botswana	144	Q963
Brazil	60	Q155
Brunei Darussalam	31	Q921
Bulgaria	10	Q219
Burkina Faso	320	Q965
Burundi	548	Q967
Cabo Verde	58	Q1011
Cambodia	160	Q424
Cameroon	529	Q1009
Canada	10	Q16
Central African Republic	829	Q929
Chad	1,14	Q657
Chile	13	Q298
China	29	Q148
Colombia	83	Q739
Comoros	273	Q970
Congo, Dem. Rep.	473	Q974
Congo, Rep.	378	Q971
Costa Rica	27	Q800
Cote d'Ivoire	617	Q1008
Croatia	8	Q224
Cuba	36	Q241
Cyprus	6	Q229
Czech Republic	3	Q213
Denmark	4	Q35
Djibouti	248	Q977
Dominican Republic	95	Q786
Ecuador	59	Q736
Egypt, Arab Rep.	37	Q79
El Salvador	46	Q792
Equatorial Guinea	301	Q983
Eritrea	480	Q986
Estonia	9	Q191
Eswatini	437	Q1050
Ethiopia	401	Q115
Fiji	34	Q712
Finland	3	Q33
France	8	Q142
Gabon	252	Q1000
Gambia, The	597	Q1005
Georgia	25	Q230
Germany	7	Q183
Ghana	308	Q117
Greece	3	Q41
Grenada	25	Q769
Guatemala	95	Q774
Guinea	576	Q1006
Guinea-Bissau	667	Q1007
Guyana	169	Q734
Haiti	480	Q790
Honduras	65	Q783
Hungary	12	Q28
Iceland	4	Q189
India	145	Q668
Indonesia	177	Q252
Iran, Islamic Rep.	16	Q794
Iraq	79	Q796
Ireland	5	Q27
Israel	3	Q801
Italy	2	Q38
Jamaica	80	Q766
Japan	5	Q17
Jordan	46	Q810
Kazakhstan	10	Q232
Kenya	342	Q114
Kiribati	92	Q710
Korea, Dem. People’s Rep.	89	Q423
Korea, Rep.	11	Q884
Kuwait	12	Q817
Kyrgyz Republic	60	Q813
Lao PDR	185	Q819
Latvia	19	Q211
Lebanon	29	Q822
Lesotho	544	Q1013
Liberia	661	Q1014
Libya	72	Q1016
Lithuania	8	Q37
Luxembourg	5	Q32
Madagascar	335	Q1019
Malawi	349	Q1020
Malaysia	29	Q833
Maldives	53	Q826
Mali	562	Q912
Malta	6	Q233
Mauritania	766	Q1025
Mauritius	61	Q1027
Mexico	33	Q96
Micronesia, Fed. Sts.	88	Q702
Moldova	19	Q217
Mongolia	45	Q711
Montenegro	6	Q236
Morocco	70	Q1028
Mozambique	289	Q1029
Myanmar	250	Q836
Namibia	195	Q1030
Nepal	186	Q837
Netherlands	5	Q55
New Zealand	9	Q664
Nicaragua	98	Q811
Niger	509	Q1032
Nigeria	917	Q1033
North Macedonia	7	Q221
Norway	2	Q20
Oman	19	Q842
Pakistan	140	Q843
Panama	52	Q804
Papua New Guinea	145	Q691
Paraguay	129	Q733
Peru	88	Q419
Philippines	121	Q928
Poland	2	Q36
Portugal	8	Q45
Puerto Rico	21	Q1183
Qatar	9	Q846
Romania	19	Q218
Russian Federation	17	Q159
Rwanda	248	Q1037
Samoa	43	Q683
Sao Tome and Principe	130	Q1039
Saudi Arabia	17	Q851
Senegal	315	Q1041
Serbia	12	Q403
Seychelles	53	Q1042
Sierra Leone	1,12	Q1044
Singapore	8	Q334
Slovak Republic	5	Q214
Slovenia	7	Q215
Solomon Islands	104	Q685
Somalia	829	Q1045
South Africa	119	Q258
South Sudan	1,15	Q958
Spain	4	Q29
Sri Lanka	36	Q854
St. Lucia	117	Q760
St. Vincent and the Grenadines	68	Q757
Sudan	295	Q1049
Suriname	120	Q730
Sweden	4	Q34
Switzerland	5	Q39
Syrian Arab Republic	31	Q858
Tajikistan	17	Q863
Tanzania	524	Q924
Thailand	37	Q869
Timor-Leste	142	Q574
Togo	396	Q945
Tonga	52	Q678
Trinidad and Tobago	67	Q754
Tunisia	43	Q948
Turkey	17	Q43
Turkmenistan	7	Q874
Uganda	375	Q1036
Ukraine	19	Q212
United Arab Emirates	3	Q878
United Kingdom	7	Q145
United States	19	Q30
Uruguay	17	Q77
Uzbekistan	29	Q265
Vanuatu	72	Q686
Venezuela, RB	125	Q717
Vietnam	43	Q881
West Bank and Gaza	27	Q407199
Yemen, Rep.	164	Q805
Zambia	213	Q953
Zimbabwe	458	Q954
