Country	Male	Female	ID
Afghanistan	22.5	7.2	Q889
Albania	42	38.1	Q222
Algeria	56.3	29.3	Q262
Argentina	46.5	50.8	Q414
Armenia	55.8	40.9	Q399
Australia	99.9	99.2	Q408
Austria	97.9	98.4	Q40
Azerbaijan	29.4	27.7	Q227
Bahrain	86.3	75.4	Q398
Bangladesh	64.6	35.8	Q902
Belarus	80.9	81.3	Q184
Belgium	98.4	98.8	Q31
Benin	48.6	28.6	Q962
Bolivia	55	53.9	Q750
Bosnia and Herzegovina	63.2	54.7	Q225
Botswana	56.2	46.8	Q963
Brazil	72.8	67.5	Q155
Bulgaria	70.6	73.6	Q219
Burkina Faso	51.3	34.5	Q965
Cambodia	21.8	21.5	Q424
Cameroon	39.2	30	Q1009
Canada	99.6	99.9	Q16
Central African Republic	18.1	9.7	Q929
Chad	29	14.9	Q657
Chile	77.8	71.3	Q298
China	84	76.4	Q148
Hong Kong SAR, China	96	94.7	Q8646
Colombia	49.4	42.5	Q739
Congo, Dem. Rep.	27.4	24.2	Q974
Congo, Rep.	31.2	21	Q971
Costa Rica	75.5	60.9	Q800
Cote d'Ivoire	46.6	35.6	Q1008
Croatia	89.8	82.7	Q224
Cyprus	87.3	90	Q229
Czech Republic	83.6	78.6	Q213
Denmark	99.8	100	Q35
Dominican Republic	58.4	54.1	Q786
Ecuador	60.2	42.6	Q736
Egypt, Arab Rep.	38.7	27	Q79
El Salvador	37.6	24.4	Q792
Estonia	97.5	98.4	Q191
Ethiopia	40.9	29.1	Q115
Finland	100	99.6	Q33
France	97	91.3	Q142
Gabon	63.8	53.7	Q1000
Georgia	58.5	63.6	Q230
Germany	99.1	99.2	Q183
Ghana	61.8	53.7	Q117
Greece	86.4	84.5	Q41
Guatemala	46.4	42.1	Q774
Guinea	27.3	19.7	Q1006
Haiti	35.4	30	Q790
Honduras	50.2	41	Q783
Hungary	78.2	72.2	Q28
India	83	76.6	Q668
Indonesia	46.2	51.4	Q252
Iran, Islamic Rep.	96.5	91.6	Q794
Iraq	25.8	19.5	Q796
Ireland	95.4	95.3	Q27
Israel	91.9	93.7	Q801
Italy	96.1	91.6	Q38
Japan	98.5	98.1	Q17
Jordan	56.3	26.6	Q810
Kazakhstan	56.9	60.3	Q232
Kenya	85.8	77.7	Q114
Korea, Rep.	95	94.7	Q884
Kosovo	61.1	43.7	Q1246
Kuwait	83.3	73.5	Q817
Kyrgyz Republic	41.2	38.9	Q813
Lao PDR	26.1	31.9	Q819
Latvia	94.1	92.5	Q211
Lebanon	56.7	32.9	Q822
Lesotho	44.6	46.5	Q1013
Liberia	43.7	28.2	Q1014
Libya	70.7	59.6	Q1016
Lithuania	85.1	81	Q37
Luxembourg	99.3	98.2	Q32
North Macedonia	80.4	72.9	Q221
Madagascar	19.6	16.3	Q1019
Malawi	37.9	29.8	Q1020
Malaysia	87.9	82.5	Q833
Mali	45.5	25.7	Q912
Malta	97.8	97	Q233
Mauritania	26.3	15.5	Q1025
Mauritius	92.7	87.1	Q1027
Mexico	41.1	33.3	Q96
Moldova	42.9	44.6	Q217
Mongolia	90.8	95	Q711
Montenegro	69.2	67.6	Q236
Morocco	41.5	16.8	Q1028
Mozambique	51.1	32.9	Q1029
Myanmar	26	26	Q836
Namibia	80.6	80.7	Q1030
Nepal	50	41.6	Q837
Netherlands	99.4	99.8	Q55
New Zealand	99	99.3	Q664
Nicaragua	37.4	24.8	Q811
Niger	19.9	10.9	Q1032
Nigeria	51.4	27.3	Q1033
Norway	99.5	100	Q20
Pakistan	34.6	7	Q843
Panama	50.9	42.3	Q804
Paraguay	51.2	46	Q733
Peru	51	34.4	Q419
Philippines	30	38.9	Q928
Poland	85.4	88	Q36
Portugal	94.2	90.6	Q45
Romania	62.4	53.6	Q218
Russian Federation	75.3	76.1	Q159
Rwanda	55.7	45	Q1037
Saudi Arabia	80.5	58.2	Q851
Senegal	46.7	38.4	Q1041
Serbia	72.9	70.1	Q403
Sierra Leone	24.8	15.4	Q1044
Singapore	99.7	96.3	Q334
Slovak Republic	85.3	83.1	Q214
Slovenia	98.2	96.9	Q215
South Africa	68.4	70	Q258
South Sudan	12.5	4.7	Q958
Spain	95.9	91.6	Q29
Sri Lanka	73.9	73.4	Q854
Sweden	99.5	100	Q34
Switzerland	98	98.9	Q39
Tajikistan	52.1	42.1	Q863
Tanzania	51.6	42.2	Q924
Thailand	83.7	79.8	Q869
Togo	53	37.6	Q945
Trinidad and Tobago	88.2	73.6	Q754
Tunisia	45.7	28.4	Q948
Turkey	83	54.3	Q43
Turkmenistan	45.7	35.5	Q874
Uganda	66.1	52.7	Q1036
Ukraine	65	61.3	Q212
United Arab Emirates	92.7	76.4	Q878
United Kingdom	96.7	96.1	Q145
United States	93.6	92.7	Q30
Uruguay	67.6	60.6	Q77
Uzbekistan	38.3	36	Q265
Venezuela, RB	77.3	70	Q717
Vietnam	31.2	30.4	Q881
West Bank and Gaza	34.4	15.9	Q407199
Zambia	51.7	40.3	Q953
Zimbabwe	59.2	51.7	Q954
