Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	89	79	Q889
Albania	9	7	Q222
Angola	50	39	Q916
Argentina	11	9	Q414
Armenia	15	8	Q399
Australia	12	11	Q408
Austria	10	9	Q40
Azerbaijan	68	60	Q227
Bahamas, The	15	10	Q778
Bangladesh	23	15	Q902
Barbados	7	8	Q244
Belarus	9	26	Q184
Belgium	4	5	Q31
Belize	15	13	Q242
Bhutan	64	48	Q917
Bosnia and Herzegovina	10	9	Q225
Botswana	36	27	Q963
Brazil	19	19	Q155
Burkina Faso	36	21	Q965
Cabo Verde	32	20	Q1011
Cambodia	39	23	Q424
Cameroon	29	19	Q1009
Canada	8	8	Q16
Central African Republic	43	49	Q929
Chile	13	10	Q298
China	9	16	Q148
Macao SAR, China	6	9	Q14773
Colombia	33	29	Q739
Congo, Rep.	88	67	Q971
Costa Rica	8	15	Q800
Cote d'Ivoire	16	8	Q1008
Czech Republic	11	8	Q213
Dominican Republic	12	13	Q786
Egypt, Arab Rep.	44	43	Q79
El Salvador	17	19	Q792
Equatorial Guinea	72	69	Q983
Estonia	13	10	Q191
Ethiopia	48	26	Q115
Fiji	10	10	Q712
Finland	14	12	Q33
Gabon	52	37	Q1000
Georgia	15	8	Q230
Germany	5	5	Q183
Ghana	30	20	Q117
Guatemala	4	3	Q774
Honduras	21	13	Q783
Hungary	13	13	Q28
Iceland	35	34	Q189
India	21	13	Q668
Indonesia	27	22	Q252
Israel	16	13	Q801
Italy	5	6	Q38
Japan	12	10	Q17
Jordan	36	44	Q810
Kazakhstan	28	26	Q232
Kiribati	72	78	Q710
Korea, Rep.	17	19	Q884
Kuwait	98	96	Q817
Latvia	24	18	Q211
Lebanon	15	21	Q822
Lesotho	46	33	Q1013
Lithuania	17	10	Q37
Madagascar	26	22	Q1019
Malawi	37	13	Q1020
Malaysia	31	25	Q833
Mali	27	16	Q912
Marshall Islands	72	72	Q709
Mauritius	14	13	Q1027
Mexico	33	19	Q96
Micronesia, Fed. Sts.	87	51	Q702
Moldova	17	5	Q217
Mongolia	23	25	Q711
Morocco	15	16	Q1028
Mozambique	36	12	Q1029
Myanmar	77	60	Q836
Namibia	8	14	Q1030
Nepal	26	14	Q837
Netherlands	10	5	Q55
New Zealand	16	12	Q664
Nicaragua	16	11	Q811
North Macedonia	12	8	Q221
Norway	23	28	Q20
Palau	64	52	Q695
Paraguay	23	17	Q733
Peru	15	13	Q419
Philippines	9	9	Q928
Portugal	12	11	Q45
Russian Federation	31	43	Q159
Samoa	29	28	Q683
San Marino	27	24	Q238
Saudi Arabia	93	71	Q851
Seychelles	17	12	Q1042
Singapore	24	28	Q334
Solomon Islands	23	30	Q685
South Africa	9	11	Q258
Spain	14	14	Q29
Sri Lanka	12	10	Q854
St. Kitts and Nevis	39	41	Q763
St. Lucia	13	12	Q760
St. Vincent and the Grenadines	15	11	Q757
Sudan	52	18	Q1049
Switzerland	8	8	Q39
Tanzania	37	22	Q924
Thailand	15	18	Q869
Timor-Leste	64	68	Q574
Togo	31	29	Q945
Tonga	48	50	Q678
Trinidad and Tobago	14	27	Q754
Turkey	11	18	Q43
Ukraine	20	18	Q212
United Arab Emirates	86	92	Q878
United Kingdom	5	6	Q145
United States	9	6	Q30
Uruguay	7	9	Q77
Uzbekistan	27	13	Q265
Vanuatu	37	54	Q686
West Bank and Gaza	42	23	Q407199
Zambia	23	19	Q953
Zimbabwe	10	8	Q954
