Sierra Leone	42.2	196.2	Q1044
Singapore	58.6	133	Q334
Slovak Republic	81	118.8	Q214
Slovenia	102.4	86.3	Q215
Solomon Islands	81	112.9	Q685
Somalia	94.8	91.2	Q1045
South Africa	102.7	104.8	Q258
Spain	102.5	108.7	Q29
Sri Lanka	96.4	130.8	Q854
St. Kitts and Nevis	143.4	30.5	Q763
St. Lucia	154.8	45.3	Q760
St. Vincent and the Grenadines	83.6	111.3	Q757
Suriname	96	153	Q730
Sweden	105.6	115	Q34
Switzerland	118	91.8	Q39
Syrian Arab Republic	81.3	78	Q858
Tajikistan	66.7	160.5	Q863
Tanzania	66.7	174.8	Q924
Thailand	90.1	115.7	Q869
Timor-Leste	88.3	110	Q574
Togo	90.2	140.9	Q945
Tonga	94	142.3	Q678
Trinidad and Tobago	132.3	60.2	Q754
Tunisia	78.8	112.4	Q948
Turkey	95.5	119.3	Q43
Turkmenistan	71	83.2	Q874
Tuvalu	93.7	113	Q672
Uganda	92.6	81.6	Q1036
Ukraine	76.4	192.2	Q212
United Arab Emirates	200.8	83	Q878
United Kingdom	105.5	98.1	Q145
United States	94.6	122.2	Q30
Uruguay	70.1	155.9	Q77
Uzbekistan	76.5	167.1	Q265
Vanuatu	96.7	128.1	Q686
Venezuela, RB	97.7	78.5	Q717
Vietnam	80.2	135.1	Q881
West Bank and Gaza	106.3	86.8	Q407199
Yemen, Rep.	84.4	129	Q805
Zambia	72	171.4	Q953
Zimbabwe	125.7	95.6	Q954
