Country	Imports (2010)	Imports (2019)	ID
Afghanistan	19	8	Q889
Albania	11	10	Q222
Algeria	67	60	Q262
Angola	73	49	Q916
Antigua and Barbuda	22	52	Q781
Argentina	35	36	Q414
Armenia	13	8	Q399
Aruba	43	45	Q21203
Australia	27	27	Q408
Austria	35	48	Q40
Azerbaijan	56	47	Q227
Bahamas, The	33	41	Q778
Bahrain	11	10	Q398
Bangladesh	8	17	Q902
Barbados	62	65	Q244
Belarus	28	43	Q184
Belgium	46	54	Q31
Belize	21	25	Q242
Benin	22	25	Q962
Bermuda	29	42	Q23635
Bhutan	28	42	Q917
Bolivia	18	34	Q750
Bosnia and Herzegovina	27	18	Q225
Botswana	49	55	Q963
Brazil	48	53	Q155
Brunei Darussalam	22	52	Q921
Bulgaria	44	27	Q219
Burkina Faso	35	28	Q965
Burundi	14	14	Q967
Cabo Verde	16	40	Q1011
Cambodia	24	13	Q424
Cameroon	46	29	Q1009
Canada	37	38	Q16
Chile	26	39	Q298
China	3	26	Q148
Hong Kong SAR, China	46	34	Q8646
Macao SAR, China	43	44	Q14773
Colombia	28	22	Q739
Comoros	6	16	Q970
Congo, Dem. Rep.	19	26	Q974
Congo, Rep.	66	16	Q971
Costa Rica	25	32	Q800
Cote d'Ivoire	20	30	Q1008
Croatia	49	44	Q224
Curacao	49	43	Q25279
Cyprus	21	37	Q229
Czech Republic	45	49	Q213
Denmark	31	39	Q35
Djibouti	14	3	Q977
Dominica	21	50	Q784
Dominican Republic	12	25	Q786
Ecuador	14	15	Q736
Egypt, Arab Rep.	21	30	Q79
El Salvador	22	20	Q792
Estonia	42	39	Q191
Eswatini	74	63	Q1050
Ethiopia	25	20	Q115
Fiji	13	21	Q712
Finland	59	62	Q33
France	50	55	Q142
French Polynesia	27	24	Q30971
Gambia, The	27	2	Q1005
Georgia	11	12	Q230
Germany	39	50	Q183
Ghana	25	70	Q117
Greece	22	18	Q41
Grenada	22	46	Q769
Guatemala	18	19	Q774
Guinea	32	38	Q1006
Guinea-Bissau	38	22	Q1007
Guyana	39	54	Q734
Haiti	10	18	Q790
Honduras	10	22	Q783
Hungary	60	59	Q28
Iceland	45	36	Q189
India	58	61	Q668
Indonesia	35	37	Q252
Iraq	3	5	Q796
Ireland	78	88	Q27
Israel	46	46	Q801
Italy	43	43	Q38
Jamaica	37	44	Q766
Japan	48	65	Q17
Jordan	7	5	Q810
Kazakhstan	67	52	Q232
Kenya	30	43	Q114
Kiribati	12	19	Q710
Korea, Rep.	46	51	Q884
Kosovo	47	26	Q1246
Kuwait	18	33	Q817
Kyrgyz Republic	25	13	Q813
Lao PDR	8	5	Q819
Latvia	34	43	Q211
Lebanon	41	26	Q822
Lesotho	14	11	Q1013
Liberia	82	19	Q1014
Libya	4	1	Q1016
Lithuania	16	27	Q37
Luxembourg	28	40	Q32
Madagascar	52	33	Q1019
Malawi	24	30	Q1020
Malaysia	35	39	Q833
Maldives	16	39	Q826
Mali	23	25	Q912
Malta	56	66	Q233
Marshall Islands	26	0	Q709
Mauritania	57	57	Q1025
Mauritius	44	37	Q1027
Mexico	17	10	Q96
Moldova	22	28	Q217
Mongolia	25	33	Q711
Montenegro	53	47	Q236
Morocco	28	28	Q1028
Mozambique	45	78	Q1029
Myanmar	33	50	Q836
Namibia	65	55	Q1030
Nepal	16	14	Q837
Netherlands	64	68	Q55
New Caledonia	56	56	Q33788
New Zealand	37	35	Q664
Nicaragua	24	16	Q811
Niger	20	30	Q1032
Nigeria	26	44	Q1033
North Macedonia	46	49	Q221
Norway	41	41	Q20
Oman	31	30	Q842
Pakistan	25	39	Q843
Palau	30	18	Q695
Panama	9	21	Q804
Papua New Guinea	61	68	Q691
Paraguay	2	2	Q733
Peru	28	29	Q419
Philippines	15	30	Q928
Poland	45	50	Q36
Portugal	38	40	Q45
Qatar	18	20	Q846
Romania	54	49	Q218
Russian Federation	42	44	Q159
Rwanda	3	11	Q1037
Samoa	34	49	Q683
Sao Tome and Principe	1	34	Q1039
Saudi Arabia	28	32	Q851
Senegal	24	23	Q1041
Serbia	41	44	Q403
Seychelles	30	55	Q1042
Sierra Leone	43	38	Q1044
Singapore	47	49	Q334
Sint Maarten (Dutch part)	41	58	Q26273
Slovak Republic	37	44	Q214
Slovenia	44	51	Q215
Solomon Islands	43	44	Q685
South Africa	30	33	Q258
Spain	74	47	Q29
Sri Lanka	13	13	Q854
St. Kitts and Nevis	33	51	Q763
St. Lucia	26	54	Q760
St. Vincent and the Grenadines	18	30	Q757
Sudan	2	18	Q1049
Suriname	50	77	Q730
Sweden	50	58	Q34
Switzerland	60	66	Q39
Tajikistan	12	17	Q863
Tanzania	12	21	Q924
Thailand	35	37	Q869
Timor-Leste	77	42	Q574
Togo	15	15	Q945
Tonga	18	26	Q678
Trinidad and Tobago	27	57	Q754
Tunisia	20	14	Q948
Turkey	18	40	Q43
Uganda	19	31	Q1036
Ukraine	26	22	Q212
United Kingdom	42	52	Q145
United States	37	40	Q30
Uruguay	22	41	Q77
Vanuatu	15	22	Q686
Venezuela, RB	46	47	Q717
West Bank and Gaza	15	19	Q407199
Yemen, Rep.	32	30	Q805
Zambia	28	15	Q953
Zimbabwe	36	33	Q954
