Country	Summer Games	Winter Games	Combined Total	ID
Afghanistan	2	0	2	Q889
Algeria	17	0	17	Q262
Argentina	74	0	74	Q414
Armenia	14	0	14	Q399
Australia	497	15	512	Q408
Austria	87	232	319	Q40
Azerbaijan	42	0	42	Q227
Bahamas	14	0	14	Q778
Bahrain	3	0	3	Q398
Barbados	1	0	1	Q244
Belarus	78	18	96	Q184
Belgium	148	6	154	Q31
Bermuda	1	0	1	Q23635
Botswana	1	0	1	Q963
Brazil	129	0	129	Q155
Bulgaria	218	6	224	Q219
Burundi	2	0	2	Q967
Cameroon	6	0	6	Q1009
Canada	302	199	501	Q16
Chile	13	0	13	Q298
China	546	62	608	Q148
Colombia	28	0	28	Q739
Costa Rica	4	0	4	Q800
Ivory Coast	3	0	3	Q1008
Croatia	33	11	44	Q224
Cuba	226	0	226	Q241
Cyprus	1	0	1	Q229
Czech Republic	56	31	87	Q213
Denmark	194	1	195	Q35
Djibouti	1	0	1	Q977
Dominican Republic	7	0	7	Q786
Ecuador	2	0	2	Q736
Eritrea	1	0	1	Q986
Estonia	34	7	41	Q191
Ethiopia	54	0	54	Q115
Fiji	1	0	1	Q712
Finland	303	167	470	Q33
France	716	124	840	Q142
Gabon	1	0	1	Q1000
Georgia	32	0	32	Q230
Germany	615	240	855	Q183
Ghana	4	0	4	Q117
Great Britain	851	32	883	Q145
Greece	116	0	116	Q41
Grenada	2	0	2	Q769
Guatemala	1	0	1	Q774
Guyana	1	0	1	Q734
Guyana	2	0	2	Q734
Hong Kong	3	0	3	Q8646
Hungary	491	7	498	Q28
Iceland	4	0	4	Q189
India	28	0	28	Q668
Indonesia	32	0	32	Q252
Iran	69	0	69	Q794
Iraq	1	0	1	Q796
Ireland	31	0	31	Q27
Israel	9	0	9	Q801
Italy	577	124	701	Q38
Jamaica	78	0	78	Q766
Japan	439	58	497	Q17
Jordan	1	0	1	Q810
Kazakhstan	64	8	72	Q232
Kenya	103	0	103	Q114
Kosovo	1	0	1	Q1246
North Korea	54	2	56	Q423
South Korea	267	70	337	Q884
Kuwait	2	0	2	Q817
Kyrgyzstan	4	0	4	Q813
Latvia	19	9	28	Q211
Lebanon	4	0	4	Q822
Liechtenstein	0	10	10	Q347
Lithuania	25	0	25	Q37
Luxembourg	2	2	4	Q32
Malaysia	11	0	11	Q833
Mauritius	1	0	1	Q1027
Mexico	69	0	69	Q96
Moldova	5	0	5	Q217
Mongolia	26	0	26	Q711
Montenegro	1	0	1	Q236
Morocco	23	0	23	Q1028
Mozambique	2	0	2	Q1029
Namibia	4	0	4	Q1030
Netherlands	285	130	415	Q55
New Zealand	117	3	120	Q664
Niger	2	0	2	Q1032
Nigeria	25	0	25	Q1033
North Macedonia	1	0	1	Q221
Norway	152	368	520	Q20
Pakistan	10	0	10	Q843
Panama	3	0	3	Q804
Paraguay	1	0	1	Q733
Peru	4	0	4	Q419
Philippines	10	0	10	Q928
Poland	284	22	306	Q36
Portugal	24	0	24	Q45
Puerto Rico	9	0	9	Q1183
Qatar	5	0	5	Q846
Romania	306	1	307	Q218
Russia	426	121	547	Q159
Saudi Arabia	3	0	3	Q851
Samoa	1	0	1	Q683
Senegal	1	0	1	Q1041
Serbia	15	0	15	Q403
Singapore	5	0	5	Q334
Slovakia	28	8	36	Q214
Slovenia	23	17	40	Q215
South Africa	86	0	86	Q258
Spain	150	4	154	Q29
Sri Lanka	2	0	2	Q854
Sudan	1	0	1	Q1049
Suriname	2	0	2	Q730
Sweden	494	158	652	Q34
Switzerland	192	153	345	Q39
Syria	3	0	3	Q858
Chinese Taipei	24	0	24	Q1867
Tajikistan	4	0	4	Q863
Tanzania	2	0	2	Q924
Thailand	33	0	33	Q869
Togo	1	0	1	Q945
Tonga	1	0	1	Q678
Trinidad and Tobago	19	0	19	Q754
Tunisia	13	0	13	Q948
Turkey	91	0	91	Q43
Uganda	7	0	7	Q1036
Ukraine	120	8	128	Q212
United Arab Emirates	2	0	2	Q878
United States	2,523	305	2,828	Q30
Uruguay	10	0	10	Q77
Uzbekistan	31	1	32	Q265
Venezuela	15	0	15	Q717
Vietnam	5	0	5	Q881
Virgin Islands	1	0	1	Q11703
Zambia	2	0	2	Q953
Zimbabwe	8	0	8	Q954
