Country	Male	Female	ID
Afghanistan	126.5	125.1	Q889
Albania	136.1	129.4	Q222
Algeria	127.6	124.2	Q262
Andorra	126.3	117.0	Q228
Angola	130.8	128.4	Q916
Antigua and Barbuda	129.3	123.2	Q781
Argentina	128.4	120.5	Q414
Armenia	133.1	128.4	Q399
Australia	123.9	115.5	Q408
Austria	127.6	120.1	Q40
Azerbaijan	130.3	126.2	Q227
Bahamas	128.8	121.0	Q778
Bahrain	126.8	119.8	Q398
Bangladesh	119.5	119.2	Q902
Barbados	129.9	124.7	Q244
Belarus	134.9	125.5	Q184
Belgium	129.5	121.2	Q31
Belize	125.8	118.8	Q242
Benin	127.8	125.5	Q962
Bhutan	127.9	126.2	Q917
Bolivia (Plurinational State of)	124.5	120.0	Q750
Bosnia and Herzegovina	132.8	128.2	Q225
Botswana	132.4	129.3	Q963
Brazil	133.3	124.3	Q155
Brunei Darussalam	126.2	118.8	Q921
Bulgaria	134.2	125.1	Q219
Burkina Faso	128.0	125.1	Q965
Burundi	130.5	128.9	Q967
Cabo Verde	134.9	129.2	Q1011
Cambodia	124.1	118.0	Q424
Cameroon	130.1	126.5	Q1009
Canada	118.4	111.3	Q16
Central African Republic	130.9	129.4	Q929
Chad	130.7	129.5	Q657
Chile	128.3	119.7	Q298
China	126.1	121.5	Q148
Colombia	126.4	119.1	Q739
Comoros	130.3	129.1	Q970
Congo	130.4	128.0	Q971
Cook Islands	133.0	125.1	Q26988
Costa Rica	126.2	120.2	Q800
Côte d'Ivoire	132.8	128.0	Q1008
Croatia	137.2	127.5	Q224
Cuba	123.5	117.6	Q241
Cyprus	126.5	118.1	Q229
Czechia	131.6	121.0	Q213
Democratic People's Republic of Korea	125.5	122.6	Q423
Democratic Republic of the Congo	129.7	126.9	Q974
Denmark	127.3	119.3	Q35
Djibouti	129.9	126.7	Q977
Dominica	131.9	126.5	Q784
Dominican Republic	127.5	122.2	Q786
Ecuador	124.6	119.2	Q736
Egypt	129.3	126.1	Q79
El Salvador	124.3	118.6	Q792
Equatorial Guinea	131.0	127.8	Q983
Eritrea	124.5	121.6	Q986
Estonia	135.5	124.5	Q191
Eswatini	129.4	128.7	Q1050
Ethiopia	128.3	127.2	Q115
