Country	Manufactoring %	ID
Albania	27	Q222
Argentina	8	Q414
Australia	5	Q408
Austria	4	Q40
Azerbaijan	3	Q227
Bahamas, The	2	Q778
Bahrain	3	Q398
Bangladesh	40	Q902
Belgium	5	Q31
Bermuda	2	Q23635
Bolivia	5	Q750
Botswana	5	Q963
Brazil	7	Q155
Bulgaria	14	Q219
Cambodia	87	Q424
Cameroon	19	Q1009
Canada	4	Q16
China	11	Q148
Hong Kong SAR, China	20	Q8646
Macao SAR, China	79	Q14773
Colombia	11	Q739
Congo, Dem. Rep.	3	Q974
Congo, Rep.	3	Q971
Costa Rica	6	Q800
Croatia	5	Q224
Cyprus	7	Q229
Czech Republic	6	Q213
Denmark	2	Q35
Ecuador	5	Q736
Egypt, Arab Rep.	16	Q79
El Salvador	28	Q792
Eritrea	12	Q986
Estonia	15	Q191
Ethiopia	12	Q115
Fiji	20	Q712
Finland	2	Q33
France	4	Q142
Georgia	1	Q230
Germany	2	Q183
Ghana	4	Q117
Greece	12	Q41
Hungary	5	Q28
Iceland	3	Q189
India	13	Q668
Indonesia	17	Q252
Iran, Islamic Rep.	6	Q794
Ireland	1	Q27
Israel	5	Q801
Italy	12	Q38
Japan	3	Q17
Jordan	7	Q810
Kenya	8	Q114
Korea, Rep.	8	Q884
Kuwait	4	Q817
Kyrgyz Republic	2	Q813
Lao PDR	20	Q819
Latvia	11	Q211
Lebanon	10	Q822
Lithuania	18	Q37
Luxembourg	9	Q32
Madagascar	35	Q1019
Malawi	5	Q1020
Malaysia	4	Q833
Malta	10	Q233
Mauritius	52	Q1027
Mexico	4	Q96
Moldova	9	Q217
Mongolia	40	Q711
Morocco	18	Q1028
Nepal	19	Q837
Netherlands	2	Q55
Niger	9	Q1032
North Macedonia	15	Q221
Norway	1	Q20
Oman	5	Q842
Pakistan	33	Q843
Panama	5	Q804
Papua New Guinea	1	Q691
Paraguay	6	Q733
Peru	16	Q419
Philippines	7	Q928
Poland	6	Q36
Portugal	18	Q45
Puerto Rico	3	Q1183
Qatar	8	Q846
Romania	12	Q218
Russian Federation	2	Q159
Rwanda	2	Q1037
Saudi Arabia	2	Q851
Senegal	4	Q1041
Serbia	6	Q403
Singapore	1	Q334
Slovak Republic	4	Q214
Slovenia	8	Q215
South Africa	5	Q258
Spain	7	Q29
Sri Lanka	31	Q854
Sudan	4	Q1049
Sweden	1	Q34
Switzerland	2	Q39
Syrian Arab Republic	108	Q858
Tanzania	0	Q924
Thailand	12	Q869
Trinidad and Tobago	1	Q754
Tunisia	35	Q948
Turkey	16	Q43
Uganda	4	Q1036
United Kingdom	4	Q145
United States	3	Q30
Uruguay	9	Q77
Venezuela, RB	2	Q717
Vietnam	21	Q881
West Bank and Gaza	21	Q407199
Yemen, Rep.	4	Q805
