Country	population %	ID
Afghanistan	71.5	Q889
Albania	100	Q222
Algeria	99.9	Q262
Andorra	100	Q228
Angola	42	Q916
Antigua and Barbuda	100	Q781
Argentina	99.8	Q414
Armenia	100	Q399
Aruba	100	Q21203
Australia	100	Q408
Austria	100	Q40
Azerbaijan	100	Q227
Bahamas, The	100	Q778
Bahrain	100	Q398
Bangladesh	73.1	Q902
Barbados	100	Q244
Belarus	100	Q184
Belgium	100	Q31
Belize	91.8	Q242
Benin	37.7	Q962
Bermuda	100	Q23635
Bhutan	95.5	Q917
Bolivia	91.5	Q750
Bosnia and Herzegovina	99.7	Q225
Botswana	58.1	Q963
Brazil	99.7	Q155
Brunei Darussalam	100	Q921
Bulgaria	100	Q219
Burkina Faso	16.3	Q965
Burundi	8.6	Q967
Cambodia	68.8	Q424
Cameroon	58.7	Q1009
Canada	100	Q16
Cabo Verde	87.1	Q1011
Cayman Islands	100	Q5785
Central African Republic	24.1	Q929
Chad	7.7	Q657
Chile	99.7	Q298
China	100	Q148
Hong Kong SAR, China	100	Q8646
Macao SAR, China	100	Q14773
Colombia	98.2	Q739
Comoros	74.4	Q970
Congo, Dem. Rep.	16.4	Q974
Congo, Rep.	60.4	Q971
Costa Rica	99.4	Q800
Cote d'Ivoire	62.6	Q1008
Croatia	100	Q224
Cuba	99.4	Q241
Curacao	100	Q25279
Cyprus	100	Q229
Czech Republic	100	Q213
Denmark	100	Q35
Djibouti	57.5	Q977
Dominica	99.8	Q784
Dominican Republic	98.6	Q786
Ecuador	98.8	Q736
Egypt, Arab Rep.	99.3	Q79
El Salvador	95.4	Q792
Equatorial Guinea	66.3	Q983
Eritrea	45.7	Q986
Estonia	100	Q191
Eswatini	65.8	Q1050
Ethiopia	29	Q115
Faroe Islands	100	Q4628
Fiji	95.1	Q712
Finland	100	Q33
France	100	Q142
French Polynesia	100	Q30971
Gabon	89.6	Q1000
Gambia, The	54.4	Q1005
Georgia	100	Q230
Germany	100	Q183
Ghana	75.7	Q117
Greece	100	Q41
