Country	Total	ID
Afghanistan	7	Q889
Albania	-11.1	Q222
Algeria	-99	Q262
Angola	-610.1	Q916
Argentina	-1279.5	Q414
Armenia	121.8	Q399
Azerbaijan	14.9	Q227
Bangladesh	3855.5	Q902
Belarus	784.8	Q184
Belize	13	Q242
Benin	48.4	Q962
Bhutan	77.9	Q917
Bolivia	224.8	Q750
Bosnia and Herzegovina	28.7	Q225
Botswana	-11.9	Q963
Brazil	-1144.1	Q155
Bulgaria	-76.2	Q219
Burkina Faso	20.1	Q965
Burundi	1.9	Q967
Cabo Verde	5.3	Q1011
Cambodia	470.4	Q424
Cameroon	251.4	Q1009
Central African Republic	-1.2	Q929
Chad	-1.7	Q657
China	-1954.7	Q148
Colombia	818	Q739
Comoros	29.4	Q970
Congo, Dem. Rep.	-32.9	Q974
Congo, Rep.	314.9	Q971
Costa Rica	11.7	Q800
Cote d'Ivoire	-66.2	Q1008
Djibouti	69.8	Q977
Dominica	-8	Q784
Dominican Republic	29.8	Q786
Ecuador	-684.1	Q736
Egypt, Arab Rep.	2078.7	Q79
El Salvador	-33.4	Q792
Eritrea	-14.7	Q986
Ethiopia	173.3	Q115
Fiji	-20.6	Q712
Gabon	179.2	Q1000
Gambia, The	6.2	Q1005
Georgia	118.4	Q230
Ghana	-260.8	Q117
Grenada	4.3	Q769
Guatemala	-2.2	Q774
Guinea	62.8	Q1006
Guinea-Bissau	5.4	Q1007
Guyana	19.1	Q734
Haiti	-3.4	Q790
Honduras	14.4	Q783
India	1668.1	Q668
Indonesia	-319.7	Q252
Iran, Islamic Rep.	-26	Q794
Jamaica	24.1	Q766
Jordan	365.4	Q810
Kazakhstan	289.9	Q232
Kenya	1582.9	Q114
Kosovo	-4.3	Q1246
Kyrgyz Republic	16.3	Q813
Lao PDR	693.6	Q819
Lebanon	-104.7	Q822
Lesotho	-8.8	Q1013
Liberia	42.9	Q1014
North Macedonia	39.2	Q221
Madagascar	40.3	Q1019
Malawi	20.8	Q1020
Maldives	538.7	Q826
Mali	138.3	Q912
Mauritania	45.2	Q1025
Mauritius	-34.4	Q1027
Mexico	-543.7	Q96
Moldova	-51.8	Q217
Mongolia	170.2	Q711
Montenegro	188.2	Q236
Morocco	-369.8	Q1028
Mozambique	141.9	Q1029
Myanmar	51	Q836
Nepal	100.2	Q837
Nicaragua	13.4	Q811
Niger	79.3	Q1032
Nigeria	718.5	Q1033
Pakistan	3987.9	Q843
Papua New Guinea	79	Q691
Paraguay	-2.3	Q733
Peru	-16.2	Q419
Philippines	-323.6	Q928
Romania	-42	Q218
Russian Federation	-69.9	Q159
Rwanda	26.4	Q1037
Samoa	2.1	Q683
Sao Tome and Principe	0	Q1039
Senegal	890.5	Q1041
Serbia	307.5	Q403
Sierra Leone	6.9	Q1044
Solomon Islands	-1.1	Q685
Somalia	0	Q1045
South Africa	0	Q258
Sri Lanka	940.8	Q854
St. Lucia	-3.2	Q760
St. Vincent and the Grenadines	4.3	Q757
Sudan	-97.5	Q1049
Eswatini	13.8	Q1050
Syrian Arab Republic	44.4	Q858
Tajikistan	-62.7	Q863
Tanzania	71	Q924
Thailand	-625.3	Q869
Timor-Leste	3.9	Q574
Togo	25.9	Q945
Tonga	-4.6	Q678
Tunisia	-68.7	Q948
Turkey	198.7	Q43
Turkmenistan	-11.5	Q874
Uganda	615.3	Q1036
Ukraine	-5	Q212
Uzbekistan	397.3	Q265
Vanuatu	7.2	Q686
Venezuela, RB	121.1	Q717
Vietnam	1730.7	Q881
Yemen, Rep.	-0.2	Q805
Zambia	299.7	Q953
Zimbabwe	8.2	Q954
