Country	Both sexes	Males	Females	ID
Guyana	30.2	46.6	14.2	Q734
Lesotho	28.9	22.7	32.6	Q1013
Russia	26.5	48.3	7.5	Q159
Lithuania	25.7	47.5	6.7	Q37
Suriname	23.2	36.1	10.9	Q730
Ivory Coast	23.0	32.0	13.0	Q1008
Kazakhstan	22.8	40.1	7.7	Q232
Equatorial Guinea	22.0	31.3	10.8	Q983
Belarus	21.4	39.3	6.2	Q184
South Korea	20.2	29.6	11.6	Q884
Uganda	20.0	21.2	18.7	Q1036
Cameroon	19.5	26.9	12.5	Q1009
Zimbabwe	19.1	29.1	11.1	Q954
Ukraine	18.5	34.5	4.7	Q212
Nigeria	17.3	17.5	17.1	Q1033
Latvia	17.2	31.0	5.1	Q211
Eswatini	16.7	25.4	9.6	Q1050
Togo	16.6	22.7	10.9	Q945
India	16.5	18.5	14.5	Q668
Uruguay	16.5	26.8	7.1	Q77
Sierra Leone	16.1	18.2	14.2	Q1044
Benin	15.7	22.6	9.6	Q962
Belgium	15.7	22.2	9.4	Q31
Chad	15.5	17.1	13.8	Q657
Kiribati	15.2	25.9	5.4	Q710
Cape Verde	15.1	24.1	7.7	Q1011
Burundi	15.0	23.1	7.7	Q967
Burkina Faso	14.8	22.4	9.1	Q965
Estonia	14.4	25.6	4.4	Q191
Japan	14.3	20.5	8.1	Q17
Sri Lanka	14.2	23.3	6.2	Q854
Sweden	13.8	20.8	6.8	Q34
Eritrea	13.8	22.4	6.1	Q986
United States	13.7	21.1	6.4	Q30
Hungary	13.6	22.2	6.2	Q28
El Salvador	13.5	24.8	4.3	Q792
Liberia	13.4	13.8	13.0	Q1014
Moldova	13.4	24.1	3.8	Q217
Poland	13.4	23.9	3.4	Q36
Iceland	13.3	21.7	4.7	Q189
Slovenia	13.3	22.4	4.5	Q215
Mongolia	13.3	23.3	3.8	Q711
Bolivia	12.9	16.9	8.9	Q750
Thailand	12.9	21.4	4.8	Q869
Trinidad and Tobago	12.9	21.9	4.3	Q754
South Africa	12.8	21.7	5.1	Q258
Haiti	12.2	18.3	6.4	Q790
France	12.1	17.9	6.5	Q142
Nicaragua	11.9	19.2	5.0	Q811
Senegal	11.8	20.3	5.2	Q1041
Finland	11.7	15.8	7.4	Q33
Australia	11.7	17.4	6.0	Q408
Bhutan	11.6	13.8	8.9	Q917
New Zealand	11.6	17.3	6.2	Q664
Central African Republic	11.6	18.0	6.0	Q929
Botswana	11.5	18.3	5.7	Q963
Croatia	11.5	18.8	5.1	Q224
Namibia	11.5	19.4	4.9	Q1030
Austria	11.4	17.5	5.7	Q40
Ethiopia	11.4	18.7	4.7	Q115
Switzerland	11.3	15.8	6.9	Q39
Zambia	11.3	17.5	6.2	Q953
F.S. Micronesia	11.3	16.2	6.2	Q702
Comoros	11.1	17.6	5.4	Q970
Rwanda	11.0	16.9	6.0	Q1037
Serbia	10.9	17.3	5.2	Q403
Ireland	10.9	17.6	4.2	Q27
North Korea	10.6	14.8	8.0	Q423
Guinea	10.5	12.7	8.4	Q1006
Czech Republic	10.5	17.2	4.2	Q213
Dominican Republic	10.5	17.9	3.2	Q786
Canada	10.4	15.1	5.8	Q16
Luxembourg	10.4	15.0	5.8	Q32
Norway	10.1	13.6	6.5	Q20
Cuba	10.1	16.4	4.1	Q241
Slovakia	10.1	18.4	2.6	Q214
Gambia	10.0	12.8	7.3	Q1005
Yemen	9.8	13.4	6.2	Q805
DR Congo	9.7	15.0	4.9	Q974
Chile	9.7	16.0	3.8	Q298
Nepal	9.6	11.4	8.0	Q837
Netherlands	9.6	12.9	6.4	Q55
Tanzania	9.6	14.3	5.4	Q924
Gabon	9.6	15.0	4.3	Q1000
Sudan	9.5	14.5	4.6	Q1049
Paraguay	9.3	12.3	6.2	Q733
Laos	9.3	12.9	6.1	Q819
Congo	9.3	13.9	5.0	Q971
Denmark	9.2	13.2	5.2	Q35
Germany	9.1	13.6	4.8	Q183
Kyrgyzstan	9.1	14.8	3.7	Q813
Argentina	9.1	15.0	3.5	Q414
Niger	9.0	11.5	6.7	Q1032
Mali	8.9	13.5	4.7	Q912
Angola	8.9	14.0	4.6	Q916
Ghana	8.7	15.8	2.9	Q117
Portugal	8.6	14.3	3.8	Q45
Djibouti	8.5	11.9	5.3	Q977
Mozambique	8.4	14.0	4.1	Q1029
Somalia	8.3	11.5	5.4	Q1045
Seychelles	8.3	15.0	2.1	Q1042
Myanmar	8.1	6.3	9.8	Q836
China	8.0	7.9	8.3	Q148
Romania	8.0	13.9	2.4	Q218
Singapore	7.9	11.1	4.9	Q334
Montenegro	7.9	12.6	3.6	Q236
Bulgaria	7.9	13.1	3.2	Q219
Malawi	7.8	13.7	3.2	Q1020
United Kingdom	7.6	11.9	3.5	Q145
Mauritania	7.5	12.1	3.6	Q1025
Costa Rica	7.5	12.8	2.3	Q800
Guinea-Bissau	7.4	8.9	6.1	Q1007
Uzbekistan	7.4	10.3	4.6	Q265
Mauritius	7.3	12.5	2.2	Q1027
Saint Lucia	7.3	12.7	2.1	Q760
Ecuador	7.2	10.7	3.8	Q736
Turkmenistan	7.2	11.0	3.7	Q874
Turkey	7.2	11.3	3.2	Q43
Papua New Guinea	7.0	10.2	3.8	Q691
Vietnam	7.0	10.8	3.4	Q881
Colombia	7.0	11.5	2.8	Q739
Madagascar	6.9	10.5	3.6	Q1019
Georgia	6.7	12.3	1.9	Q230
Malta	6.5	10.3	2.8	Q233
East Timor	6.4	9.0	3.7	Q574
Bosnia and Herzegovina	6.4	10.6	2.5	Q225
Afghanistan	6.4	10.6	2.1	Q889
Malaysia	6.2	8.7	3.6	Q833
North Macedonia	6.2	9.7	3.0	Q221
Bangladesh	6.1	5.5	6.7	Q902
South Sudan	6.1	8.3	4.1	Q958
Spain	6.1	9.3	3.1	Q29
Brazil	6.1	9.7	2.8	Q155
Cambodia	5.9	9.0	3.2	Q424
Solomon Islands	5.9	8.5	3.2	Q685
Belize	5.9	9.9	2.0	Q242
Qatar	5.8	7.3	1.1	Q846
Bahrain	5.7	7.9	2.1	Q398
Armenia	5.7	10.1	2.0	Q399
Albania	5.6	7.0	4.3	Q222
Kenya	5.6	9.7	2.1	Q114
Italy	5.5	8.4	2.6	Q38
Fiji	5.5	8.8	2.5	Q712
Libya	5.5	8.7	2.3	Q1016
Vanuatu	5.4	8.1	2.7	Q686
Samoa	5.4	8.7	2.2	Q683
Israel	5.2	8.2	2.4	Q801
Mexico	5.2	8.2	2.3	Q96
Peru	5.1	7.6	2.7	Q419
Brunei	4.5	6.2	2.8	Q921
Cyprus	4.5	7.2	1.9	Q229
