Country	Modern methods	ID
Afghanistan	19.8	Q889
Albania	3.7	Q222
Algeria	49.5	Q262
Angola	12.5	Q916
Argentina	78.2	Q414
Armenia	28	Q399
Australia	64.7	Q408
Austria	63	Q40
Bangladesh	54.1	Q902
Belarus	60.5	Q184
Belgium	65.9	Q31
Belize	48.5	Q242
Benin	12.4	Q962
Bolivia	45.1	Q750
Brazil	77.7	Q155
Burkina Faso	29.9	Q965
Burundi	22.9	Q967
Cambodia	38.8	Q424
Cameroon	21	Q1009
Chad	5	Q657
Chile	69.8	Q298
China	80.5	Q148
Colombia	75.9	Q739
Congo, Dem. Rep.	7.8	Q974
Congo, Rep.	18.5	Q971
Costa Rica	74.9	Q800
Cote d'Ivoire	19.6	Q1008
Cuba	72.2	Q241
Dominican Republic	68	Q786
Egypt, Arab Rep.	56.9	Q79
El Salvador	68	Q792
Eswatini	65.5	Q1050
Ethiopia	37.8	Q115
Finland	81.6	Q33
Gambia, The	8.1	Q1005
Ghana	25	Q117
Guatemala	48.9	Q774
Guinea	10.6	Q1006
Guinea-Bissau	14.4	Q1007
Guyana	32.5	Q734
Haiti	31.8	Q790
India	47.8	Q668
Indonesia	57.2	Q252
Iraq	36.1	Q796
Italy	51.8	Q38
Japan	34.4	Q17
Jordan	37.4	Q810
Kazakhstan	51.9	Q232
Kenya	58.7	Q114
Korea, Dem. Peopleâ€™s Rep.	76.5	Q423
Kyrgyz Republic	40	Q813
Lao PDR	49	Q819
Lesotho	59.8	Q1013
Liberia	30	Q1014
Libya	16.3	Q1016
Madagascar	38.6	Q1019
Malawi	58.1	Q1020
Malaysia	34.3	Q833
Maldives	14.9	Q826
Mali	16.4	Q912
Mauritania	15.6	Q1025
Mauritius	32	Q1027
Mexico	64.6	Q96
Mongolia	48.2	Q711
Montenegro	15.4	Q236
Morocco	58	Q1028
Mozambique	25.3	Q1029
Myanmar	51.3	Q836
Namibia	55.3	Q1030
Nepal	42.8	Q837
Netherlands	70	Q55
Niger	10.5	Q1032
Nigeria	12	Q1033
Oman	18.8	Q842
Pakistan	25	Q843
Panama	60.1	Q804
Papua New Guinea	30.5	Q691
Paraguay	66.5	Q733
Peru	54.5	Q419
Philippines	40.4	Q928
Portugal	67.1	Q45
Rwanda	47.5	Q1037
Samoa	24.3	Q683
Sao Tome and Principe	37.4	Q1039
Saudi Arabia	20.8	Q851
Senegal	26.3	Q1041
Serbia	18.4	Q403
Sierra Leone	21.8	Q1044
Solomon Islands	24.3	Q685
South Africa	54	Q258
South Sudan	5	Q958
Spain	69.9	Q29
Sri Lanka	51.3	Q854
Sudan	11.7	Q1049
Tajikistan	27.1	Q863
Tanzania	32	Q924
Thailand	75.5	Q869
Timor-Leste	24.1	Q574
Togo	17.3	Q945
Turkey	47.3	Q43
Turkmenistan	47.1	Q874
Uganda	36.3	Q1036
United States	67.7	Q30
Uruguay	78.3	Q77
Vanuatu	37.1	Q686
Vietnam	65	Q881
West Bank and Gaza	44.1	Q407199
Yemen, Rep.	29.2	Q805
Zambia	47.5	Q953
Zimbabwe	65.8	Q954
