Country	Index	ID
Albania	5.8	Q222
Algeria	12.1	Q262
American Samoa	7.7	Q16641
Angola	23.4	Q916
Antigua and Barbuda	4.8	Q781
Argentina	32.3	Q414
Aruba	7	Q21203
Australia	33	Q408
Bahamas, The	27.9	Q778
Bahrain	28.5	Q398
Bangladesh	12.3	Q902
Barbados	9.1	Q244
Belgium	87.9	Q31
Belize	9.4	Q242
Benin	17	Q962
Bermuda	1.7	Q23635
Brazil	34.2	Q155
Brunei Darussalam	6.2	Q921
Bulgaria	6.7	Q219
Cabo Verde	5.2	Q1011
Cambodia	9	Q424
Cameroon	17.1	Q1009
Canada	44	Q16
Cayman Islands	1.7	Q5785
Chile	35.2	Q298
China	140.1	Q148
Hong Kong SAR, China	89.2	Q8646
Colombia	46.6	Q739
Comoros	5.8	Q970
Congo, Dem. Rep.	6.1	Q974
Congo, Rep.	24.2	Q971
Costa Rica	17.3	Q800
Cote d'Ivoire	18.8	Q1008
Croatia	30.4	Q224
Cuba	10.3	Q241
Curacao	8.2	Q25279
Cyprus	13.8	Q229
Denmark	45.7	Q35
Djibouti	28.5	Q977
Dominica	5.2	Q784
Dominican Republic	36.4	Q786
Ecuador	31.1	Q736
Egypt, Arab Rep.	54	Q79
El Salvador	9.3	Q792
Equatorial Guinea	11.2	Q983
Eritrea	2.8	Q986
Estonia	8.5	Q191
Faroe Islands	4.7	Q4628
Fiji	13.3	Q712
Finland	14.4	Q33
France	71.4	Q142
French Polynesia	13.5	Q30971
Gabon	13.3	Q1000
Gambia, The	6.1	Q1005
Georgia	6	Q230
Germany	83.5	Q183
Ghana	20.5	Q117
Greece	45.4	Q41
Greenland	2.1	Q223
Grenada	6.5	Q769
Guam	9.3	Q16635
Guatemala	21.9	Q774
Guinea	11.5	Q1006
Guinea-Bissau	6	Q1007
Guyana	9.9	Q734
Haiti	11	Q790
Honduras	14.4	Q783
Iceland	5.5	Q189
India	54.6	Q668
Indonesia	42.5	Q252
Iran, Islamic Rep.	36.8	Q794
Iraq	22.9	Q796
Ireland	11.5	Q27
Israel	37.4	Q801
Italy	65	Q38
Jamaica	31.1	Q766
Japan	69.3	Q17
Jordan	26.1	Q810
Kenya	16	Q114
Kiribati	5.8	Q710
Korea, Rep.	98.5	Q884
Kuwait	10.8	Q817
Latvia	6.8	Q211
Lebanon	39.1	Q822
Liberia	7.4	Q1014
Libya	11.6	Q1016
Lithuania	12.9	Q37
Madagascar	9.3	Q1019
Malaysia	90.7	Q833
Maldives	3.1	Q826
Malta	44.6	Q233
Marshall Islands	7.7	Q709
Mauritania	7.1	Q1025
Mauritius	28.7	Q1027
Mexico	44	Q96
Micronesia, Fed. Sts.	2.7	Q702
Moldova	0.7	Q217
Montenegro	5.3	Q236
Morocco	63.7	Q1028
Mozambique	11.1	Q1029
Myanmar	9.1	Q836
Namibia	16	Q1030
Netherlands	83.5	Q55
New Caledonia	14.5	Q33788
New Zealand	34.5	Q664
Nicaragua	8.4	Q811
Nigeria	22.6	Q1033
Northern Mariana Islands	7.8	Q16644
Norway	8.8	Q20
Oman	53.9	Q842
Pakistan	33.1	Q843
Palau	3.6	Q695
Panama	47.4	Q804
Papua New Guinea	13.2	Q691
Paraguay	0.9	Q733
Peru	37.7	Q419
Philippines	28.1	Q928
Poland	47.9	Q36
Portugal	46.9	Q45
Puerto Rico	11.5	Q1183
Qatar	26.6	Q846
Romania	26.8	Q218
Russian Federation	41.2	Q159
Samoa	6.7	Q683
Sao Tome and Principe	6.3	Q1039
Saudi Arabia	54.2	Q851
Senegal	17.2	Q1041
Seychelles	8.2	Q1042
Sierra Leone	8.2	Q1044
Singapore	102.4	Q334
Slovenia	31.8	Q215
Solomon Islands	10.7	Q685
Somalia	9	Q1045
South Africa	37.8	Q258
Spain	85.8	Q29
Sri Lanka	61.3	Q854
St. Kitts and Nevis	6.4	Q763
St. Lucia	7.1	Q760
St. Vincent and the Grenadines	7.9	Q757
Sudan	18.8	Q1049
Suriname	9.4	Q730
Sweden	48.8	Q34
Syrian Arab Republic	7.9	Q858
Tanzania	13.8	Q924
Thailand	42.4	Q869
Timor-Leste	2.9	Q574
Togo	29.2	Q945
Tonga	8.3	Q678
Trinidad and Tobago	13.3	Q754
Tunisia	8.7	Q948
Turkey	53.9	Q43
Turks and Caicos Islands	1.2	Q18221
Tuvalu	2	Q672
Ukraine	27.6	Q212
United Arab Emirates	67.9	Q878
United Kingdom	85.6	Q145
United States	90	Q30
Uruguay	29.4	Q77
Vanuatu	8.5	Q686
Venezuela, RB	12	Q717
Vietnam	57.6	Q881
Virgin Islands (U.S.)	9.2	Q11703
Yemen, Rep.	9.9	Q805
