Country	Current points	ID
USA	781.6	Q30
Spain	722.9	Q29
Australia	666.5	Q408
Argentina	663.7	Q414
Serbia	661.3	Q403
France	656.5	Q142
Greece	647.4	Q41
Lithuania	635.2	Q37
Czech Republic	591.5	Q213
Brazil	589.4	Q155
Russia	585.4	Q159
Italy	577.9	Q38
Poland	567.6	Q36
Croatia	522.4	Q224
Turkey	513.2	Q43
Puerto Rico	498.0	Q1183
Slovenia	496.4	Q215
Germany	495.7	Q183
Dominican Republic	482.5	Q786
Venezuela	476.8	Q717
Canada	453.9	Q16
Iran	428.7	Q794
Nigeria	425.9	Q1033
New Zealand	421.2	Q664
Mexico	411.4	Q96
Montenegro	391.4	Q236
Latvia	382.2	Q211
China	364.6	Q148
Ukraine	353.0	Q212
Korea	341.5	Q884
Philippines	334.3	Q928
Angola	325.3	Q916
Tunisia	321.5	Q948
Finland	319.4	Q33
Senegal	310.3	Q1041
Georgia	299.1	Q230
Belgium	281.9	Q31
Jordan	273.8	Q810
Hungary	262.2	Q28
Japan	260.6	Q17
Israel	245.7	Q801
Great Britain	242.7	Q145
Uruguay	233.1	Q77
Netherlands	231.2	Q55
Bosnia and Herzegovina	226.7	Q225
Iceland	218.2	Q189
Panama	215.3	Q804
Cote d'Ivoire	213.5	Q1008
Estonia	209.9	Q191
Bulgaria	204.6	Q219
US Virgin Islands	200.2	Q11703
Belarus	195.8	Q184
North Macedonia	187.6	Q221
Romania	179.4	Q218
Sweden	176.4	Q34
Austria	172.6	Q40
Lebanon	166.9	Q822
Bahamas	165.1	Q778
Denmark	164.5	Q35
Egypt	163.8	Q79
Portugal	153.0	Q45
Switzerland	151.5	Q39
Cuba	150.5	Q241
Cameroon	142.4	Q1009
Chinese Taipei	140.7	Q1867
Slovakia	134.0	Q214
Morocco	131.3	Q1028
Colombia	128.8	Q739
Kosovo	128.5	Q1246
Chile	127.5	Q298
Paraguay	124.1	Q733
Qatar	121.6	Q846
India	117.1	Q668
Mali	113.2	Q912
Kazakhstan	111.5	Q232
Cyprus	111.2	Q229
Luxembourg	110.9	Q32
Andorra	110.9	Q228
Iraq	109.9	Q796
Malta	109.0	Q233
Antigua & Barbuda	108.1	Q781
Armenia	107.9	Q399
Central African Rep.	107.9	Q929
Guam	104.5	Q16635
Norway	104.2	Q20
Barbados	104.2	Q244
Jamaica	103.8	Q766
Tahiti	100.1	Q42000
Congo DR	99.5	Q974
Palestine	99.3	Q219060
Rwanda	99.2	Q1037
Indonesia	98.9	Q252
Mozambique	97.8	Q1029
Madagascar	97.6	Q1019
Syria	94.6	Q858
Saudi Arabia	94.0	Q851
Cape Verde	93.3	Q1011
Guyana	91.4	Q734
Thailand	90.8	Q869
Algeria	90.8	Q262
Uganda	90.1	Q1036
Ireland	90.0	Q27
Azerbaijan	90.0	Q227
Chad	89.6	Q657
Costa Rica	89.3	Q800
Albania	88.8	Q222
South Sudan	86.4	Q958
Honduras	85.7	Q783
St.Vincent and the Grenadines	84.9	Q757
Singapore	83.6	Q334
Bermuda	82.5	Q23635
Bahrain	80.8	Q398
Suriname	80.5	Q730
Hong Kong	79.8	Q8646
Congo	79.6	Q971
Nicaragua	75.5	Q811
Bolivia	75.0	Q750
Grenada	73.8	Q769
Belize	73.8	Q242
San Marino	73.6	Q238
Malaysia	72.8	Q833
Kenya	72.7	Q114
Samoa	71.8	Q683
Sri Lanka	69.9	Q854
South Africa	68.2	Q258
Burundi	67.9	Q967
Guinea	67.9	Q1006
Ecuador	67.0	Q736
British Virgin Islands	66.8	Q25305
UAE	66.5	Q878
Cayman Islands	66.1	Q5785
Moldova	64.5	Q217
Togo	64.0	Q945
Equatorial Guinea	62.4	Q983
El Salvador	62.2	Q792
Gabon	60.7	Q1000
Montserrat	59.1	Q13353
Burkina Faso	58.3	Q965
Zimbabwe	55.7	Q954
Zambia	54.9	Q953
Tonga	53.3	Q678
Maldives	52.6	Q826
Seychelles	52.4	Q1042
Somalia	52.2	Q1045
Vietnam	52.1	Q881
Kuwait	51.1	Q817
Bangladesh	50.2	Q902
Benin	49.5	Q962
Bhutan	48.6	Q917
Botswana	47.6	Q963
American Samoa	46.9	Q16641
Peru	44.9	Q419
Gibraltar	44.1	Q1410
Guatemala	43.6	Q774
Macau	41.9	Q14773
Brunei Darussalam	41.8	Q921
Nepal	40.8	Q837
St. Lucia	40.5	Q760
Mauritania	40.1	Q1025
Tanzania	38.8	Q924
Oman	35.9	Q842
Fiji	30.4	Q712
Cambodia	29.1	Q424
Myanmar	27.0	Q836
Haiti	23.3	Q790
Cook Islands	23.2	Q26988
Eritrea	20.1	Q986
Libya	16.2	Q1016
