Country	Average connection speed	ID
South Korea	52.4	Q884
Norway	48.2	Q20
Canada	42.5	Q16
Netherlands	42.4	Q55
Singapore	39.3	Q334
Australia	37.4	Q408
Switzerland	35.2	Q39
Denmark	34.6	Q35
Belgium	34.2	Q31
Japan	33.0	Q17
Hungary	32.7	Q28
Czech Republic	31.5	Q213
Sweden	30.8	Q34
Austria	27.5	Q40
New Zealand	27.3	Q664
Finland	27.0	Q33
Croatia	26.7	Q224
Taiwan	26.6	Q865
France	25.2	Q142
Spain	24.8	Q29
Qatar	24.6	Q846
Greece	23.8	Q41
Slovakia	23.3	Q214
Germany	22.6	Q183
Bulgaria	22.5	Q219
United Kingdom	21.7	Q145
Portugal	21.6	Q45
Serbia	21.5	Q403
Albania	21.4	Q222
United States	21.3	Q30
Romania	20.6	Q218
Oman	20.3	Q842
United Arab Emirates	19.9	Q878
Italy	19.9	Q38
Poland	17.3	Q36
Turkey	17.1	Q43
Lebanon	16.9	Q822
Hong Kong	16.7	Q8646
Ireland	16.2	Q27
Kuwait	16.2	Q817
Myanmar	16.0	Q836
South Africa	15.0	Q258
Mexico	14.9	Q96
Vietnam	14.1	Q881
Bahrain	13.9	Q398
Israel	13.6	Q801
Saudi Arabia	13.6	Q851
Tunisia	13.4	Q948
Azerbaijan	13.4	Q227
Brazil	13.0	Q155
Argentina	12.8	Q414
Bolivia	12.5	Q750
Chile	12.0	Q298
Russia	12.0	Q159
Peru	11.7	Q419
Malaysia	11.5	Q833
Kazakhstan	11.4	Q232
Ukraine	11.2	Q212
Morocco	11.2	Q1028
Guatemala	10.8	Q774
Sri Lanka	10.7	Q854
Paraguay	10.6	Q733
Ecuador	10.5	Q736
Jordan	10.4	Q810
Costa Rica	10.1	Q800
Kenya	10.1	Q114
Colombia	10.0	Q739
Egypt	8.6	Q79
Dominican Republic	8.5	Q786
Belarus	7.7	Q184
Panama	7.2	Q804
Philippines	7.0	Q928
Indonesia	6.9	Q252
India	6.8	Q668
Ivory Coast	6.7	Q1008
Pakistan	6.2	Q843
Thailand	5.7	Q869
Bangladesh	5.7	Q902
Cambodia	5.6	Q424
Nigeria	5.4	Q1033
El Salvador	5.4	Q792
Senegal	5.1	Q1041
Ghana	5.1	Q117
Uzbekistan	5.0	Q265
Nepal	4.4	Q837
Algeria	3.1	Q262
Iraq	1.6	Q796
