Country	Institution	ID
Afghanistan	3.1	Q889
Albania	-0.2	Q222
Algeria	0,00	Q262
Angola	-1.1	Q916
Argentina	557.4	Q414
Armenia	1.7	Q399
Azerbaijan	-87.9	Q227
Bangladesh	66.1	Q902
Belarus	-221.6	Q184
Belize	6	Q242
Benin	-73.1	Q962
Bhutan	0.8	Q917
Bolivia	135.5	Q750
Bosnia and Herzegovina	28.9	Q225
Botswana	-11.1	Q963
Brazil	258.4	Q155
Bulgaria	-49.9	Q219
Burkina Faso	49.2	Q965
Burundi	4.2	Q967
Cabo Verde	-4.1	Q1011
Cambodia	7,00	Q424
Cameroon	123.1	Q1009
Central African Republic	-1.4	Q929
Chad	-14.3	Q657
China	-158.1	Q148
Colombia	369.2	Q739
Comoros	-0.1	Q970
Congo, Dem. Rep.	-32,00	Q974
Congo, Rep.	-63.7	Q971
Costa Rica	1057.3	Q800
Cote d'Ivoire	95.2	Q1008
Djibouti	32.5	Q977
Dominica	-5.9	Q784
Dominican Republic	46.6	Q786
Ecuador	319.8	Q736
Egypt, Arab Rep.	-821.9	Q79
El Salvador	-99.8	Q792
Eritrea	-1.8	Q986
Ethiopia	58.8	Q115
Fiji	0	Q712
Gabon	-12.3	Q1000
Gambia, The	21.9	Q1005
Georgia	122.8	Q230
Ghana	-12.9	Q117
Grenada	-6.5	Q769
Guatemala	-31.1	Q774
Guinea	-0.7	Q1006
Guinea-Bissau	22.8	Q1007
Guyana	-1.8	Q734
Haiti	-2.1	Q790
Honduras	29.4	Q783
India	373.3	Q668
Indonesia	43.8	Q252
Iran, Islamic Rep.	0,00	Q794
Jamaica	-38.9	Q766
Jordan	-111.5	Q810
Kazakhstan	-8.9	Q232
Kenya	626.7	Q114
Kosovo	3.8	Q1246
Kyrgyz Republic	25.8	Q813
Lao PDR	-8.3	Q819
Lebanon	-17.1	Q822
Lesotho	-4.7	Q1013
Liberia	-0.9	Q1014
North Macedonia	-28.5	Q221
Madagascar	25.9	Q1019
Malawi	16.9	Q1020
Maldives	77,00	Q826
Mali	209.7	Q912
Mauritania	-36.9	Q1025
Mauritius	-9.9	Q1027
Mexico	0	Q96
Moldova	57.6	Q217
Mongolia	14.1	Q711
Montenegro	-3.4	Q236
Morocco	-126.1	Q1028
Mozambique	40,00	Q1029
Myanmar	-0.1	Q836
Nepal	-0.8	Q837
Nicaragua	297.4	Q811
Niger	21.4	Q1032
Nigeria	26.9	Q1033
Pakistan	317.3	Q843
Papua New Guinea	1.7	Q691
Paraguay	81.3	Q733
Peru	-406.5	Q419
Philippines	-6.2	Q928
Romania	-358.4	Q218
Russian Federation	-6.2	Q159
Rwanda	8.7	Q1037
Samoa	-0.3	Q683
Sao Tome and Principe	-2	Q1039
Senegal	1	Q1041
Serbia	118,00	Q403
Sierra Leone	2.7	Q1044
Solomon Islands	0.2	Q685
Somalia	0,00	Q1045
South Africa	0,00	Q258
Sri Lanka	-6.6	Q854
St. Lucia	-9.9	Q760
St. Vincent and the Grenadines	-0.2	Q757
Sudan	5.8	Q1049
Eswatini	-3.2	Q1050
Syrian Arab Republic	1.3	Q858
Tajikistan	3.5	Q863
Tanzania	-19.6	Q924
Thailand	0,00	Q869
Timor-Leste	0	Q574
Togo	71.2	Q945
Tonga	-0.2	Q678
Tunisia	-73.5	Q948
Turkey	547.6	Q43
Turkmenistan	0,00	Q874
Uganda	-48,00	Q1036
Ukraine	-860.4	Q212
Uzbekistan	10.5	Q265
Vanuatu	0,00	Q686
Venezuela, RB	383.5	Q717
Vietnam	-3.2	Q881
Yemen, Rep.	19.4	Q805
Zambia	25.9	Q953
Zimbabwe	-40.8	Q954
