Country	Tons	Change %	ID
Afghanistan	-6529	118.1	Q889
Albania	900	-75	Q222
Algeria	-8205	202.7	Q262
American Samoa	0	433.3	Q16641
Angola	-3705	7308.3	Q916
Antigua and Barbuda	111	748755	Q781
Argentina	48642	100.5	Q414
Armenia	3155	511.5	Q399
Australia	164077	483.5	Q408
Austria	5305	88.2	Q40
Azerbaijan	4672	354.9	Q227
Bahamas, The	772	-89.3	Q778
Bahrain	9603	-87.4	Q398
Bangladesh	-9406	-87	Q902
Barbados	47	-128.6	Q244
Belarus	12276	-98.7	Q184
Belgium	21938	472.5	Q31
Belize	195	310	Q242
Benin	16260	-54	Q962
Bermuda	39	-100	Q23635
Bolivia	571837	285.4	Q750
Bosnia and Herzegovina	-1496	-7.3	Q225
Botswana	70405	17481.4	Q963
Brazil	1845285	99.3	Q155
Brunei Darussalam	2808	-96	Q921
Bulgaria	-1507	227	Q219
Burkina Faso	19323	10172	Q965
Burundi	1738	636	Q967
Cameroon	60974	-3.6	Q1009
Canada	196078	809.1	Q16
Central African Republic	328301	522.7	Q929
Chad	75263	381645.5	Q657
Chile	15093	92.6	Q298
China	141901	306.1	Q148
Hong Kong SAR, China	7583	-60.4	Q8646
Colombia	10723	-93.1	Q739
Congo, Dem. Rep.	655562	-44.8	Q974
Congo, Rep.	21304	-57.8	Q971
Costa Rica	849	838.3	Q800
Cote d'Ivoire	-698	-100	Q1008
Croatia	3467	-90	Q224
Cuba	8037	-68.6	Q241
Cyprus	-784	875606.2	Q229
Czech Republic	3097	645.7	Q213
Denmark	-1101	-43.9	Q35
Djibouti	534	-71.7	Q977
Dominica	3	-100	Q784
Dominican Republic	1466	-69.7	Q786
Ecuador	-6627	-84.8	Q736
Egypt, Arab Rep.	-9129	91.8	Q79
El Salvador	1064	75.3	Q792
Equatorial Guinea	1043	-100	Q983
Estonia	-99	-99.5	Q191
Ethiopia	73227	20910.5	Q115
Fiji	-97	-35	Q712
Finland	-2170	104.1	Q33
France	34637	78.4	Q142
Gabon	24930	466.1	Q1000
Gambia, The	1754	2046.5	Q1005
Georgia	222	8.3	Q230
Germany	65265	-44.2	Q183
Ghana	55869	350.5	Q117
Greece	4065	-41.1	Q41
Grenada	193	50.3	Q769
Guam	0	-100	Q16635
Guatemala	8210	35.9	Q774
Guinea	49574	1	Q1006
Guinea-Bissau	4898	24223.5	Q1007
Guyana	-832	-99.9	Q734
Haiti	482	1951.7	Q790
Honduras	2890	-67.1	Q783
Hungary	2974	20.2	Q28
Iceland	1177	-98.6	Q189
India	39956	243.3	Q668
Indonesia	21192	-99.6	Q252
Iraq	-16171	-85.8	Q796
Ireland	4449	-87.7	Q27
Israel	2818	135.1	Q801
Italy	34345	232.6	Q38
Jamaica	5398	107.9	Q766
Japan	114664	88.8	Q17
Kazakhstan	29301	93.9	Q232
Kenya	1586	-29.6	Q114
Korea, Dem. Peopleâ€™s Rep.	30431	66.2	Q423
Korea, Rep.	15096	45.5	Q884
Kuwait	-6822	451.4	Q817
Kyrgyz Republic	638	-86.4	Q813
Lao PDR	134458	691.9	Q819
Latvia	1532	-73.8	Q211
