Country	Physicians	Nurses and midwives	ID
Afghanistan	0.3	0.2	Q889
Albania	1.2	3.6	Q222
Algeria	1.7	1.5	Q262
Andorra	3.3	4	Q228
Angola	0.2	0.4	Q916
Antigua and Barbuda	3	4.5	Q781
Argentina	4	2.6	Q414
Armenia	4.4	6.1	Q399
Australia	3.7	12.6	Q408
Austria	5.2	7.1	Q40
Azerbaijan	3.4	6.4	Q227
Bahamas, The	2	4.6	Q778
Bahrain	0.9	2.5	Q398
Bangladesh	0.6	0.4	Q902
Barbados	2.5	3.1	Q244
Belarus	5.2	11	Q184
Belgium	3.1	19.5	Q31
Belize	1.1	2.3	Q242
Benin	0.1	0.4	Q962
Bhutan	0.4	1.9	Q917
Bolivia	1.6	1.6	Q750
Bosnia and Herzegovina	2.2	5.7	Q225
Botswana	0.5	5.4	Q963
Brazil	2.2	10.1	Q155
Brunei Darussalam	1.6	5.9	Q921
Bulgaria	4	4.8	Q219
Burkina Faso	0.1	0.9	Q965
Burundi	0.1	0.9	Q967
Cabo Verde	0.8	1.3	Q1011
Cambodia	0.2	0.7	Q424
Canada	2.6	9.9	Q16
Central African Republic	0.1	0.2	Q929
Chad	0	0.2	Q657
Chile	2.6	13.3	Q298
China	2	2.7	Q148
Colombia	2.2	1.3	Q739
Comoros	0.3	0.6	Q970
Congo, Dem. Rep.	0.1	1.1	Q974
Costa Rica	2.9	3.4	Q800
Cote d'Ivoire	0.2	0.6	Q1008
Croatia	3	8.1	Q224
Cuba	8.4	7.6	Q241
Cyprus	2	5.3	Q229
Czech Republic	4.1	8.4	Q213
Denmark	4	10.3	Q35
Djibouti	0.2	0.7	Q977
Dominica	1.1	6.4	Q784
Dominican Republic	1.6	1.4	Q786
Ecuador	2	2.5	Q736
Egypt, Arab Rep.	0.5	1.9	Q79
El Salvador	1.6	1.8	Q792
Equatorial Guinea	0.4	0.5	Q983
Eritrea	0.1	1.4	Q986
Estonia	4.5	11.2	Q191
Eswatini	0.3	4.1	Q1050
Ethiopia	0.1	0.7	Q115
Fiji	0.9	3.4	Q712
Finland	3.8	14.7	Q33
France	3.3	11.5	Q142
Gabon	0.7	2.9	Q1000
Gambia, The	0.1	1.5	Q1005
Georgia	7.1	4.7	Q230
Germany	4.2	13.2	Q183
Ghana	0.1	4.2	Q117
Greece	5.5	3.6	Q41
Grenada	1.4	6.3	Q769
Guatemala	0.4	0.1	Q774
Guinea	0.1	0.1	Q1006
Guinea-Bissau	0.1	0.7	Q1007
Guyana	0.8	1	Q734
Haiti	0.2	0.7	Q790
Honduras	0.3	0.7	Q783
Hungary	3.4	6.9	Q28
Iceland	4.1	16.2	Q189
India	0.9	1.7	Q668
Indonesia	0.4	2.4	Q252
Iran, Islamic Rep.	1.6	2.6	Q794
Iraq	0.7	2	Q796
Ireland	3.3	16.1	Q27
Israel	4.6	5.7	Q801
Italy	4	5.7	Q38
Jamaica	1.3	0.8	Q766
Japan	2.4	12.2	Q17
Jordan	2.3	2.8	Q810
Kazakhstan	4	7.3	Q232
Kenya	0.2	1.2	Q114
Kiribati	0.2	3.8	Q710
Korea, Dem. Peopleâ€™s Rep.	3.7	4.4	Q423
Korea, Rep.	2.4	7.3	Q884
Kuwait	2.6	7.4	Q817
Kyrgyz Republic	2.2	5.9	Q813
Lao PDR	0.4	1	Q819
Latvia	3.2	4.8	Q211
Lebanon	2.1	1.7	Q822
Liberia	0	0.5	Q1014
Libya	2.1	6.5	Q1016
Lithuania	6.4	9.8	Q37
Luxembourg	3	12.2	Q32
Madagascar	0.2	0.1	Q1019
Malawi	0	0.4	Q1020
Malaysia	1.5	3.5	Q833
Maldives	4.6	6.4	Q826
Mali	0.1	0.4	Q912
Malta	2.9	9.5	Q233
Mauritania	0.2	0.9	Q1025
Mauritius	2.5	3.5	Q1027
Mexico	2.4	2.4	Q96
Moldova	3.2	4.9	Q217
Monaco	7.5	20.2	Q235
Mongolia	2.9	3.9	Q711
Montenegro	2.8	5.2	Q236
Morocco	0.7	1.4	Q1028
Mozambique	0.1	0.7	Q1029
Myanmar	0.7	1	Q836
Namibia	0.4	2	Q1030
Nepal	0.7	3.1	Q837
Netherlands	3.6	11.2	Q55
New Zealand	3.6	12.4	Q664
Nicaragua	1	1.5	Q811
Niger	0	0.3	Q1032
Nigeria	0.4	1.2	Q1033
North Macedonia	2.9	3.8	Q221
Norway	2.9	18.2	Q20
Oman	2	4.2	Q842
Pakistan	1	0.7	Q843
Palau	1.4	7.3	Q695
Panama	1.6	3.1	Q804
Papua New Guinea	0.1	0.5	Q691
Paraguay	1.4	1.7	Q733
Peru	1.3	2.4	Q419
Philippines	0.6	4.9	Q928
Poland	2.4	6.9	Q36
Portugal	5.1	7	Q45
Qatar	2.5	7.3	Q846
Romania	3	7.4	Q218
Russian Federation	4	8.5	Q159
Rwanda	0.1	1.2	Q1037
Samoa	0.3	2.5	Q683
San Marino	6.1	8.2	Q238
Sao Tome and Principe	0.1	1.9	Q1039
Saudi Arabia	2.6	5.5	Q851
Senegal	0.1	0.3	Q1041
Serbia	3.1	6.1	Q403
Seychelles	2.1	8.1	Q1042
Singapore	2.3	6.2	Q334
Slovak Republic	3.4	6.1	Q214
Slovenia	3.1	10	Q215
Solomon Islands	0.2	2.2	Q685
Somalia	0	0.1	Q1045
South Africa	0.9	1.3	Q258
Spain	3.9	5.7	Q29
Sri Lanka	1	2.2	Q854
St. Kitts and Nevis	2.7	4.2	Q763
St. Lucia	0.6	3.2	Q760
Sudan	0.3	0.7	Q1049
Suriname	1.2	2.8	Q730
Sweden	4	11.8	Q34
Switzerland	4.3	17.5	Q39
Syrian Arab Republic	1.3	1.5	Q858
Tajikistan	2.1	4.8	Q863
Tanzania	0	0.6	Q924
Thailand	0.8	2.8	Q869
Timor-Leste	0.7	1.7	Q574
Togo	0.1	0.4	Q945
Tonga	0.5	4.2	Q678
Trinidad and Tobago	4.2	4.1	Q754
Tunisia	1.3	2.5	Q948
Turkey	1.8	2.7	Q43
Turkmenistan	2.2	4.4	Q874
Tuvalu	0.9	4.3	Q672
Uganda	0.2	1.2	Q1036
Ukraine	3	6.7	Q212
United Arab Emirates	2.5	5.7	Q878
United Kingdom	2.8	8.2	Q145
United States	2.6	14.5	Q30
Uruguay	5.1	1.9	Q77
Uzbekistan	2.4	11.3	Q265
Vanuatu	0.2	1.4	Q686
Vietnam	0.8	1.4	Q881
Yemen, Rep.	0.5	0.8	Q805
Zambia	1.2	1.3	Q953
Zimbabwe	0.2	1.9	Q954
