Country	Female %	Male %	ID
Saudi Arabia	42,27	57,73	Q851
Sudan	50,04	49,96	Q1049
Senegal	51,24	48,76	Q1041
Singapore	47,66	52,34	Q334
Solomon Islands	49,15	50,85	Q685
Sierra Leone	50,11	49,89	Q1044
El Salvador	53,15	46,85	Q792
Somalia	50,14	49,86	Q1045
Serbia	51,01	48,99	Q403
South Sudan	49,95	50,05	Q958
Sao Tome and Principe	49,96	50,04	Q1039
Suriname	49,73	50,27	Q730
Slovak Republic	51,32	48,68	Q214
Slovenia	50,22	49,78	Q215
Sweden	49,93	50,07	Q34
Eswatini	50,98	49,02	Q1050
Seychelles	48,67	51,33	Q1042
Syrian Arab Republic	49,89	50,11	Q858
Chad	50,08	49,92	Q657
Togo	50,25	49,75	Q945
Thailand	51,30	48,70	Q869
Tajikistan	49,60	50,40	Q863
Turkmenistan	50,76	49,24	Q874
Timor-Leste	49,46	50,54	Q574
Tonga	49,96	50,04	Q678
Trinidad and Tobago	50,61	49,39	Q754
Tunisia	50,42	49,58	Q948
Turkey	50,65	49,35	Q43
Tanzania	50,04	49,96	Q924
Uganda	50,74	49,26	Q1036
Ukraine	53,68	46,32	Q212
Uruguay	51,70	48,30	Q77
United States	50,52	49,48	Q30
Uzbekistan	50,12	49,88	Q265
St. Vincent and the Grenadines	49,28	50,72	Q757
Venezuela, RB	50,75	49,25	Q717
Virgin Islands (U.S.)	52,47	47,53	Q11703
Vietnam	50,08	49,92	Q881
Vanuatu	49,30	50,70	Q686
Samoa	48,25	51,75	Q683
Yemen, Rep.	49,62	50,38	Q805
South Africa	50,72	49,28	Q258
Zambia	50,49	49,51	Q953
Zimbabwe	52,32	47,68	Q954
