Country	Poorest quintile	Richest quintile	ID
Albania	9	11	Q222
Armenia	10	11	Q399
Bangladesh	6	9	Q902
Benin	6	9	Q962
Bhutan	10	15	Q917
Bolivia	9	14	Q750
Bosnia and Herzegovina	8	10	Q225
Burkina Faso	5	7	Q965
Burundi	4	6	Q967
Cambodia	6	9	Q424
Cameroon	5	10	Q1009
Central African Republic	5	12	Q929
Chad	5	8	Q657
Colombia	7	11	Q739
Comoros	7	9	Q970
Congo, Dem. Rep.	6	9	Q974
Congo, Rep.	6	10	Q971
Cote d'Ivoire	5	8	Q1008
Dominican Republic	7	10	Q786
Egypt, Arab Rep.	9	11	Q79
Eswatini	7	10	Q1050
Ethiopia	4	7	Q115
Gabon	6	9	Q1000
Ghana	6	9	Q117
Guinea	5	9	Q1006
Guyana	8	11	Q734
Haiti	4	8	Q790
Honduras	6	10	Q783
Indonesia	8	11	Q252
Jordan	10	11	Q810
Kenya	6	8	Q114
Kyrgyz Republic	10	11	Q813
Lesotho	6	9	Q1013
Liberia	4	8	Q1014
Madagascar	3	8	Q1019
Malawi	5	7	Q1020
Maldives	9	9	Q826
Montenegro	11	12	Q236
Mozambique	4	8	Q1029
Namibia	7	10	Q1030
Nepal	6	10	Q837
Niger	5	7	Q1032
Nigeria	7	11	Q1033
North Macedonia	9	11	Q221
Pakistan	6	11	Q843
Peru	8	11	Q419
Philippines	7	10	Q928
Rwanda	4	6	Q1037
Sao Tome and Principe	5	8	Q1039
Senegal	6	8	Q1041
Serbia	9	11	Q403
Sierra Leone	7	9	Q1044
Suriname	6	8	Q730
Tajikistan	10	10	Q863
Tanzania	6	9	Q924
Timor-Leste	7	9	Q574
Togo	6	8	Q945
Uganda	6	8	Q1036
Ukraine	14	13	Q212
Vietnam	12	14	Q881
Zambia	6	9	Q953
Zimbabwe	8	11	Q954
