Country	average annual (1990-2000)	average annual (2000-2019)	ID
Algeria	17.4	7.4	Q262
Argentina	7.4	-0.9	Q414
Armenia	0.1	-1.4	Q399
Australia	5.2	0.5	Q408
Austria	2.5	2.5	Q40
Bahamas, The	9.8	0.8	Q778
Bangladesh	8.6	8.8	Q902
Belarus	-7.5	-3.1	Q184
Belgium	2.5	2.7	Q31
Belize	4.2	6.5	Q242
Benin	5	14.3	Q962
Bolivia	8.5	7.8	Q750
Botswana	4.6	1.9	Q963
Brazil	3.8	-3.4	Q155
Brunei Darussalam	1.2	2.6	Q921
Bulgaria	33.1	1.3	Q219
Burkina Faso	3.1	8.2	Q965
Cambodia	10.3	9.8	Q424
Cameroon	1	6	Q1009
Canada	4.3	0.5	Q16
Chile	9.7	1	Q298
China	7.7	6.7	Q148
Hong Kong SAR, China	4.8	0.9	Q8646
Macao SAR, China	-3.2	4.1	Q14773
Colombia	3.9	3.7	Q739
Comoros	1.6	9.9	Q970
Congo, Dem. Rep.	1.7	8.6	Q974
Congo, Rep.	2.2	-9.1	Q971
Costa Rica	7.1	3.3	Q800
Croatia	6.2	3.8	Q224
Cuba	-7.8	5.5	Q241
Cyprus	-3.9	0.5	Q229
Czech Republic	5.2	2.7	Q213
Denmark	5.3	4.5	Q35
Dominican Republic	14.2	6.5	Q786
Ecuador	-0.6	0.6	Q736
Egypt, Arab Rep.	6.7	4.7	Q79
El Salvador	6.3	3	Q792
Estonia	12.4	6	Q191
Eswatini	-4.4	4.8	Q1050
Finland	3.6	1.6	Q33
France	1.8	2.2	Q142
Gabon	3	1.9	Q1000
Germany	1.1	2.1	Q183
Greece	3.5	-4.1	Q41
Guatemala	7.2	1.9	Q774
Haiti	7.3	4.3	Q790
Honduras	7.5	4	Q783
Hungary	9.3	4.4	Q28
Iceland	6.1	10.1	Q189
India	7.3	4.6	Q668
Indonesia	-1.4	5.5	Q252
Iran, Islamic Rep.	-0.4	-3	Q794
Ireland	9.7	18.2	Q27
Israel	6.6	5.1	Q801
Italy	1.8	-0.6	Q38
Japan	-0.3	2.4	Q17
Jordan	0.4	3.7	Q810
Kazakhstan	-18.3	5.9	Q232
Kenya	6.1	4.4	Q114
Korea, Rep.	4.8	3.4	Q884
Kyrgyz Republic	-3.8	9.6	Q813
Latvia	17.1	3.4	Q211
Lebanon	10.5	1.2	Q822
Lesotho	10.6	4.4	Q1013
Lithuania	11.6	3.7	Q37
Luxembourg	5.9	3	Q32
Madagascar	3.5	1.7	Q1019
Malaysia	5.3	4.8	Q833
Mali	2.8	2.4	Q912
Mauritania	7.1	0.5	Q1025
Mauritius	4.5	0.9	Q1027
Mexico	3.2	1.2	Q96
Moldova	-2.8	5.6	Q217
Morocco	4.2	3.2	Q1028
Mozambique	16.4	9.4	Q1029
Namibia	7.6	-0.7	Q1030
Netherlands	4.1	3.2	Q55
New Zealand	5.9	5.5	Q664
Nicaragua	10.8	1.2	Q811
Niger	5.6	4.6	Q1032
Nigeria	-1	2.5	Q1033
North Macedonia	1.7	5.8	Q221
Norway	5.6	2.1	Q20
Pakistan	1.8	5.3	Q843
Panama	10.6	8.3	Q804
Paraguay	1.1	3	Q733
Peru	7.4	1.4	Q419
Philippines	2.1	11.4	Q928
Poland	11.2	3.7	Q36
Portugal	5.7	0.9	Q45
Puerto Rico	7.5	-2.1	Q1183
Romania	1.9	2.4	Q218
Russian Federation	-18.2	-1.1	Q159
Rwanda	2.8	10.6	Q1037
Senegal	3.5	14.4	Q1041
Serbia	-10.3	5.3	Q403
Singapore	6.9	3.7	Q334
Slovak Republic	8.3	3.1	Q214
Slovenia	10	1.4	Q215
South Africa	4.6	0.8	Q258
Spain	3.2	1.9	Q29
Sri Lanka	6.1	5.4	Q854
Sudan	19	-0.6	Q1049
Sweden	1.4	3.7	Q34
Switzerland	0.9	-0.1	Q39
Tanzania	-1	10.1	Q924
Thailand	-4.2	2.1	Q869
Togo	-0.1	8.5	Q945
Turkey	4.9	4.5	Q43
Uganda	8.4	5.5	Q1036
Ukraine	-18.5	-1.8	Q212
United Kingdom	4.7	3.1	Q145
United States	6.4	4	Q30
Uruguay	5.5	-0.8	Q77
Vietnam	19.8	7	Q881
West Bank and Gaza	7.8	4.1	Q407199
