Country	Total_2000	Total_2018	Youth_2000	Youth_2018	ID
Trinidad and Tobago	59	58.8	47.6	37.6	Q754
Tunisia	40.1	39.2	24.8	21.2	Q948
Turkey	45.6	47.2	37.6	35.7	Q43
Turkmenistan	55.1	62.1	34.6	41.7	Q874
Uganda	68.3	69.1	52.6	50.7	Q1036
Ukraine	50.3	49.6	32	27.1	Q212
United Arab Emirates	74.3	80.3	45.1	49.6	Q878
United Kingdom	58	60.2	55.9	50.3	Q145
United States	63.8	59.9	56.9	47.4	Q30
Uruguay	54.4	58.6	41.6	36.1	Q77
Uzbekistan	54.8	61.3	34.3	41.1	Q265
Vanuatu	65.7	66.9	49.7	50.4	Q686
Venezuela, RB	54.6	55.8	35.8	29.1	Q717
Vietnam	74.6	76	62.4	53.6	Q881
Virgin Islands (U.S.)	58.6	55.6	31.3	25.5	Q11703
West Bank and Gaza	36.5	32.1	24.4	17.6	Q407199
Yemen, Rep.	40.7	33.1	29.4	20.2	Q805
Zambia	69	66.1	53.1	42.5	Q953
Zimbabwe	75	78.8	64.7	68	Q954
