Country	70+ years old	50-69 years old	15-49 years old	ID
Italy	72	1,363	24	Q38
Jamaica	1,202	49	2	Q766
Japan	194,627	3,872	57	Q17
Jordan	1,188	107	3	Q810
Kazakhstan	4,252	222	7	Q232
Kenya	3,735	399	13	Q114
Kiribati	16	3	<1	Q710
Kuwait	299	24	1	Q817
Kyrgyzstan	770	52	2	Q813
Laos	785	100	2	Q819
Latvia	1,689	48	3	Q211
Lebanon	1,749	114	2	Q822
Lesotho	285	24	2	Q1013
Liberia	406	28	2	Q1014
Libya	1	119	4	Q1016
Lithuania	2	65	1	Q37
Luxembourg	428	12	<1	Q32
Macedonia	797	50	<1	Q221
Madagascar	1,225	188	8	Q1019
Malawi	1,757	136	4	Q1020
Malaysia	5,292	587	7	Q833
Maldives	64	4	<1	Q826
Mali	1,514	135	5	Q912
Malta	320	11	<1	Q233
Marshall Islands	5	1	<1	Q709
Mauritania	523	35	1	Q1025
Mauritius	416	38	<1	Q1027
Mexico	31,048	1,781	37	Q96
Micronesia (country)	16	2	<1	Q702
Moldova	1,263	73	5	Q217
Mongolia	262	27	2	Q711
Montenegro	339	15	<1	Q236
Morocco	8,66	671	12	Q1028
Mozambique	2,001	246	10	Q1029
Myanmar	13,012	1,409	24	Q836
Namibia	386	19	1	Q1030
Nepal	3,816	356	6	Q837
Netherlands	14,447	382	7	Q55
New Zealand	2,894	79	2	Q664
Nicaragua	1,112	59	2	Q811
Niger	1,083	125	4	Q1032
Nigeria	19,33	1,08	41	Q1033
North Korea	6,67	702	21	Q423
Northern Ireland	1,494	42	1	Q26
Northern Mariana Islands	10	1	<1	Q16644
Norway	4,332	131	2	Q20
Oman	373	29	1	Q842
Pakistan	20,625	1,922	44	Q843
Palestine	639	50	1	Q219060
Panama	1,239	50	1	Q804
Papua New Guinea	377	117	5	Q691
Paraguay	1,45	104	2	Q733
Peru	9,782	406	7	Q419
Philippines	13,981	1,724	30	Q928
Poland	27,715	1,027	12	Q36
Portugal	10,537	253	5	Q45
Puerto Rico	2,915	119	2	Q1183
Qatar	77	17	<1	Q846
Romania	13,921	527	8	Q218
Russia	80,69	3,62	58	Q159
Rwanda	1,01	112	3	Q1037
Saint Lucia	76	3	<1	Q760
Saint Vincent and the Grenadines	32	2	<1	Q757
Samoa	46	3	<1	Q683
Sao Tome and Principe	23	1	<1	Q1039
Saudi Arabia	3,043	314	13	Q851
Scotland	5,314	157	5	Q22
Senegal	1,822	134	4	Q1041
Serbia	6	229	3	Q403
Seychelles	31	2	<1	Q1042
Sierra Leone	704	50	2	Q1044
Singapore	2	76	1	Q334
Slovakia	3	129	3	Q214
Slovenia	1	44	<1	Q215
Solomon Islands	54	8	<1	Q685
Somalia	841	185	6	Q1045
South Africa	11	595	33	Q258
South Korea	30	1,225	24	Q884
South Sudan	615	80	3	Q958
Spain	51	1,064	22	Q29
Sri Lanka	5	504	7	Q854
Sudan	4	361	9	Q1049
Suriname	158	11	<1	Q730
Swaziland	99	11	1	Q1050
Sweden	9	198	3	Q34
Switzerland	7	171	3	Q39
Syria	3	296	8	Q858
Taiwan	12	722	11	Q865
Tajikistan	1	56	2	Q863
Tanzania	5	428	14	Q924
Thailand	29,438	2,084	28	Q869
Timor	169	22	<1	Q574
Togo	520	56	3	Q945
Tonga	29	2	<1	Q678
Trinidad and Tobago	439	30	<1	Q754
Tunisia	3,729	208	3	Q948
Turkey	23	1,915	22	Q43
Turkmenistan	1	53	2	Q874
Uganda	2	212	7	Q1036
Ukraine	33	1,423	32	Q212
United Arab Emirates	174	98	7	Q878
United Kingdom	62	1,542	38	Q145
United States	250	8,551	279	Q30
United States Virgin Islands	48	4	<1	Q11703
Uruguay	2	63	3	Q77
Uzbekistan	4	271	7	Q265
Vanuatu	41	6	<1	Q686
Venezuela	6,435	453	10	Q717
Vietnam	26	1,85	33	Q881
Wales	3	80	2	Q25
Yemen	2	307	7	Q805
Zambia	1	126	5	Q953
Zimbabwe	1	104	4	Q954
