Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	31.4	18.5	Q889
Albania	5.1	3.9	Q222
Angola	8.5	3.8	Q916
Armenia	5.5	3.3	Q399
Australia	0	0	Q408
Austria	1.9	1.7	Q40
Azerbaijan	10.5	12.1	Q227
Bahamas, The	1.5	1.9	Q778
Bangladesh	1.7	2.4	Q902
Barbados	0.6	0.9	Q244
Belarus	1.6	0.8	Q184
Belgium	0.3	0.2	Q31
Bhutan	13.5	11.2	Q917
Bosnia and Herzegovina	1.6	1.8	Q225
Botswana	11.1	7.5	Q963
Brazil	0.8	0.3	Q155
Bulgaria	3.2	1.5	Q219
Burkina Faso	11	6.9	Q965
Cambodia	9.4	7.2	Q424
Canada	0.6	0.5	Q16
Chile	2.1	2.1	Q298
China	0.1	0	Q148
Macao SAR, China	2.4	2.5	Q14773
Colombia	1.5	-0.5	Q739
Congo, Rep.	9.1	10.7	Q971
Cote d'Ivoire	2.8	2.6	Q1008
Cyprus	3.5	2	Q229
Czech Republic	2.5	1.8	Q213
Denmark	1.8	2.2	Q35
Dominican Republic	3	1.8	Q786
Egypt, Arab Rep.	4	2.5	Q79
El Salvador	1.5	1.3	Q792
Equatorial Guinea	25.6	21.1	Q983
Estonia	2.2	3.4	Q191
Fiji	3.2	3.1	Q712
Finland	1.6	1.5	Q33
France	1.9	1.5	Q142
Georgia	4	1.2	Q230
Germany	0.5	0.7	Q183
Ghana	6.3	6.8	Q117
Greece	2.8	2.9	Q41
Guatemala	1.8	0.3	Q774
Honduras	2.2	2.1	Q783
Hungary	1.5	2	Q28
Iceland	1.4	1.8	Q189
Indonesia	1.2	1.2	Q252
Ireland	1.5	1.5	Q27
Israel	0.4	0.5	Q801
Italy	1.3	1	Q38
Jamaica	4.8	2.4	Q766
Japan	1.2	1.1	Q17
Jordan	2.9	2.2	Q810
Kazakhstan	1.4	1.2	Q232
Kiribati	2	6	Q710
Korea, Rep.	1	1.5	Q884
Kuwait	6.2	7.6	Q817
Kyrgyz Republic	4.5	6.9	Q813
Latvia	2.2	3.6	Q211
Lebanon	1.8	1.7	Q822
Lesotho	12.1	10.2	Q1013
Lithuania	2.6	2	Q37
Luxembourg	3.3	2.5	Q32
Madagascar	4.4	4.4	Q1019
Malawi	6	5.9	Q1020
Malaysia	6.2	3.3	Q833
Mali	7.1	9.2	Q912
Malta	2.1	2.3	Q233
Marshall Islands	10.2	3.1	Q709
Mauritius	3	1.4	Q1027
Mexico	0.7	0.5	Q96
Micronesia, Fed. Sts.	18.6	11.5	Q702
Moldova	1.6	1.9	Q217
Mongolia	5.2	7.9	Q711
Morocco	3.8	5.7	Q1028
Myanmar	7.6	5.4	Q836
Namibia	4.5	4	Q1030
Nepal	3.9	7.8	Q837
Netherlands	1.8	1.5	Q55
New Zealand	2	2	Q664
Nicaragua	2	2.7	Q811
North Macedonia	1.7	1.9	Q221
Norway	2.2	3	Q20
Palau	11	5.6	Q695
Paraguay	1.7	2.8	Q733
Peru	2.1	1	Q419
Philippines	2.4	3.3	Q928
Poland	2.8	2.1	Q36
Portugal	3.6	0.7	Q45
Romania	3.6	1.8	Q218
Russian Federation	3.1	2.5	Q159
Saudi Arabia	8.6	5.5	Q851
Seychelles	4	4.8	Q1042
Singapore	-3.1	-1	Q334
Slovak Republic	2.2	2.8	Q214
Slovenia	2.5	1.8	Q215
Solomon Islands	1.9	11.1	Q685
South Africa	0.7	0.9	Q258
Spain	1.4	0.6	Q29
Sri Lanka	2.5	2.7	Q854
Sweden	2.6	2.1	Q34
Switzerland	0.9	0.9	Q39
Tanzania	2.5	0.2	Q924
Thailand	2.7	1.5	Q869
Timor-Leste	32.1	39.9	Q574
Togo	5.9	12.5	Q945
Tonga	8.2	9.4	Q678
Turkey	1.9	4.4	Q43
Ukraine	0.6	0.6	Q212
United Arab Emirates	0.4	0.6	Q878
United Kingdom	2	1.6	Q145
United States	1.9	1.3	Q30
Uruguay	1.4	1.4	Q77
Uzbekistan	1.6	2	Q265
Vanuatu	4.9	3.5	Q686
West Bank and Gaza	0.1	0.3	Q407199
Zambia	3.1	1.5	Q953
