Country	Poorest quintile	Richest quintile	ID
Albania	7	4	Q222
Armenia	2	0	Q399
Bangladesh	10	8	Q902
Benin	47	8	Q962
Bhutan	0	0	Q917
Bolivia	5	1	Q750
Burkina Faso	69	14	Q965
Burundi	36	12	Q967
Cambodia	15	3	Q424
Cameroon	14	3	Q1009
Chad	56	25	Q657
Colombia	6	3	Q739
Comoros	33	6	Q970
Congo, Dem. Rep.	30	8	Q974
Congo, Rep.	8	1	Q971
Cote d'Ivoire	44	13	Q1008
Dominican Republic	16	4	Q786
Egypt, Arab Rep.	5	2	Q79
Eswatini	2	3	Q1050
Ethiopia	44	12	Q115
Gabon	7	3	Q1000
Ghana	37	17	Q117
Guinea	68	12	Q1006
Guyana	4	1	Q734
Haiti	27	5	Q790
Honduras	11	2	Q783
Kenya	31	6	Q114
Kosovo	2	2	Q1246
Kyrgyz Republic	0	0	Q813
Lesotho	11	2	Q1013
Liberia	75	35	Q1014
Madagascar	40	4	Q1019
Malawi	10	2	Q1020
Maldives	16	16	Q826
Montenegro	0	1	Q236
Mozambique	36	6	Q1029
Namibia	12	3	Q1030
Nepal	12	1	Q837
Niger	66	19	Q1032
Nigeria	71	5	Q1033
North Macedonia	0	0	Q221
Pakistan	62	13	Q843
Peru	5	3	Q419
Rwanda	16	5	Q1037
Sao Tome and Principe	25	5	Q1039
Senegal	53	14	Q1041
Serbia	0	0	Q403
Sierra Leone	52	11	Q1044
Suriname	8	4	Q730
Tajikistan	7	4	Q863
Tanzania	40	7	Q924
Timor-Leste	37	14	Q574
Togo	20	3	Q945
Ukraine	2	5	Q212
Vietnam	1	1	Q881
Zambia	28	3	Q953
Zimbabwe	10	1	Q954
