Country	Savings %	ID
Afghanistan	13.2	Q889
Albania	18.9	Q222
Algeria	9	Q262
Angola	42.7	Q916
Antigua and Barbuda	11	Q781
Argentina	12.6	Q414
Armenia	13.9	Q399
Aruba	10.9	Q21203
Australia	18.6	Q408
Austria	18	Q40
Azerbaijan	7.7	Q227
Bahamas, The	20.1	Q778
Bahrain	7.5	Q398
Bangladesh	8.3	Q902
Barbados	11.2	Q244
Belarus	14.8	Q184
Belgium	18.8	Q31
Belize	17.5	Q242
Benin	17.1	Q962
Bhutan	9.2	Q917
Bolivia	14.7	Q750
Bosnia and Herzegovina	14.1	Q225
Botswana	21.8	Q963
Brazil	11.9	Q155
Brunei Darussalam	8.3	Q921
Bulgaria	13.8	Q219
Burkina Faso	12.4	Q965
Burundi	13.8	Q967
Cabo Verde	19.7	Q1011
Cambodia	15.5	Q424
Cameroon	16.2	Q1009
Canada	16.7	Q16
Cayman Islands	9.2	Q5785
Central African Republic	14.8	Q929
Chad	12.8	Q657
Chile	15	Q298
China	21.5	Q148
Hong Kong SAR, China	9.5	Q8646
Macao SAR, China	11.1	Q14773
Colombia	17.1	Q739
Comoros	8.6	Q970
Congo, Dem. Rep.	6.4	Q974
Congo, Rep.	24.5	Q971
Costa Rica	5.6	Q800
Cote d'Ivoire	1.6	Q1008
Croatia	14	Q224
Cuba	12.6	Q241
Cyprus	11.4	Q229
Czech Republic	21.2	Q213
Denmark	16.1	Q35
Djibouti	14	Q977
Dominica	30.2	Q784
Dominican Republic	5.3	Q786
Ecuador	18.5	Q736
Egypt, Arab Rep.	5.6	Q79
El Salvador	13	Q792
Equatorial Guinea	17.4	Q983
Estonia	15.6	Q191
Eswatini	12.4	Q1050
Ethiopia	21.4	Q115
Fiji	11.3	Q712
Finland	18.1	Q33
France	17.8	Q142
Gabon	16.2	Q1000
Gambia, The	14.4	Q1005
Georgia	11.1	Q230
Germany	17.7	Q183
Ghana	19.9	Q117
Greece	15.7	Q41
Grenada	20.4	Q769
Guatemala	13.2	Q774
Guinea	14.1	Q1006
Guinea-Bissau	3.8	Q1007
Guyana	4.2	Q734
Haiti	7.1	Q790
Honduras	6.1	Q783
Hungary	16.6	Q28
Iceland	17.9	Q189
India	11.5	Q668
Indonesia	18.1	Q252
Iran, Islamic Rep.	16.6	Q794
Iraq	11.6	Q796
Ireland	30.6	Q27
Israel	13.3	Q801
Italy	17.3	Q38
Jamaica	7.9	Q766
Japan	21.4	Q17
Jordan	8.3	Q810
Kazakhstan	13.4	Q232
Kenya	14.8	Q114
Kiribati	4.7	Q710
Korea, Rep.	19.7	Q884
Kosovo	11.2	Q1246
Kuwait	10.1	Q817
Kyrgyz Republic	11.5	Q813
Lao PDR	19.6	Q819
Latvia	21.8	Q211
Lebanon	19.8	Q822
Lesotho	13.9	Q1013
Liberia	6.5	Q1014
Libya	8.6	Q1016
Liechtenstein	16	Q347
Lithuania	12.6	Q37
Luxembourg	19	Q32
Madagascar	12.6	Q1019
Malawi	14.6	Q1020
Malaysia	21.2	Q833
Maldives	13.9	Q826
Mali	7.1	Q912
Malta	13.4	Q233
Marshall Islands	7.8	Q709
Mauritania	8.6	Q1025
Mauritius	15.8	Q1027
Mexico	18.2	Q96
Micronesia, Fed. Sts.	8	Q702
Moldova	12.5	Q217
Mongolia	8.8	Q711
Montenegro	13.1	Q236
Morocco	11.2	Q1028
Mozambique	8.5	Q1029
Myanmar	6.5	Q836
Namibia	10.4	Q1030
Nepal	11.8	Q837
Netherlands	16.3	Q55
New Zealand	15.4	Q664
Nicaragua	10.2	Q811
Niger	6	Q1032
Nigeria	12.7	Q1033
North Macedonia	18.8	Q221
Norway	16.7	Q20
Oman	14.8	Q842
Pakistan	4.9	Q843
Palau	8	Q695
Panama	8	Q804
Papua New Guinea	7.5	Q691
Paraguay	17.2	Q733
Peru	10.7	Q419
Philippines	8.1	Q928
Poland	12.2	Q36
Portugal	17.8	Q45
Puerto Rico	14	Q1183
Qatar	14.9	Q846
Romania	19.7	Q218
Russian Federation	13.5	Q159
Rwanda	15.1	Q1037
Samoa	11.4	Q683
Sao Tome and Principe	31.2	Q1039
Saudi Arabia	10.8	Q851
Senegal	13	Q1041
Serbia	16.5	Q403
Seychelles	13.7	Q1042
Sierra Leone	5.1	Q1044
Singapore	15.6	Q334
Slovak Republic	20.9	Q214
Slovenia	19.3	Q215
Solomon Islands	9.2	Q685
South Africa	14.3	Q258
Spain	15.4	Q29
Sri Lanka	7.5	Q854
St. Kitts and Nevis	12.7	Q763
St. Lucia	13.3	Q760
St. Vincent and the Grenadines	13.2	Q757
Sudan	7.2	Q1049
Suriname	14.9	Q730
Sweden	16.9	Q34
Switzerland	21.7	Q39
Tajikistan	4.3	Q863
Tanzania	15.4	Q924
Thailand	18.1	Q869
Timor-Leste	4.1	Q574
Togo	13.9	Q945
Tonga	8.8	Q678
Trinidad and Tobago	11.2	Q754
Tunisia	17.3	Q948
Turkey	16.9	Q43
Turkmenistan	15.7	Q874
Turks and Caicos Islands	8.8	Q18221
Tuvalu	6.8	Q672
Uganda	21	Q1036
Ukraine	12.4	Q212
United Arab Emirates	3.9	Q878
United Kingdom	14.8	Q145
United States	15.8	Q30
Uruguay	10.9	Q77
Uzbekistan	4.5	Q265
Vanuatu	9.3	Q686
Vietnam	9.7	Q881
West Bank and Gaza	11.2	Q407199
Zambia	15.6	Q953
Zimbabwe	8.6	Q954
