Country	%_2000	%_2018	ID
Afghanistan	17.2	16.1	Q889
Albania	28	31.1	Q222
Algeria	51.1	26.6	Q262
Angola	11.2	16.8	Q916
Argentina	29.7	21.2	Q414
Armenia	11.7	32.7	Q399
Australia	12.9	13	Q408
Austria	6.9	9.4	Q40
Azerbaijan	23.8	11.2	Q227
Bahamas, The	12.1	21.5	Q778
Bahrain	2.6	1.3	Q398
Bangladesh	9.5	10.2	Q902
Barbados	18.1	26.9	Q244
Belarus	22.9	12.7	Q184
Belgium	12.9	16.2	Q31
Belize	13.9	9.4	Q242
Benin	1.2	4.6	Q962
Bhutan	4.6	7.8	Q917
Bolivia	4.9	6.7	Q750
Bosnia and Herzegovina	50.4	35.8	Q225
Botswana	30.4	29.5	Q963
Brazil	15	25.2	Q155
Brunei Darussalam	16.3	29.1	Q921
Bulgaria	35.8	13.2	Q219
Burkina Faso	2.8	5.1	Q965
Burundi	4.2	3.9	Q967
Cabo Verde	20.8	24.5	Q1011
Cambodia	1.4	1	Q424
Cameroon	12.2	5.4	Q1009
Canada	13.8	12.5	Q16
Central African Republic	6.7	6	Q929
Chad	2.5	3.5	Q657
Channel Islands	17.9	15.9	Q42314
Chile	20.7	16.8	Q298
China	7.6	11.1	Q148
Colombia	31.2	14.5	Q739
Comoros	10.8	11.1	Q970
Congo, Dem. Rep.	6.3	10.1	Q974
Congo, Rep.	40	22.6	Q971
Costa Rica	9.6	21.9	Q800
Cote d'Ivoire	6.5	4.4	Q1008
Croatia	40.9	19.6	Q224
Cuba	9.3	4.7	Q241
Cyprus	6.6	23.3	Q229
Czech Republic	17.2	6.4	Q213
Denmark	6.5	10.5	Q35
Djibouti	19.7	21.1	Q977
Dominican Republic	8.3	9.7	Q786
Ecuador	8.3	6.4	Q736
Egypt, Arab Rep.	15.7	29.3	Q79
El Salvador	14.3	8.2	Q792
Equatorial Guinea	12.5	12.7	Q983
Eritrea	8.9	9	Q986
Estonia	22.1	12.2	Q191
Eswatini	46.3	43.7	Q1050
Ethiopia	3.5	2.4	Q115
Fiji	6.8	11.5	Q712
Finland	28.6	17.1	Q33
France	18.8	21.3	Q142
French Polynesia	29	33.9	Q30971
Gabon	33.8	31.2	Q1000
Gambia, The	9.6	8.8	Q1005
Georgia	21.1	26.5	Q230
Germany	9.5	7.1	Q183
Ghana	16.1	9.1	Q117
Greece	21.6	36.3	Q41
Guam	34.3	12.4	Q16635
Guatemala	4	3.6	Q774
Guinea	6.8	6.4	Q1006
Guinea-Bissau	4.6	4.3	Q1007
Guyana	21.3	17.1	Q734
Haiti	16.5	23.9	Q790
Honduras	6.2	7.8	Q783
Hong Kong SAR, China	12	8.8	Q8646
Hungary	13.7	9.8	Q28
Iceland	4.9	6.3	Q189
India	18.1	22.6	Q668
Indonesia	18.1	16.3	Q252
Iran, Islamic Rep.	20	24.4	Q794
Iraq	16.7	21.7	Q796
Ireland	6.1	14.9	Q27
Israel	17.2	7	Q801
Italy	28.4	30.4	Q38
Jamaica	26.1	21.5	Q766
Japan	10.2	4.1	Q17
Jordan	26.4	30.5	Q810
Kazakhstan	22.2	3.5	Q232
Kenya	6.9	7.1	Q114
Korea, Dem. Peopleâ€™s Rep.	7.5	7.1	Q423
Korea, Rep.	12.6	10.8	Q884
Kuwait	3.9	9.1	Q817
Kyrgyz Republic	11.8	10.2	Q813
Lao PDR	4	1.8	Q819
Latvia	21	12.5	Q211
Lebanon	21.7	15.6	Q822
Lesotho	38.5	30.3	Q1013
Liberia	2.6	2.3	Q1014
Libya	39.6	41.7	Q1016
Lithuania	29.5	12	Q37
Luxembourg	5.7	16.1	Q32
Macao SAR, China	15.4	6.3	Q14773
Madagascar	9	3.5	Q1019
Malawi	7.7	6.9	Q1020
Malaysia	10.2	10.4	Q833
Maldives	3.9	17.4	Q826
Mali	6.6	13.9	Q912
Malta	13.2	11.2	Q233
