Country	%	ID
Afghanistan	58	Q889
Albania	37	Q222
Algeria	25	Q262
Angola	37	Q916
Armenia	45	Q399
Azerbaijan	12	Q227
Bangladesh	55	Q902
Belize	33	Q242
Benin	41	Q962
Bhutan	51	Q917
Bolivia	58	Q750
Botswana	30	Q963
Burkina Faso	48	Q965
Burundi	82	Q967
Cambodia	65	Q424
Cameroon	28	Q1009
Central African Republic	29	Q929
Chad	0	Q657
China	21	Q148
Colombia	36	Q739
Congo, Dem. Rep.	47	Q974
Congo, Rep.	33	Q971
Cote d'Ivoire	23	Q1008
Cuba	33	Q241
Dominican Republic	5	Q786
Egypt, Arab Rep.	40	Q79
El Salvador	47	Q792
Eswatini	64	Q1050
Ethiopia	57	Q115
Gambia, The	47	Q1005
Ghana	52	Q117
Guatemala	53	Q774
Guinea	33	Q1006
Guinea-Bissau	53	Q1007
Guyana	21	Q734
Haiti	40	Q790
India	55	Q668
Indonesia	51	Q252
Iraq	26	Q796
Jordan	25	Q810
Kazakhstan	38	Q232
Kenya	61	Q114
Korea, Dem. Peopleâ€™s Rep.	71	Q423
Kyrgyz Republic	46	Q813
Lao PDR	44	Q819
Lesotho	67	Q1013
Liberia	55	Q1014
Madagascar	42	Q1019
Malawi	59	Q1020
Malaysia	40	Q833
Maldives	63	Q826
Mali	40	Q912
Marshall Islands	43	Q709
Mauritania	40	Q1025
Mexico	30	Q96
Mongolia	59	Q711
Montenegro	17	Q236
Morocco	35	Q1028
Mozambique	41	Q1029
Myanmar	51	Q836
Namibia	48	Q1030
Nepal	65	Q837
Nigeria	29	Q1033
Oman	23	Q842
Pakistan	48	Q843
Panama	22	Q804
Paraguay	30	Q733
Peru	66	Q419
Rwanda	87	Q1037
Samoa	70	Q683
Sao Tome and Principe	72	Q1039
Senegal	42	Q1041
Serbia	13	Q403
Sierra Leone	47	Q1044
Solomon Islands	76	Q685
South Africa	32	Q258
Sri Lanka	82	Q854
Sudan	55	Q1049
Tajikistan	36	Q863
Tanzania	59	Q924
Thailand	23	Q869
Timor-Leste	50	Q574
Togo	57	Q945
Tunisia	14	Q948
Turkey	30	Q43
Turkmenistan	58	Q874
Uganda	66	Q1036
United States	35	Q30
Vanuatu	73	Q686
Vietnam	24	Q881
West Bank and Gaza	38	Q407199
Yemen, Rep.	10	Q805
Zambia	70	Q953
Zimbabwe	47	Q954
