Country	Both sexes	Male	Female	ID
Afghanistan	7056	2437	4620	Q889
Albania	168	89	79	Q222
Algeria	8390	3985	4405	Q262
Angola	2379	1362	1017	Q916
Antigua and Barbuda	53	24	29	Q781
Argentina	9233	4837	4395	Q414
Armenia	1093	431	662	Q399
Australia	4754	2493	2261	Q408
Austria	3402	1574	1828	Q40
Azerbaijan	1475	635	840	Q227
Bahamas	119	51	68	Q778
Bahrain	404	220	184	Q398
Bangladesh	28065	11516	16549	Q902
Barbados	286	118	168	Q244
Belarus	404	157	247	Q184
Belgium	1683	754	929	Q31
Belize	160	71	89	Q242
Benin	1515	620	895	Q962
Bhutan	207	87	120	Q917
Bolivia (Plurinational State of)	2867	1264	1603	Q750
Bosnia and Herzegovina	2552	1040	1511	Q225
Botswana	977	396	581	Q963
Brazil	65381	29802	35579	Q155
Brunei Darussalam	140	73	67	Q921
Bulgaria	1585	688	897	Q219
Burkina Faso	2105	1054	1051	Q965
Burundi	1251	768	482	Q967
Cabo Verde	134	40	94	Q1011
Cambodia	2192	837	1355	Q424
Cameroon	4567	1995	2572	Q1009
Canada	6941	3751	3191	Q16
Central African Republic	642	371	271	Q929
Chad	1848	768	1081	Q657
Chile	5171	2450	2722	Q298
China	167267	68340	98927	Q148
Colombia	9732	4538	5195	Q739
Comoros	135	76	59	Q970
Congo	659	335	323	Q971
Costa Rica	916	423	493	Q800
Côte d'Ivoire	5598	2393	3204	Q1008
Croatia	1904	775	1129	Q224
Cuba	2388	973	1415	Q241
Cyprus	591	287	304	Q229
Czechia	3818	1728	2090	Q213
Democratic People's Republic of Korea	3182	1465	1717	Q423
Democratic Republic of the Congo	7985	5078	2906	Q974
Denmark	1485	833	651	Q35
Djibouti	185	109	76	Q977
Dominican Republic	2453	1144	1309	Q786
Ecuador	6507	3002	3504	Q736
Egypt	17851	8858	8993	Q79
El Salvador	2270	878	1392	Q792
Equatorial Guinea	290	185	105	Q983
Eritrea	865	506	359	Q986
Estonia	152	60	93	Q191
Eswatini	739	284	456	Q1050
Ethiopia	13028	7629	5399	Q115
Fiji	1440	756	684	Q712
Finland	510	275	235	Q33
France	12375	6184	6191	Q142
Gabon	394	218	177	Q1000
Gambia	202	89	112	Q1005
Georgia	1329	644	685	Q230
Germany	24764	11231	13533	Q183
Ghana	5693	2985	2708	Q117
Greece	1769	889	880	Q41
Grenada	82	36	46	Q769
Guatemala	6628	2665	3963	Q774
Guinea	2105	783	1321	Q1006
Guinea-Bissau	258	94	164	Q1007
Guyana	546	234	312	Q734
Haiti	3994	1398	2597	Q790
Honduras	842	269	573	Q783
Hungary	2789	1267	1522	Q28
Iceland	28	19	9	Q189
India	308985	152030	156954	Q668
Indonesia	102800	45549	57250	Q252
Iran (Islamic Republic of)	14842	6685	8157	Q794
Iraq	7279	3010	4269	Q796
Ireland	572	324	247	Q27
Israel	2676	1284	1392	Q801
Italy	22112	9867	12246	Q38
Jamaica	2340	888	1452	Q766
Japan	14446	7414	7032	Q17
Jordan	2347	1231	1116	Q810
Kazakhstan	1334	501	832	Q232
Kenya	2288	1426	862	Q114
Kiribati	82	36	46	Q710
Kuwait	326	175	152	Q817
Kyrgyzstan	428	186	242	Q813
Lao People's Democratic Republic	1696	533	1163	Q819
Latvia	494	177	317	Q211
Lebanon	1886	1336	550	Q822
Lesotho	1212	444	768	Q1013
Liberia	606	241	365	Q1014
Libya	1292	612	680	Q1016
Lithuania	307	140	167	Q37
Luxembourg	89	44	45	Q32
Madagascar	2174	1190	984	Q1019
Malawi	1448	822	626	Q1020
Malaysia	4635	2123	2512	Q833
Maldives	42	21	20	Q826
Mali	2438	898	1539	Q912
Malta	145	76	69	Q233
Mauritania	569	207	362	Q1025
Mauritius	2372	1273	1099	Q1027
Mexico	99623	48674	50949	Q96
Micronesia (Federated States of)	60	29	31	Q702
Mongolia	95	59	36	Q711
Montenegro	160	68	92	Q236
Morocco	10645	3762	6883	Q1028
Mozambique	2704	1407	1297	Q1029
Myanmar	16882	7457	9425	Q836
Namibia	831	352	478	Q1030
Nepal	6555	2591	3964	Q837
Netherlands	3030	1447	1584	Q55
New Zealand	880	480	400	Q664
Nicaragua	1639	642	997	Q811
Niger	2548	1117	1431	Q1032
Nigeria	25811	9991	15821	Q1033
Norway	681	352	329	Q20
Oman	903	539	364	Q842
Pakistan	44666	15089	29578	Q843
Panama	1428	649	779	Q804
Papua New Guinea	2373	952	1420	Q691
Paraguay	2414	950	1464	Q733
Peru	6062	3005	3057	Q419
Philippines	25528	12490	13038	Q928
Poland	8721	3821	4900	Q36
Portugal	4715	2004	2711	Q45
Qatar	359	262	97	Q846
Republic of Korea	11986	5793	6193	Q884
Republic of Moldova	475	190	285	Q217
North Macedonia	927	382	545	Q221
Romania	2705	1253	1453	Q218
Russian Federation	9812	3136	6676	Q159
Rwanda	1435	807	628	Q1037
Saint Lucia	116	49	67	Q760
Saint Vincent and the Grenadines	96	46	50	Q757
Samoa	82	45	38	Q683
Sao Tome and Principe	13	7	6	Q1039
Saudi Arabia	3737	2150	1588	Q851
Senegal	2167	890	1278	Q1041
Serbia	3063	1379	1683	Q403
Seychelles	21	9	12	Q1042
Sierra Leone	1433	494	938	Q1044
Singapore	400	173	227	Q334
Slovakia	944	430	514	Q214
Slovenia	340	160	180	Q215
Solomon Islands	206	96	110	Q685
Somalia	1887	1055	832	Q1045
South Africa	37228	16981	20247	Q258
South Sudan	1634	888	746	Q958
Spain	10074	4358	5715	Q29
Sri Lanka	12399	5450	6949	Q854
Sudan	5774	2485	3289	Q1049
Suriname	254	124	130	Q730
Sweden	2124	1155	968	Q34
Switzerland	1381	676	705	Q39
Syrian Arab Republic	1322	549	774	Q858
Tajikistan	809	423	386	Q863
Thailand	23929	9619	14310	Q869
Timor-Leste	104	40	64	Q574
Togo	992	433	559	Q945
Tonga	82	35	46	Q678
Trinidad and Tobago	1860	894	966	Q754
Tunisia	3523	1660	1863	Q948
Turkey	21788	9523	12265	Q43
Turkmenistan	691	307	384	Q874
Uganda	4564	2572	1992	Q1036
Ukraine	2546	1013	1533	Q212
United Arab Emirates	707	522	185	Q878
United Kingdom of Great Britain and Northern Ireland	6553	3180	3374	Q145
United Republic of Tanzania	6444	3498	2946	Q924
United States of America	84332	46499	37833	Q30
Uruguay	934	447	487	Q77
Uzbekistan	5714	2783	2931	Q265
Vanuatu	79	38	40	Q686
Venezuela (Bolivarian Republic of)	14933	7678	7255	Q717
Viet Nam	20754	7322	13432	Q881
Yemen	3854	1585	2269	Q805
Zambia	1475	829	646	Q953
Zimbabwe	3590	1490	2100	Q954
