Country	Registered carrier departures worldwide	Passengers carried	Air freight	ID
Afghanistan	24	1723	30	Q889
Algeria	77	6442	28	Q262
Angola	14	1517	78	Q916
Antigua and Barbuda	23	580	0	Q781
Argentina	162	18082	312	Q414
Australia	665	75668	2028	Q408
Austria	130	12936	374	Q40
Azerbaijan	20	2280	44	Q227
Bahamas, The	57	1197	0	Q778
Bahrain	57	5877	421	Q398
Bangladesh	101	5984	64	Q902
Belarus	32	2760	2	Q184
Belgium	141	13639	1285	Q31
Belize	126	1298	4	Q242
Benin	0	1	0	Q962
Bhutan	5	276	1	Q917
Bolivia	57	4122	14	Q750
Botswana	7	253	0	Q963
Brazil	833	102110	1846	Q155
Brunei Darussalam	11	1234	129	Q921
Bulgaria	11	1023	1	Q219
Burkina Faso	4	152	0	Q965
Cambodia	14	1411	1	Q424
Cameroon	6	265	0	Q1009
Canada	1475	89380	3434	Q16
Chile	135	19517	1226	Q298
China	4692	611440	25256	Q148
Hong Kong SAR, China	245	47102	12677	Q8646
Macao SAR, China	24	3158	32	Q14773
Colombia	359	33704	1349	Q739
Congo, Dem. Rep.	19	932	1	Q974
Congo, Rep.	8	334	5	Q971
Costa Rica	40	1949	11	Q800
Cote d'Ivoire	15	779	6	Q1008
Croatia	27	2094	1	Q224
Cuba	9	561	18	Q241
Cyprus	5	401	0	Q229
Czech Republic	51	5727	25	Q213
Ecuador	53	5365	64	Q736
Egypt, Arab Rep.	104	12341	438	Q79
El Salvador	28	2545	11	Q792
Equatorial Guinea	20	466	0	Q983
Estonia	1	32	0	Q191
Ethiopia	111	11501	2089	Q115
Fiji	24	1670	107	Q712
Finland	126	13365	958	Q33
France	597	70188	4444	Q142
Georgia	7	516	1	Q230
Germany	923	109796	7970	Q183
Ghana	14	467	0	Q117
Greece	144	15126	22	Q41
Guatemala	3	146	0	Q774
Guyana	2	26	0	Q734
Honduras	15	412	0	Q783
Iceland	55	7820	164	Q189
India	1200	164036	2704	Q668
Indonesia	959	115154	1132	Q252
Iran, Islamic Rep.	229	25605	291	Q794
Iraq	21	2075	16	Q796
Ireland	936	167599	169	Q27
Israel	54	7404	995	Q801
Italy	257	27630	1418	Q38
Jamaica	1	181	5	Q766
Japan	1000	126388	9421	Q17
Jordan	36	3384	176	Q810
Kazakhstan	83	7144	50	Q232
Kenya	138	5936	295	Q114
Korea, Dem. Peopleâ€™s Rep.	0	104	0	Q423
Korea, Rep.	526	88158	11930	Q884
Kuwait	46	6465	392	Q817
Kyrgyz Republic	16	709	0	Q813
Lao PDR	10	1252	2	Q819
Latvia	54	4059	4	Q211
Lebanon	26	2982	57	Q822
Libya	7	927	1	Q1016
Lithuania	2	26	0	Q37
Luxembourg	52	2099	7323	Q32
Madagascar	10	541	16	Q1019
Malawi	2	11	0	Q1020
Malaysia	477	60482	1404	Q833
Maldives	27	1147	8	Q826
Malta	21	2577	5	Q233
Marshall Islands	2	24	0	Q709
Mauritius	15	1745	234	Q1027
Mexico	591	64570	1090	Q96
Moldova	14	1136	1	Q217
Mongolia	8	670	8	Q711
Montenegro	7	566	0	Q236
Morocco	80	8133	98	Q1028
Mozambique	10	540	5	Q1029
Myanmar	64	3408	5	Q836
Namibia	15	603	26	Q1030
Nepal	72	3297	5	Q837
Netherlands	326	43996	5887	Q55
New Zealand	188	17249	1349	Q664
Nigeria	77	8169	19	Q1033
Oman	77	10438	510	Q842
Pakistan	49	6881	218	Q843
Panama	119	12939	48	Q804
Papua New Guinea	42	965	31	Q691
Paraguay	4	561	2	Q733
Peru	141	17759	313	Q419
Philippines	292	43080	836	Q928
Poland	124	9278	271	Q36
Portugal	183	17368	454	Q45
Qatar	198	29179	12667	Q846
Romania	56	4908	3	Q218
Russian Federation	885	99327	6811	Q159
Samoa	7	138	0	Q683
Saudi Arabia	254	39142	1085	Q851
Senegal	1	21	0	Q1041
Serbia	28	2263	18	Q403
Seychelles	19	455	8	Q1042
Singapore	209	40402	5195	Q334
Slovenia	18	1095	1	Q215
Solomon Islands	14	428	4	Q685
South Africa	180	23922	716	Q258
Spain	641	80672	1117	Q29
Sri Lanka	34	5882	436	Q854
Sudan	3	270	6	Q1049
Suriname	3	272	33	Q730
Switzerland	220	28858	1841	Q39
Syrian Arab Republic	0	18	0	Q858
Tajikistan	4	492	2	Q863
Tanzania	52	1482	0	Q924
Thailand	476	76053	2666	Q869
Togo	12	566	11	Q945
Trinidad and Tobago	33	2525	41	Q754
Tunisia	41	4274	13	Q948
Turkey	773	115595	5949	Q43
Turkmenistan	18	2457	17	Q874
Uganda	5	22	0	Q1036
Ukraine	67	7855	75	Q212
United Arab Emirates	456	95533	15963	Q878
United Kingdom	1243	165389	6198	Q145
United States	9880	889022	42985	Q30
Uzbekistan	22	3057	89	Q265
Vanuatu	12	375	2	Q686
Venezuela, RB	25	2138	2	Q717
Vietnam	284	47050	481	Q881
Yemen, Rep.	2	336	3	Q805
Zambia	1	9	75	Q953
Zimbabwe	3	283	1	Q954
