Country	%	ID
Afghanistan	4.6	Q889
Angola	21.7	Q916
Benin	69.8	Q962
Burkina Faso	54.4	Q965
Burundi	39.9	Q967
Cameroon	54.8	Q1009
Chad	36.4	Q657
Congo, Dem. Rep.	55.8	Q974
Congo, Rep.	60.5	Q971
Cote d'Ivoire	59.7	Q1008
Ethiopia	45.3	Q115
Gambia, The	62.4	Q1005
Ghana	52.2	Q117
Guinea	26.6	Q1006
Guinea-Bissau	80.6	Q1007
Guyana	7.4	Q734
Haiti	18.2	Q790
India	4.6	Q668
Kenya	56.1	Q114
Lao PDR	49.8	Q819
Liberia	43.7	Q1014
Madagascar	73.4	Q1019
Malawi	67.5	Q1020
Mali	73.2	Q912
Mauritania	32.1	Q1025
Mozambique	72.7	Q1029
Myanmar	18.6	Q836
Namibia	5.6	Q1030
Niger	95.5	Q1032
Nigeria	52.2	Q1033
Pakistan	0.4	Q843
Papua New Guinea	51.5	Q691
Rwanda	68	Q1037
Sao Tome and Principe	61.1	Q1039
Senegal	60.7	Q1041
Sierra Leone	59.5	Q1044
Solomon Islands	69.6	Q685
South Sudan	45.8	Q958
Tanzania	54.6	Q924
Timor-Leste	55.4	Q574
Togo	69.7	Q945
Uganda	62	Q1036
Vanuatu	51	Q686
Zambia	51.6	Q953
Zimbabwe	9	Q954
