Country	Ratio %	ID
Afghanistan	8.9	Q889
Albania	8.4	Q222
Algeria	12.7	Q262
Angola	23.2	Q916
Antigua and Barbuda	6.4	Q781
Argentina	5.6	Q414
Armenia	4.8	Q399
Australia	0.9	Q408
Austria	1.9	Q40
Bangladesh	9.9	Q902
Belarus	4.6	Q184
Belgium	2.3	Q31
Bhutan	7	Q917
Bolivia	1.9	Q750
Bosnia and Herzegovina	8.8	Q225
Botswana	5.4	Q963
Brazil	3.1	Q155
Brunei Darussalam	3.9	Q921
Bulgaria	7.8	Q219
Burundi	14.2	Q967
Cambodia	1.6	Q424
Cameroon	12.4	Q1009
Canada	0.4	Q16
Central African Republic	22.9	Q929
Chad	28.6	Q657
Chile	1.9	Q298
China	1.8	Q148
Hong Kong SAR, China	0.6	Q8646
Colombia	4.2	Q739
Congo, Rep.	18.2	Q971
Costa Rica	2.4	Q800
Croatia	9.7	Q224
Cyprus	19.5	Q229
Czech Republic	3.1	Q213
Denmark	1.7	Q35
Djibouti	16	Q977
Dominica	17	Q784
Dominican Republic	1.6	Q786
Ecuador	3.3	Q736
El Salvador	1.7	Q792
Equatorial Guinea	36.7	Q983
Estonia	0.4	Q191
Fiji	3.1	Q712
Finland	1.4	Q33
France	2.7	Q142
Gabon	9.6	Q1000
Gambia, The	4.5	Q1005
Georgia	1.9	Q230
Germany	1.2	Q183
Ghana	18.2	Q117
Greece	42	Q41
Grenada	2.4	Q769
Guatemala	2.2	Q774
Guinea	10.4	Q1006
Honduras	2.3	Q783
Hungary	2.5	Q28
Iceland	2.5	Q189
India	9.5	Q668
Indonesia	2.4	Q252
Ireland	5.7	Q27
Israel	1.2	Q801
Italy	8.4	Q38
Jordan	5.4	Q810
Kazakhstan	7.4	Q232
Kenya	11.7	Q114
Korea, Rep.	0.4	Q884
Kosovo	2.5	Q1246
Kuwait	1.6	Q817
Kyrgyz Republic	7.7	Q813
Latvia	5	Q211
Lebanon	10.3	Q822
Lesotho	3.7	Q1013
Lithuania	2.3	Q37
Luxembourg	0.7	Q32
North Macedonia	5	Q221
Madagascar	7.3	Q1019
Malawi	2.8	Q1020
Malaysia	1.5	Q833
Maldives	9.4	Q826
Malta	3.4	Q233
Mauritius	6.5	Q1027
Mexico	2.1	Q96
Moldova	12.5	Q217
Monaco	0.2	Q235
Montenegro	5.1	Q236
Namibia	4.6	Q1030
Nepal	1.6	Q837
Netherlands	1.9	Q55
Nicaragua	2.4	Q811
Nigeria	6	Q1033
Norway	0.7	Q20
Pakistan	8	Q843
Panama	1.7	Q804
Papua New Guinea	3.8	Q691
Paraguay	2.6	Q733
Peru	3.3	Q419
Philippines	1.7	Q928
Poland	3.9	Q36
Portugal	9.4	Q45
Romania	5	Q218
Russian Federation	10.1	Q159
Rwanda	4.9	Q1037
Samoa	3.6	Q683
San Marino	53	Q238
Saudi Arabia	2	Q851
Seychelles	8.1	Q1042
Singapore	1.3	Q334
Slovak Republic	2.9	Q214
Slovenia	6	Q215
South Africa	3.7	Q258
Spain	3.2	Q29
Sri Lanka	3.4	Q854
St. Kitts and Nevis	24.7	Q763
St. Lucia	10	Q760
St. Vincent and the Grenadines	6.5	Q757
Eswatini	9.3	Q1050
Sweden	0.5	Q34
Switzerland	0.7	Q39
Tanzania	9.9	Q924
Thailand	3.1	Q869
Tonga	3.2	Q678
Trinidad and Tobago	3	Q754
Turkey	3.7	Q43
Uganda	3.3	Q1036
Ukraine	48.4	Q212
United Arab Emirates	6.5	Q878
United Kingdom	1.1	Q145
United States	0.9	Q30
Uruguay	2.3	Q77
Uzbekistan	1.5	Q265
Vanuatu	15	Q686
Vietnam	1.8	Q881
West Bank and Gaza	3	Q407199
Zambia	11	Q953
