Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	16	11	Q889
Albania	2018	2	2	Q222
Algeria	2013	7	4	Q262
Angola	2016	4	3	Q916
Argentina	2012	12	11	Q414
Armenia	2016	2	0	Q399
Bangladesh	2014	7	3	Q902
Belize	2016	6	2	Q242
Benin	2018	3	1	Q962
Bhutan	2010	10	4	Q917
Bolivia	2008	24	17	Q750
Bosnia and Herzegovina	2012	5	3	Q225
Burkina Faso	2010	1	3	Q965
Burundi	2017	9	5	Q967
Cambodia	2014	7	4	Q424
Cameroon	2014	5	3	Q1009
Central African Republic	2010	7	6	Q929
Chad	2015	9	7	Q657
Colombia	2010	7	4	Q739
Comoros	2012	3	3	Q970
Congo, Dem. Rep.	2014	7	5	Q974
Congo, Rep.	2016	8	3	Q971
Costa Rica	2011	12	3	Q800
Cote d'Ivoire	2016	1	2	Q1008
Dominican Republic	2014	6	5	Q786
Egypt, Arab Rep.	2014	16	9	Q79
El Salvador	2014	7	6	Q792
Eswatini	2014	11	11	Q1050
Ethiopia	2016	5	4	Q115
Gabon	2012	9	10	Q1000
Gambia, The	2018	5	7	Q1005
Ghana	2014	3	2	Q117
Guatemala	2015	12	7	Q774
Guinea	2018	2	2	Q1006
Guinea-Bissau	2014	2	3	Q1007
Guyana	2014	3	1	Q734
Haiti	2017	10	12	Q790
Honduras	2012	16	9	Q783
India	2016	3	2	Q668
Indonesia	2017	6	3	Q252
Iraq	2018	4	3	Q796
Jamaica	2011	6	4	Q766
Jordan	2018	6	5	Q810
Kenya	2014	9	6	Q114
Kosovo	2014	12	3	Q1246
Kyrgyz Republic	2018	0	2	Q813
Lao PDR	2017	1	1	Q819
Lesotho	2018	5	1	Q1013
Liberia	2013	8	7	Q1014
Madagascar	2009	3	3	Q1019
Malawi	2016	6	4	Q1020
Maldives	2017	1	0	Q826
Mali	2018	3	2	Q912
Mauritania	2015	3	5	Q1025
Mexico	2015	4	1	Q96
Mongolia	2018	2	1	Q711
Montenegro	2013	1	1	Q236
Mozambique	2015	6	5	Q1029
Myanmar	2016	4	2	Q836
Namibia	2013	7	6	Q1030
Nepal	2016	3	1	Q837
Niger	2012	4	4	Q1032
Nigeria	2018	4	1	Q1033
Pakistan	2018	15	12	Q843
Papua New Guinea	2018	2	3	Q691
Paraguay	2016	15	8	Q733
Peru	2012	6	6	Q419
Philippines	2017	2	1	Q928
Rwanda	2015	6	4	Q1037
Sao Tome and Principe	2014	7	7	Q1039
Senegal	2017	3	5	Q1041
Serbia	2010	7	7	Q403
Sierra Leone	2017	3	1	Q1044
South Africa	2016	3	3	Q258
Sudan	2014	20	15	Q1049
Suriname	2018	2	0	Q730
Tajikistan	2017	1	0	Q863
Tanzania	2016	3	5	Q924
Thailand	2016	2	1	Q869
Timor-Leste	2016	2	3	Q574
Togo	2014	5	3	Q945
Tunisia	2018	8	4	Q948
Turkmenistan	2016	0	1	Q874
Uganda	2016	13	6	Q1036
Vietnam	2014	5	2	Q881
West Bank and Gaza	2014	12	8	Q407199
Yemen, Rep.	2013	14	9	Q805
Zambia	2014	4	3	Q953
Zimbabwe	2015	4	3	Q954
