Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Portugal	18.9	14.2	21	9.3	Q45
Puerto Rico	14	17	6	6.6	Q1183
Qatar	0.7	0.2	0	0.1	Q846
Romania	42.4	24.9	48	23.2	Q218
Russian Federation	10.3	5.9	9.6	4.8	Q159
Rwanda	86.4	58.2	94.9	77.7	Q1037
Samoa	32	33	31.1	24.4	Q683
Sao Tome and Principe	47	44.5	59.1	56	Q1039
Saudi Arabia	6	3.3	2.1	1.2	Q851
Senegal	75	59.8	86.2	72.5	Q1041
Serbia	32.6	27.2	35.2	21.5	Q403
Sierra Leone	83.1	80.5	93.1	91.9	Q1044
Singapore	11.5	11.9	7	6.6	Q334
Slovak Republic	7.6	14.9	2.8	8.2	Q214
Slovenia	13.4	12.8	11.2	9.7	Q215
Solomon Islands	60.9	57.2	78.1	75	Q685
Somalia	86.4	85.2	94.8	94.1	Q1045
South Africa	7.4	10.4	16.1	10.2	Q258
South Sudan	76.2	79.5	89.7	91.1	Q958
Spain	15.1	13.2	13.3	8.4	Q29
Sri Lanka	40.3	37	43.9	43.3	Q854
St. Lucia	31.4	32.4	25	26	Q760
St. Vincent and the Grenadines	22	21.8	17.4	17.2	Q757
Sudan	55.2	44.9	72.2	64.7	Q1049
Suriname	18.9	13.5	10.7	10	Q730
Sweden	9.7	7.9	4.3	4.1	Q34
Switzerland	10.4	8.6	11.3	9.5	Q39
Syrian Arab Republic	40.6	35.4	51.8	15.2	Q858
Tajikistan	42.1	39.3	53.2	46.6	Q863
Tanzania	84.8	78	93.9	88.3	Q924
Thailand	55.1	47.6	59.3	50.2	Q869
Timor-Leste	74	58.6	80.5	79.3	Q574
Togo	81.7	74.1	93.8	88.1	Q945
Tonga	52.9	49.3	59.3	57.4	Q678
Trinidad and Tobago	18.3	21.9	16.8	13	Q754
Tunisia	25.7	21.9	27.3	14.4	Q948
Turkey	34.6	24.9	57.6	33.2	Q43
Turkmenistan	27.7	25.7	29.6	25.1	Q874
Uganda	79.1	68.4	93.2	82.6	Q1036
Ukraine	15.6	16.7	20.2	13	Q212
United Arab Emirates	1.7	0.7	0.5	2.3	Q878
United Kingdom	11.5	16	6.2	9.7	Q145
United States	4.7	4.3	3.8	3.4	Q30
Uruguay	25.4	26.5	20.1	21.9	Q77
Uzbekistan	44.5	40.5	53.8	44.9	Q265
Vanuatu	68.8	67.4	76.4	74.7	Q686
Venezuela, RB	35	35.3	40	35.3	Q717
Vietnam	77.6	48.8	84.4	60.9	Q881
Virgin Islands (U.S.)	8.4	9.1	5.4	5.9	Q11703
West Bank and Gaza	27.1	23.4	44	22.1	Q407199
Yemen, Rep.	36.9	43.8	58	67.3	Q805
Zambia	73	69.2	90.3	88.1	Q953
Zimbabwe	46	54.5	76.9	74.4	Q954
