Country	Mortality Rate (1990)	Mortality Rate (2019)	ID
Afghanistan	120	47	Q889
Albania	36	9	Q222
Algeria	42	20	Q262
Andorra	9	3	Q228
Angola	131	50	Q916
Antigua and Barbuda	12	6	Q781
Argentina	25	8	Q414
Armenia	42	11	Q399
Australia	8	3	Q408
Austria	8	3	Q40
Azerbaijan	76	18	Q227
Bahamas, The	20	11	Q778
Bahrain	20	6	Q398
Bangladesh	100	26	Q902
Barbados	16	12	Q244
Belarus	12	2	Q184
Belgium	8	3	Q31
Belize	31	11	Q242
Benin	106	59	Q962
Bhutan	89	24	Q917
Bolivia	84	21	Q750
Bosnia and Herzegovina	16	5	Q225
Botswana	36	32	Q963
Brazil	52	12	Q155
Brunei Darussalam	10	10	Q921
Bulgaria	15	6	Q219
Burkina Faso	99	54	Q965
Burundi	105	40	Q967
Cabo Verde	47	13	Q1011
Cambodia	85	23	Q424
Cameroon	84	50	Q1009
Canada	7	4	Q16
Central African Republic	116	81	Q929
Chad	112	69	Q657
Chile	16	6	Q298
China	42	7	Q148
Colombia	29	12	Q739
Comoros	88	48	Q970
Congo, Dem. Rep.	119	66	Q974
Congo, Rep.	59	35	Q971
Costa Rica	14	8	Q800
Cote d'Ivoire	104	59	Q1008
Croatia	11	4	Q224
Cuba	11	4	Q241
Cyprus	10	2	Q229
Czech Republic	10	3	Q213
Denmark	7	3	Q35
Djibouti	92	48	Q977
Dominica	13	31	Q784
Dominican Republic	46	24	Q786
Ecuador	42	12	Q736
Egypt, Arab Rep.	63	17	Q79
El Salvador	46	11	Q792
Equatorial Guinea	120	60	Q983
Eritrea	94	31	Q986
Estonia	14	2	Q191
Eswatini	51	39	Q1050
Ethiopia	119	37	Q115
Fiji	24	22	Q712
Finland	6	2	Q33
France	7	4	Q142
Gabon	60	31	Q1000
Gambia, The	82	36	Q1005
Georgia	41	9	Q230
Germany	7	3	Q183
Ghana	80	34	Q117
Greece	9	3	Q41
Grenada	18	15	Q769
Guatemala	59	21	Q774
Guinea	137	64	Q1006
Guinea-Bissau	131	52	Q1007
Guyana	46	24	Q734
Haiti	100	48	Q790
Honduras	45	15	Q783
Hungary	15	3	Q28
Iceland	5	2	Q189
India	89	28	Q668
Indonesia	62	20	Q252
Iran, Islamic Rep.	44	12	Q794
Iraq	42	22	Q796
Ireland	8	3	Q27
Israel	10	3	Q801
Italy	8	3	Q38
Jamaica	25	12	Q766
Japan	5	2	Q17
Jordan	30	13	Q810
Kazakhstan	44	9	Q232
Kenya	65	32	Q114
Kiribati	69	40	Q710
Korea, Dem. Peopleâ€™s Rep.	33	13	Q423
Korea, Rep.	13	3	Q884
Kuwait	15	7	Q817
Kyrgyz Republic	54	16	Q813
Lao PDR	105	36	Q819
Latvia	13	3	Q211
Lebanon	27	6	Q822
Lesotho	68	68	Q1013
Liberia	175	62	Q1014
Libya	36	10	Q1016
Lithuania	12	3	Q37
Luxembourg	7	2	Q32
Madagascar	96	37	Q1019
Malawi	141	31	Q1020
Malaysia	14	7	Q833
Maldives	63	7	Q826
Mali	120	60	Q912
Malta	10	6	Q233
Marshall Islands	39	26	Q709
Mauritania	71	50	Q1025
Mauritius	20	14	Q1027
Mexico	36	12	Q96
Micronesia, Fed. Sts.	43	25	Q702
Moldova	28	12	Q217
Monaco	6	3	Q235
Mongolia	77	13	Q711
Montenegro	15	2	Q236
Morocco	63	18	Q1028
Mozambique	162	55	Q1029
Myanmar	81	36	Q836
Namibia	49	31	Q1030
Nepal	97	26	Q837
Netherlands	7	4	Q55
New Zealand	9	4	Q664
Nicaragua	51	14	Q811
Niger	133	47	Q1032
Nigeria	124	74	Q1033
North Macedonia	32	5	Q221
Norway	7	2	Q20
Oman	32	10	Q842
Pakistan	107	56	Q843
Palau	30	16	Q695
Panama	26	13	Q804
Papua New Guinea	62	36	Q691
Paraguay	36	17	Q733
Peru	57	10	Q419
Philippines	40	22	Q928
Poland	15	4	Q36
Portugal	12	3	Q45
Qatar	18	6	Q846
Romania	24	6	Q218
Russian Federation	18	5	Q159
Rwanda	92	26	Q1037
Samoa	25	13	Q683
San Marino	12	2	Q238
Sao Tome and Principe	69	24	Q1039
Saudi Arabia	36	6	Q851
Senegal	71	33	Q1041
Serbia	24	5	Q403
Seychelles	14	12	Q1042
Sierra Leone	154	81	Q1044
Singapore	6	2	Q334
Slovak Republic	13	5	Q214
Slovenia	9	2	Q215
Solomon Islands	31	17	Q685
Somalia	107	74	Q1045
South Africa	45	28	Q258
South Sudan	148	62	Q958
Spain	7	3	Q29
Sri Lanka	19	6	Q854
St. Kitts and Nevis	25	13	Q763
St. Lucia	18	20	Q760
St. Vincent and the Grenadines	20	13	Q757
Sudan	82	41	Q1049
Suriname	39	16	Q730
Sweden	6	2	Q34
Switzerland	7	4	Q39
Syrian Arab Republic	30	18	Q858
Tajikistan	81	30	Q863
Tanzania	100	36	Q924
Thailand	30	8	Q869
Timor-Leste	131	38	Q574
Togo	89	46	Q945
Tonga	19	14	Q678
Trinidad and Tobago	27	16	Q754
Tunisia	43	15	Q948
Turkey	55	9	Q43
Turkmenistan	65	36	Q874
Tuvalu	42	20	Q672
Uganda	107	33	Q1036
Ukraine	17	7	Q212
United Arab Emirates	14	6	Q878
United Kingdom	8	4	Q145
United States	9	6	Q30
Uruguay	20	6	Q77
Uzbekistan	59	16	Q265
Vanuatu	29	22	Q686
Venezuela, RB	25	21	Q717
Vietnam	37	16	Q881
West Bank and Gaza	36	17	Q407199
Yemen, Rep.	88	44	Q805
Zambia	107	42	Q953
Zimbabwe	50	38	Q954
