Country	Total_2000	Total_2018	Female_2000	Female_2018	ID
Sri Lanka	7.8	8.9	33.1	34.7	Q854
St. Lucia	0.1	0.1	42.7	45.2	Q760
St. Vincent and the Grenadines	0	0.1	37.8	40.5	Q757
Sudan	7.8	12.1	27.8	30.4	Q1049
Suriname	0.2	0.2	33.9	38	Q730
Sweden	4.5	5.4	47.7	47.7	Q34
Switzerland	4	5	44.3	46.7	Q39
Syrian Arab Republic	4.9	5.1	19.9	16.5	Q858
Tajikistan	1.5	2.4	36	37.4	Q863
Tanzania	16.1	26.3	49.3	48.2	Q924
Thailand	35	38.9	45.9	45.6	Q869
Timor-Leste	0.4	0.5	45.5	45.6	Q574
Togo	2.2	3.6	51	49.8	Q945
Tonga	0	0	37.4	39.1	Q678
Trinidad and Tobago	0.6	0.7	38.4	42.4	Q754
Tunisia	3.2	4.1	24.7	26.4	Q948
Turkey	21.4	32.8	27.7	33	Q43
Turkmenistan	1.8	2.6	41.7	41	Q874
Uganda	8.4	15.9	47.1	49.3	Q1036
Ukraine	23.2	20.4	48.5	47.2	Q212
United Arab Emirates	1.8	6.8	12	17.5	Q878
United Kingdom	29.3	34.3	45.2	46.8	Q145
United States	146.7	165.5	45.6	46.1	Q30
Uruguay	1.6	1.7	42.9	45.5	Q77
Uzbekistan	9.6	15.3	41.7	40.9	Q265
Vanuatu	0.1	0.1	42.9	43.6	Q686
Venezuela, RB	10.1	12.6	37.7	38.9	Q717
Vietnam	41.8	56.9	48.3	47.8	Q881
Virgin Islands (U.S.)	0.1	0.1	48	51.4	Q11703
West Bank and Gaza	0.6	1.2	15.1	19.9	Q407199
Yemen, Rep.	4.1	6.5	22.2	7.9	Q805
Zambia	4.4	7.1	47.3	48.3	Q953
Zimbabwe	5.5	6.9	47.2	50.9	Q954
