Country	%	ID
Afghanistan	41	Q889
Albania	53	Q222
Algeria	42	Q262
Angola	40	Q916
Armenia	63	Q399
Bangladesh	66	Q902
Belize	45	Q242
Benin	28	Q962
Burkina Faso	44	Q965
Burundi	35	Q967
Cambodia	52	Q424
Cameroon	39	Q1009
Chad	29	Q657
Congo, Dem. Rep.	40	Q974
Congo, Rep.	42	Q971
Cote d'Ivoire	43	Q1008
Dominican Republic	52	Q786
Egypt, Arab Rep.	8	Q79
El Salvador	72	Q792
Eswatini	46	Q1050
Ethiopia	29	Q115
Gambia, The	51	Q1005
Ghana	42	Q117
Guatemala	56	Q774
Guinea	42	Q1006
Guinea-Bissau	55	Q1007
Guyana	29	Q734
Haiti	52	Q790
India	40	Q668
Indonesia	61	Q252
Iraq	37	Q796
Jordan	46	Q810
Kenya	53	Q114
Korea, Dem. Peopleâ€™s Rep.	71	Q423
Kosovo	35	Q1246
Kyrgyz Republic	67	Q813
Lao PDR	61	Q819
Lesotho	61	Q1013
Liberia	46	Q1014
Malawi	57	Q1020
Maldives	73	Q826
Mali	34	Q912
Mauritania	35	Q1025
Mexico	80	Q96
Mongolia	83	Q711
Mozambique	43	Q1029
Myanmar	56	Q836
Namibia	52	Q1030
Nepal	61	Q837
Nigeria	36	Q1033
Oman	46	Q842
Pakistan	35	Q843
Panama	53	Q804
Papua New Guinea	47	Q691
Paraguay	59	Q733
Peru	60	Q419
Philippines	45	Q928
Rwanda	43	Q1037
Samoa	59	Q683
Sao Tome and Principe	62	Q1039
Senegal	44	Q1041
Sierra Leone	51	Q1044
Solomon Islands	56	Q685
South Africa	57	Q258
Sri Lanka	63	Q854
Sudan	59	Q1049
Tajikistan	63	Q863
Tanzania	46	Q924
Thailand	71	Q869
Timor-Leste	57	Q574
Togo	33	Q945
Turkmenistan	39	Q874
Uganda	37	Q1036
Vanuatu	41	Q686
Vietnam	58	Q881
West Bank and Gaza	38	Q407199
Yemen, Rep.	40	Q805
Zambia	57	Q953
Zimbabwe	51	Q954
