Country	Primary	Secondary	ID
Andorra	100	100	Q228
Antigua and Barbuda	52.8	47.7	Q781
Azerbaijan	99.5	91.9	Q227
Bahamas, The	89.8	83.1	Q778
Bahrain	100	100	Q398
Bangladesh	50.4	66.5	Q902
Barbados	76.5	48.9	Q244
Belarus	99.6	96.6	Q184
Belize	79.2	61.3	Q242
Benin	70.4	18	Q962
Bermuda	100	100	Q23635
Bhutan	100	100	Q917
Bolivia	90.4	88.7	Q750
Brunei Darussalam	86.4	89.1	Q921
Burkina Faso	87.6	59.8	Q965
Burundi	100	100	Q967
Cabo Verde	98.6	96	Q1011
Cayman Islands	100	100	Q5785
Hong Kong SAR, China	96.6	97	Q8646
Macao SAR, China	98.5	91.3	Q14773
Colombia	97.5	97.6	Q739
Costa Rica	94.4	96.1	Q800
Cote d'Ivoire	100	100	Q1008
Cuba	100	100	Q241
Dominica	65.7	48.6	Q784
Egypt, Arab Rep.	82.7	81.9	Q79
El Salvador	95.5	92.5	Q792
Gambia, The	100	100	Q1005
Ghana	60.4	77.1	Q117
Grenada	62.9	46.3	Q769
India	69.8	76.5	Q668
Iran, Islamic Rep.	100	97.5	Q794
Jamaica	100	100	Q766
Jordan	100	100	Q810
Kazakhstan	100	100	Q232
Kyrgyz Republic	95.4	74.8	Q813
Lao PDR	97	95.9	Q819
Lesotho	86.5	88.9	Q1013
Madagascar	14.7	20.2	Q1019
Malaysia	97.3	93.4	Q833
Mauritania	91.2	97.2	Q1025
Mauritius	100	53.1	Q1027
Mexico	96.6	92.1	Q96
Moldova	99	98.4	Q217
Mongolia	93.3	88.9	Q711
Morocco	100	100	Q1028
Myanmar	95.3	89	Q836
Nepal	97.3	83.3	Q837
Niger	61.6	10.6	Q1032
Oman	100	100	Q842
Peru	94.7	90.5	Q419
Philippines	100	100	Q928
Puerto Rico	92.6	84	Q1183
Rwanda	94.4	62.6	Q1037
Saudi Arabia	100	100	Q851
Senegal	79.4	76.7	Q1041
Seychelles	85	100	Q1042
Singapore	99	99	Q334
Sri Lanka	82.8	82.2	Q854
St. Kitts and Nevis	72	61.7	Q763
St. Lucia	89	74.4	Q760
Thailand	100	100	Q869
Tunisia	100	100	Q948
Tuvalu	80	65.1	Q672
Ukraine	87.3	93.4	Q212
United Arab Emirates	100	100	Q878
Uzbekistan	99	97.3	Q265
West Bank and Gaza	100	100	Q407199
