Country	Exports (2010)	Exports (2019)	ID
Afghanistan	10	20	Q889
Albania	10	7	Q222
Algeria	22	24	Q262
Angola	5	7	Q916
Antigua and Barbuda	26	12	Q781
Argentina	16	13	Q414
Armenia	15	12	Q399
Aruba	3	6	Q21203
Australia	13	8	Q408
Austria	26	23	Q40
Azerbaijan	27	30	Q227
Bahamas, The	5	2	Q778
Bahrain	19	2	Q398
Bangladesh	14	20	Q902
Barbados	2	5	Q244
Belarus	62	42	Q184
Belgium	28	21	Q31
Belize	6	4	Q242
Benin	29	39	Q962
Bermuda	3	4	Q23635
Bhutan	35	30	Q917
Bolivia	10	31	Q750
Bosnia and Herzegovina	17	21	Q225
Botswana	6	5	Q963
Brazil	17	17	Q155
Brunei Darussalam	49	46	Q921
Bulgaria	20	22	Q219
Burkina Faso	16	16	Q965
Burundi	10	9	Q967
Cabo Verde	35	22	Q1011
Cambodia	12	13	Q424
Cameroon	39	33	Q1009
Canada	16	14	Q16
Chile	61	33	Q298
China	29	19	Q148
Hong Kong SAR, China	37	30	Q8646
Macao SAR, China	2	2	Q14773
Colombia	23	20	Q739
Comoros	8	6	Q970
Congo, Dem. Rep.	31	21	Q974
Congo, Rep.	27	59	Q971
Costa Rica	8	5	Q800
Cote d'Ivoire	23	26	Q1008
Croatia	12	8	Q224
Curacao	11	4	Q25279
Cyprus	35	26	Q229
Czech Republic	25	23	Q213
Denmark	62	52	Q35
Djibouti	77	78	Q977
Dominica	3	1	Q784
Dominican Republic	9	7	Q786
Ecuador	26	19	Q736
Egypt, Arab Rep.	34	35	Q79
El Salvador	21	16	Q792
Estonia	40	29	Q191
Eswatini	8	2	Q1050
Ethiopia	62	72	Q115
Fiji	27	32	Q712
Finland	16	14	Q33
France	21	17	Q142
French Polynesia	33	36	Q30971
Gambia, The	29	16	Q1005
Georgia	45	22	Q230
Germany	25	20	Q183
Ghana	27	6	Q117
Greece	54	43	Q41
Grenada	7	3	Q769
Guatemala	12	14	Q774
Guinea	6	1	Q1006
Guinea-Bissau	1	1	Q1007
Guyana	6	2	Q734
Honduras	3	5	Q783
Hungary	20	25	Q28
Iceland	39	29	Q189
India	11	10	Q668
Indonesia	17	13	Q252
Iraq	18	9	Q796
Ireland	5	4	Q27
Israel	17	8	Q801
Italy	15	12	Q38
Jamaica	11	6	Q766
Japan	32	13	Q17
Jordan	21	19	Q810
Kazakhstan	59	53	Q232
Kenya	55	43	Q114
Kiribati	13	30	Q710
Korea, Rep.	48	25	Q884
Kosovo	6	4	Q1246
Kuwait	50	16	Q817
Kyrgyz Republic	26	26	Q813
Lao PDR	11	13	Q819
Latvia	46	39	Q211
Lebanon	4	7	Q822
Lesotho	9	2	Q1013
Libya	64	39	Q1016
Lithuania	56	60	Q37
Luxembourg	6	5	Q32
Madagascar	32	28	Q1019
Malawi	44	17	Q1020
Malaysia	14	13	Q833
Maldives	2	8	Q826
Mali	2	6	Q912
Malta	4	7	Q233
Marshall Islands	36	33	Q709
Mauritania	7	45	Q1025
Mauritius	14	13	Q1027
Mexico	7	7	Q96
Moldova	35	27	Q217
Mongolia	36	32	Q711
Montenegro	16	21	Q236
Morocco	15	20	Q1028
Mozambique	35	61	Q1029
Myanmar	44	8	Q836
Namibia	27	17	Q1030
Nepal	7	7	Q837
Netherlands	19	19	Q55
New Caledonia	30	33	Q33788
New Zealand	16	13	Q664
Nicaragua	5	5	Q811
Niger	1	9	Q1032
Nigeria	75	31	Q1033
North Macedonia	28	25	Q221
Norway	44	46	Q20
Oman	29	48	Q842
Pakistan	49	19	Q843
Palau	4	5	Q695
Panama	54	51	Q804
Papua New Guinea	8	4	Q691
Paraguay	41	32	Q733
Peru	27	23	Q419
Philippines	8	7	Q928
Poland	25	28	Q36
Portugal	26	21	Q45
Qatar	70	58	Q846
Romania	25	29	Q218
Russian Federation	31	35	Q159
Rwanda	12	28	Q1037
Samoa	4	6	Q683
Sao Tome and Principe	1	0	Q1039
Saudi Arabia	20	20	Q851
Senegal	5	13	Q1041
Serbia	22	19	Q403
Seychelles	30	15	Q1042
Sierra Leone	45	17	Q1044
Singapore	39	29	Q334
Sint Maarten (Dutch part)	4	6	Q26273
Slovak Republic	29	28	Q214
Slovenia	26	29	Q215
Solomon Islands	36	25	Q685
South Africa	20	15	Q258
Spain	12	12	Q29
Sri Lanka	47	30	Q854
St. Kitts and Nevis	11	4	Q763
St. Lucia	6	1	Q760
St. Vincent and the Grenadines	8	5	Q757
Sudan	2	28	Q1049
Suriname	15	32	Q730
Sweden	20	14	Q34
Switzerland	11	11	Q39
Tajikistan	44	80	Q863
Tanzania	23	31	Q924
Thailand	17	9	Q869
Timor-Leste	3	4	Q574
Togo	45	38	Q945
Tonga	23	19	Q678
Trinidad and Tobago	26	27	Q754
Tunisia	29	31	Q948
Turkey	26	39	Q43
Uganda	4	11	Q1036
Ukraine	45	36	Q212
United Kingdom	10	10	Q145
United States	13	11	Q30
Uruguay	19	11	Q77
Vanuatu	12	15	Q686
Venezuela, RB	35	47	Q717
West Bank and Gaza	3	2	Q407199
Yemen, Rep.	13	29	Q805
Zambia	8	4	Q953
Zimbabwe	30	45	Q954
